average_rating,ratings_count,Genre
3,50000,fantasy
3,10000,romance
4,50000,young adult
3,10000,comedy
4,50000,sci-fi
3,50000,young adult
4,50000,horror
3,50000,young adult
3,50000,horror
3,50000,drama
4,50000,mystery
3,50000,young adult
3,50000,mystery
4,10000,romance
4,50000,romance
4,10000,romance
4,50000,young adult
3,50000,romance
3,50000,romance
3,50000,horror
3,50000,horror
3,10000,thriller
3,50000,young adult
4,50000,mystery
3,10000,horror
3,50000,mystery
4,10000,#N/A
4,50000,fantasy
4,10000,horror
4,10000,mystery
4,50000,fantasy
3,50000,young adult
4,50000,fantasy
4,10000,fantasy
3,10000,young adult
3,10000,comedy
4,10000,thriller
4,50000,romance
3,10000,romance
4,50000,fantasy
4,50000,fantasy
3,50000,romance
3,50000,horror
3,10000,drama
4,50000,young adult
4,50000,young adult
4,10000,thriller
3,50000,romance
3,50000,horror
3,10000,sci-fi
3,50000,horror
3,10000,fairy-tales
3,50000,fantasy
4,10000,young adult
3,50000,romance
4,10000,drama
3,10000,comedy
3,10000,romance
3,50000,young adult
3,50000,young adult
4,10000,mystery
3,10000,comedy
4,10000,mystery
4,50000,fantasy
3,10000,drama
3,10000,drama
4,50000,fantasy
4,50000,fantasy
3,10000,young adult
3,50000,romance
3,10000,drama
4,10000,crime
3,10000,young adult
4,10000,fantasy
4,50000,young adult
4,50000,fantasy
3,50000,fantasy
3,10000,romance
4,10000,thriller
4,10000,horror
4,10000,thriller
3,10000,sci-fi
3,10000,young adult
3,10000,mystery
4,10000,fantasy
3,10000,thriller
4,10000,drama
4,10000,fantasy
3,50000,mystery
3,50000,young adult
3,10000,romance
4,50000,young adult
3,10000,romance
3,10000,drama
3,10000,horror
3,10000,drama
3,10000,young adult
4,10000,young adult
4,10000,young adult
3,10000,horror
4,10000,mystery
4,10000,mystery
4,10000,drama
4,10000,thriller
3,10000,mystery
3,10000,romance
3,50000,fantasy
3,10000,fantasy
4,10000,fantasy
3,10000,young adult
4,10000,thriller
4,10000,fantasy
4,10000,#N/A
4,10000,crime
3,10000,thriller
4,10000,romance
4,10000,young adult
3,10000,young adult
4,50000,young adult
3,10000,sci-fi
4,50000,young adult
3,10000,thriller
3,10000,thriller
3,10000,drama
3,10000,horror
4,50000,fantasy
4,10000,crime
4,10000,thriller
4,10000,thriller
4,10000,romance
3,10000,#N/A
3,10000,young adult
4,10000,young adult
3,10000,horror
4,10000,young adult
4,10000,mystery
3,10000,fantasy
4,10000,thriller
4,10000,romance
4,10000,drama
3,10000,romance
3,10000,romance
4,10000,fantasy
4,10000,young adult
3,10000,romance
4,10000,fantasy
4,10000,horror
4,10000,horror
4,10000,romance
4,10000,romance
4,10000,young adult
4,10000,fantasy
4,10000,crime
3,10000,romance
4,10000,thriller
3,10000,young adult
3,10000,thriller
4,10000,romance
4,10000,romance
3,10000,sci-fi
3,10000,#N/A
3,10000,romance
3,10000,fantasy
3,10000,romance
3,10000,romance
3,10000,young adult
3,10000,spy
4,10000,fantasy
4,10000,romance
4,10000,romance
4,10000,romance
3,10000,mystery
4,10000,sci-fi
4,10000,young adult
4,10000,young adult
4,10000,young adult
4,10000,mystery
3,10000,romance
4,10000,young adult
3,10000,mystery
3,10000,#N/A
3,10000,young adult
4,10000,fantasy
4,10000,fantasy
3,10000,drama
4,10000,young adult
3,10000,#N/A
3,10000,romance
4,10000,fantasy
3,10000,romance
3,10000,comedy
3,10000,young adult
3,10000,romance
4,10000,romance
4,10000,drama
4,10000,young adult
4,10000,fantasy
4,10000,romance
4,10000,sci-fi
4,10000,romance
4,10000,drama
3,10000,sci-fi
3,10000,#N/A
4,10000,fantasy
3,10000,thriller
3,10000,young adult
3,10000,drama
3,10000,fantasy
3,10000,thriller
4,10000,#N/A
4,10000,fantasy
4,10000,fantasy
3,10000,fantasy
3,10000,romance
3,10000,young adult
4,10000,disney
3,10000,thriller
4,10000,romance
4,10000,horror
3,10000,drama
4,10000,drama
4,10000,young adult
4,10000,thriller
3,10000,#N/A
3,10000,mystery
4,10000,fantasy
4,10000,fantasy
3,10000,thriller
4,10000,#N/A
3,10000,crime
3,10000,#N/A
3,10000,horror
3,10000,fantasy
3,10000,horror
3,10000,fantasy
3,10000,drama
3,10000,comedy
3,10000,young adult
3,10000,young adult
3,10000,mystery
3,10000,horror
3,10000,drama
3,10000,fantasy
4,10000,drama
3,10000,fantasy
3,10000,young adult
4,10000,horror
4,10000,young adult
4,10000,fantasy
3,10000,young adult
3,10000,crime
3,10000,romance
3,10000,drama
3,10000,young adult
4,10000,mystery
4,10000,fantasy
3,10000,sci-fi
3,10000,horror
3,10000,young adult
4,10000,mystery
3,10000,young adult
4,10000,mystery
3,10000,mystery
3,10000,crime
4,10000,young adult
3,10000,romance
3,10000,horror
4,10000,thriller
4,10000,fantasy
3,10000,young adult
4,10000,thriller
3,10000,drama
3,10000,horror
4,10000,romance
4,10000,young adult
3,10000,young adult
3,10000,romance
3,10000,sci-fi
3,10000,#N/A
3,10000,sci-fi
3,10000,romance
4,10000,mystery
4,10000,mystery
4,10000,fantasy
4,10000,romance
3,10000,#N/A
3,10000,young adult
4,10000,fantasy
4,10000,romance
4,10000,thriller
4,10000,fantasy
4,10000,fantasy
4,10000,crime
4,10000,romance
3,10000,thriller
4,10000,fantasy
4,10000,young adult
3,10000,young adult
3,10000,romance
3,10000,fantasy
4,10000,fantasy
4,10000,drama
4,10000,horror
4,10000,thriller
3,10000,#N/A
3,10000,fantasy
4,10000,#N/A
4,10000,thriller
3,10000,young adult
4,10000,#N/A
3,10000,sci-fi
3,10000,romance
3,10000,sci-fi
3,10000,horror
3,10000,fantasy
3,10000,horror
4,10000,drama
3,10000,young adult
4,10000,#N/A
4,10000,fantasy
3,10000,horror
3,10000,thriller
3,10000,#N/A
4,10000,#N/A
4,10000,romance
4,10000,#N/A
3,10000,young adult
4,10000,fantasy
3,10000,young adult
4,10000,drama
3,10000,mystery
3,10000,mystery
3,10000,#N/A
4,10000,sci-fi
3,10000,fantasy
3,10000,romance
3,10000,young adult
3,10000,#N/A
3,10000,romance
4,10000,romance
4,10000,romance
3,10000,mystery
4,10000,mystery
3,10000,drama
4,10000,fantasy
3,10000,romance
4,10000,fantasy
4,10000,drama
3,10000,romance
4,10000,fantasy
3,10000,thriller
3,10000,#N/A
3,10000,mystery
3,10000,romance
4,10000,fantasy
3,10000,comedy
4,10000,mystery
3,10000,#N/A
4,10000,romance
3,10000,romance
3,10000,fantasy
3,10000,mystery
3,10000,thriller
3,10000,thriller
4,10000,#N/A
3,10000,horror
4,10000,#N/A
3,10000,young adult
3,10000,romance
3,10000,romance
4,10000,drama
4,10000,mystery
3,10000,crime
4,10000,romance
4,10000,disney
3,10000,thriller
3,10000,thriller
3,10000,young adult
3,10000,horror
4,10000,thriller
4,10000,fantasy
3,10000,romance
3,10000,young adult
4,10000,young adult
4,10000,fantasy
3,10000,mystery
3,10000,drama
3,10000,romance
3,10000,romance
3,10000,horror
4,10000,horror
4,10000,mystery
4,10000,thriller
4,10000,young adult
3,10000,crime
3,10000,drama
4,10000,drama
3,10000,young adult
3,10000,romance
3,10000,horror
4,10000,romance
3,10000,mystery
3,10000,thriller
3,10000,mystery
4,10000,young adult
3,10000,mystery
3,10000,horror
3,10000,romance
4,10000,#N/A
4,10000,horror
4,10000,fantasy
4,10000,#N/A
4,10000,young adult
3,10000,young adult
3,10000,mystery
4,10000,drama
3,10000,drama
3,10000,romance
3,10000,romance
3,10000,young adult
3,10000,mystery
4,10000,romance
3,10000,thriller
3,10000,young adult
3,10000,sci-fi
3,10000,sci-fi
3,10000,fantasy
4,10000,drama
3,1000,#N/A
4,10000,fantasy
3,10000,romance
3,10000,young adult
4,10000,romance
4,10000,crime
3,10000,young adult
3,10000,young adult
4,10000,fantasy
3,10000,crime
3,10000,mystery
4,10000,fantasy
4,10000,romance
3,10000,thriller
4,10000,sci-fi
4,10000,romance
4,10000,romance
4,1000,fantasy
3,10000,young adult
4,10000,romance
4,10000,fantasy
4,10000,romance
3,10000,drama
4,10000,mystery
4,10000,young adult
3,10000,romance
3,10000,#N/A
3,10000,mystery
3,10000,thriller
3,10000,young adult
4,10000,thriller
4,10000,drama
4,10000,mystery
3,10000,mystery
3,10000,mystery
3,10000,romance
3,10000,mystery
4,10000,#N/A
4,1000,sci-fi
4,10000,young adult
3,10000,#N/A
3,10000,thriller
4,10000,#N/A
3,10000,romance
4,10000,mystery
3,10000,crime
4,10000,young adult
4,10000,mystery
3,10000,#N/A
3,10000,fantasy
4,1000,#N/A
4,10000,young adult
3,10000,romance
4,10000,fantasy
3,1000,thriller
3,10000,#N/A
4,10000,fairy-tales
4,10000,romance
4,10000,fantasy
3,10000,#N/A
4,10000,drama
3,10000,fantasy
3,10000,young adult
3,10000,drama
3,10000,romance
4,10000,young adult
4,10000,thriller
3,1000,romance
3,10000,sci-fi
3,10000,mystery
3,10000,crime
3,10000,fantasy
4,10000,fantasy
3,10000,romance
3,10000,thriller
3,10000,drama
4,10000,horror
3,10000,romance
3,10000,#N/A
4,10000,sci-fi
3,10000,fantasy
3,10000,sci-fi
4,10000,comedy
4,10000,#N/A
4,10000,fantasy
3,10000,fantasy
3,10000,sci-fi
4,10000,young adult
3,10000,drama
3,1000,fantasy
3,10000,fantasy
3,10000,romance
3,10000,fantasy
3,10000,romance
3,10000,mystery
4,1000,fantasy
3,10000,mystery
4,10000,horror
3,10000,thriller
3,10000,sci-fi
4,1000,romance
4,1000,young adult
3,10000,thriller
4,10000,fantasy
3,1000,drama
4,10000,romance
3,1000,horror
3,10000,thriller
4,10000,horror
4,1000,crime
4,10000,young adult
3,10000,young adult
3,10000,fantasy
3,10000,#N/A
4,1000,romance
3,10000,sci-fi
4,10000,disney
4,10000,disney
4,10000,romance
4,10000,horror
4,10000,horror
4,10000,mystery
3,10000,sci-fi
4,1000,young adult
4,10000,fantasy
3,10000,fantasy
4,10000,drama
3,1000,drama
4,10000,fantasy
4,10000,horror
3,10000,crime
4,10000,romance
4,10000,fantasy
3,1000,#N/A
4,10000,romance
3,1000,romance
4,10000,fantasy
3,1000,sci-fi
4,10000,#N/A
4,10000,fantasy
3,1000,crime
3,10000,mystery
4,10000,young adult
4,10000,fantasy
4,10000,young adult
3,10000,young adult
3,1000,mystery
3,10000,young adult
4,10000,fantasy
4,1000,#N/A
4,1000,#N/A
4,1000,romance
4,1000,fairy-tales
3,1000,drama
3,10000,young adult
4,10000,mystery
4,10000,horror
3,1000,comedy
4,1000,#N/A
3,1000,comedy
4,1000,drama
4,10000,fantasy
4,1000,#N/A
