rounded_book_count,Genre,rounded_ratings_count,rounded_rating
900,fantasy,90000,4
60,sci-fi,100000,4
60,mystery,80000,4
50,fantasy,100000,4
50,young adult,100000,4
70,mystery,100000,4
40,NA,70000,4
800,fantasy,100000,4
100,horror,100000,4
40,fantasy,90000,4
60,NA,90000,4
40,romance,100000,4
40,fantasy,90000,4
50,young adult,90000,4
80,young adult,60000,4
40,young adult,80000,4
70,mystery,100000,4
400,romance,90000,4
20,fantasy,100000,4
70,young adult,100000,4
70,fantasy,100000,4
100,mystery,70000,3
60,young adult,100000,4
20,young adult,100000,4
100,drama,80000,4
90,NA,60000,4
30,comedy,80000,4
70,young adult,100000,4
30,drama,80000,4
30,comedy,90000,5
80,mystery,100000,4
90,mystery,90000,4
90,NA,90000,4
100,sci-fi,90000,4
400,fantasy,80000,4
100,mystery,90000,4
70,romance,80000,4
90,fantasy,80000,4
200,sci-fi,90000,4
90,fantasy,100000,4
40,NA,80000,4
50,fantasy,90000,4
90,mystery,100000,4
40,NA,80000,4
60,romance,90000,4
60,fantasy,100000,4
50,mystery,90000,4
30,fantasy,100000,4
60,young adult,80000,4
200,NA,70000,4
50,fantasy,100000,4
60,fantasy,100000,4
80,NA,70000,4
40,romance,80000,4
100,mystery,80000,4
80,young adult,90000,4
90,horror,100000,3
30,comedy,80000,4
80,sci-fi,90000,4
20,comedy,70000,4
80,young adult,100000,4
40,comedy,90000,4
50,young adult,90000,4
60,fantasy,100000,4
40,romance,80000,4
50,fantasy,100000,4
200,fantasy,80000,4
50,horror,80000,4
100,mystery,80000,4
200,mystery,90000,4
30,young adult,90000,4
40,NA,80000,4
60,young adult,100000,4
60,young adult,100000,4
80,romance,90000,4
80,mystery,70000,4
50,young adult,100000,4
60,mystery,100000,4
60,NA,80000,4
80,NA,90000,4
70,fantasy,80000,4
50,romance,80000,4
100,sci-fi,70000,4
50,drama,80000,3
30,fantasy,100000,4
100,NA,80000,4
30,young adult,100000,4
0,romance,70000,4
100,mystery,70000,4
50,crime,80000,4
500,drama,80000,4
20,romance,70000,3
70,fantasy,100000,4
80,young adult,90000,4
100,fantasy,90000,4
40,horror,80000,4
100,mystery,80000,4
90,mystery,60000,4
60,young adult,100000,4
500,young adult,80000,4
30,young adult,90000,4
20,comedy,70000,4
50,NA,70000,4
1000,NA,40000,4
100,thriller,70000,4
50,drama,90000,4
40,comedy,70000,4
60,romance,80000,4
80,romance,80000,4
100,fantasy,80000,4
80,fantasy,80000,4
20,young adult,80000,4
40,romance,80000,4
40,romance,80000,3
10,young adult,100000,4
1000,NA,70000,4
40,crime,70000,4
100,thriller,80000,4
70,young adult,100000,4
60,fantasy,90000,4
900,fantasy,90000,4
100,horror,70000,4
60,young adult,100000,4
0,horror,80000,4
70,horror,70000,4
20,romance,70000,3
30,romance,90000,4
50,fantasy,90000,4
100,fantasy,100000,4
0,fantasy,100000,4
20,romance,100000,4
40,romance,90000,4
1000,NA,70000,4
70,drama,70000,4
100,fantasy,90000,4
50,young adult,100000,4
30,NA,90000,4
0,sci-fi,70000,4
50,romance,100000,4
50,romance,80000,4
50,drama,80000,4
40,young adult,80000,4
80,young adult,100000,4
50,crime,40000,4
50,mystery,100000,4
60,fantasy,70000,4
40,fantasy,80000,4
100,fantasy,90000,4
30,comedy,70000,4
90,NA,70000,4
30,drama,80000,4
30,comedy,70000,4
80,young adult,100000,4
60,fantasy,70000,4
40,romance,100000,4
2000,fantasy,70000,4
70,NA,70000,4
40,young adult,100000,4
50,young adult,100000,4
70,romance,80000,4
100,young adult,100000,4
60,crime,80000,3
30,fantasy,90000,4
100,sci-fi,80000,4
90,romance,40000,4
50,mystery,90000,4
80,mystery,80000,4
30,fantasy,80000,4
400,romance,80000,4
50,young adult,80000,4
10,romance,60000,4
100,NA,70000,4
100,NA,50000,4
50,romance,80000,4
90,sci-fi,80000,4
50,young adult,80000,4
80,young adult,80000,4
40,mystery,70000,4
70,fantasy,90000,4
10,young adult,80000,4
60,drama,70000,4
20,sci-fi,80000,4
50,fantasy,70000,4
60,fantasy,90000,4
40,young adult,100000,4
100,fantasy,60000,4
30,romance,60000,4
600,young adult,80000,4
100,thriller,80000,4
60,drama,60000,4
50,sci-fi,70000,4
800,NA,80000,4
40,young adult,80000,4
20,young adult,80000,4
40,fantasy,70000,4
40,romance,100000,4
50,romance,70000,4
50,young adult,70000,4
80,sci-fi,70000,4
80,NA,30000,4
80,young adult,100000,4
70,mystery,90000,4
40,young adult,100000,4
40,fantasy,80000,4
70,fantasy,70000,4
50,romance,70000,4
60,mystery,90000,4
60,young adult,90000,4
90,sci-fi,80000,4
60,horror,70000,4
100,romance,70000,4
50,NA,60000,4
300,mystery,60000,4
10,mystery,70000,4
20,crime,70000,4
70,drama,60000,4
90,fantasy,80000,4
60,young adult,90000,4
100,thriller,70000,4
80,fantasy,70000,4
100,thriller,80000,4
100,horror,80000,4
60,fantasy,70000,4
100,NA,60000,4
40,young adult,90000,4
60,NA,70000,4
50,fantasy,70000,4
70,young adult,80000,4
70,young adult,70000,4
60,romance,100000,4
100,young adult,80000,4
70,fantasy,80000,4
60,mystery,70000,4
100,fantasy,70000,4
100,sci-fi,70000,4
60,sci-fi,70000,4
30,young adult,90000,4
50,NA,80000,4
50,mystery,90000,4
40,romance,70000,4
70,thriller,70000,4
100,romance,60000,4
70,romance,60000,4
40,comedy,80000,4
60,fantasy,90000,4
0,fantasy,80000,4
50,romance,70000,4
40,young adult,100000,4
50,NA,70000,4
50,fantasy,70000,4
800,fantasy,80000,4
60,romance,70000,4
100,fantasy,60000,4
40,fantasy,60000,4
50,young adult,80000,4
50,young adult,90000,4
100,fantasy,90000,4
20,mystery,80000,4
100,thriller,70000,4
70,young adult,90000,4
60,young adult,80000,4
50,romance,100000,4
20,horror,70000,4
40,mystery,90000,4
80,NA,60000,4
40,romance,100000,4
100,thriller,70000,4
60,young adult,90000,4
80,fantasy,70000,4
40,comedy,60000,4
40,drama,70000,4
60,young adult,90000,4
90,NA,60000,4
40,fantasy,80000,4
60,mystery,90000,4
70,thriller,60000,3
60,comedy,70000,4
40,young adult,100000,5
60,NA,60000,4
70,NA,60000,4
80,mystery,70000,4
80,sci-fi,60000,4
70,NA,70000,4
1000,NA,60000,4
40,young adult,70000,4
70,drama,70000,4
40,mystery,70000,4
100,comedy,60000,4
100,mystery,70000,4
50,fantasy,70000,4
100,fantasy,90000,4
30,young adult,80000,4
60,mystery,70000,4
50,NA,60000,4
0,mystery,50000,4
50,NA,70000,4
80,NA,60000,4
50,comedy,70000,4
100,sci-fi,70000,4
60,fantasy,70000,3
70,fantasy,100000,4
50,fantasy,100000,4
300,fantasy,60000,4
30,fantasy,80000,4
60,sci-fi,60000,4
60,fantasy,70000,4
100,fantasy,80000,4
60,NA,70000,4
10,mystery,60000,4
60,fantasy,70000,4
80,horror,50000,4
70,fantasy,80000,4
70,young adult,90000,4
20,fantasy,70000,4
40,young adult,100000,4
30,horror,80000,4
10,young adult,70000,4
70,fantasy,60000,4
200,fantasy,70000,4
60,fantasy,80000,4
100,horror,70000,4
100,mystery,70000,4
60,fantasy,70000,4
30,fantasy,80000,4
10,drama,70000,4
70,young adult,80000,4
80,fantasy,70000,4
50,young adult,70000,4
40,young adult,50000,4
90,NA,60000,4
30,fantasy,70000,5
0,mystery,60000,4
100,mystery,70000,4
80,young adult,80000,5
0,fantasy,90000,4
0,horror,60000,4
90,NA,60000,4
60,fantasy,50000,4
40,drama,70000,4
40,young adult,60000,4
100,mystery,60000,4
60,horror,60000,4
50,mystery,80000,4
80,young adult,80000,4
20,comedy,60000,4
30,fantasy,70000,4
100,mystery,60000,4
80,young adult,100000,4
50,young adult,90000,4
70,fantasy,70000,4
50,fantasy,60000,4
70,NA,70000,4
10,fairy-tales,80000,4
30,NA,70000,4
80,sci-fi,70000,4
60,romance,70000,4
100,mystery,60000,4
20,romance,50000,3
100,crime,70000,4
40,fantasy,70000,4
60,young adult,70000,4
90,romance,60000,4
50,NA,90000,4
40,young adult,90000,4
90,romance,60000,3
60,fantasy,70000,4
20,fantasy,60000,4
90,comedy,60000,3
40,fantasy,60000,4
100,horror,70000,4
100,thriller,60000,4
60,young adult,70000,4
50,drama,60000,4
80,horror,70000,4
80,comedy,60000,4
40,fantasy,60000,4
90,romance,60000,3
1000,NA,60000,4
40,mystery,90000,4
90,comedy,70000,4
40,fantasy,90000,4
40,NA,60000,4
90,young adult,60000,4
50,drama,60000,4
40,NA,60000,4
60,romance,30000,4
40,fantasy,50000,4
90,young adult,50000,4
30,NA,50000,4
60,NA,70000,4
60,comedy,70000,4
30,fantasy,70000,4
10,fantasy,60000,4
50,fantasy,80000,4
40,drama,60000,4
30,fantasy,70000,4
80,romance,60000,4
80,comedy,60000,4
600,mystery,60000,4
60,mystery,50000,4
60,fantasy,70000,4
90,drama,60000,4
200,mystery,50000,4
40,comedy,70000,4
40,romance,80000,4
50,romance,90000,4
50,fantasy,60000,4
10,romance,40000,4
50,young adult,80000,4
600,mystery,70000,4
60,NA,70000,4
40,fantasy,70000,4
10,fantasy,90000,4
20,romance,50000,4
50,romance,80000,4
70,sci-fi,60000,4
900,fantasy,60000,4
100,NA,60000,4
40,fantasy,70000,4
70,horror,40000,4
100,sci-fi,60000,4
60,NA,60000,4
30,comedy,60000,4
10,young adult,60000,4
50,fantasy,50000,5
50,drama,70000,4
100,fantasy,60000,4
60,romance,70000,4
70,fantasy,90000,4
30,comedy,50000,4
60,young adult,60000,4
100,NA,50000,4
60,mystery,70000,4
20,fantasy,70000,4
60,fantasy,60000,4
50,romance,80000,4
90,NA,60000,4
60,NA,60000,4
100,NA,50000,4
80,horror,60000,4
300,drama,60000,4
60,sci-fi,60000,4
100,sci-fi,70000,4
400,drama,70000,4
90,romance,60000,4
40,young adult,80000,4
30,NA,80000,4
60,fantasy,60000,4
800,young adult,70000,3
60,comedy,60000,4
60,fantasy,60000,4
20,fantasy,80000,4
80,fantasy,70000,4
50,drama,60000,4
90,thriller,60000,4
70,young adult,80000,4
60,fantasy,60000,4
80,drama,60000,4
50,drama,40000,3
50,fantasy,70000,4
40,young adult,80000,4
40,fantasy,80000,4
40,romance,80000,4
90,mystery,50000,4
100,drama,50000,4
100,fantasy,70000,4
40,fantasy,60000,4
50,romance,60000,3
50,fantasy,70000,4
60,young adult,80000,4
40,young adult,80000,4
60,thriller,60000,4
50,fantasy,70000,4
70,young adult,60000,4
40,young adult,90000,4
50,NA,60000,4
40,young adult,60000,4
60,young adult,80000,4
70,fantasy,50000,4
30,romance,70000,4
80,mystery,70000,3
30,drama,60000,4
20,romance,80000,4
0,young adult,70000,4
50,NA,50000,4
50,fantasy,70000,4
100,mystery,60000,4
100,sci-fi,60000,4
80,romance,60000,4
80,horror,60000,4
60,NA,60000,4
20,comedy,60000,4
600,drama,70000,4
50,drama,60000,4
40,drama,70000,4
80,young adult,90000,4
40,NA,50000,4
50,fantasy,70000,4
90,horror,60000,4
50,young adult,80000,4
100,fantasy,70000,4
80,thriller,60000,4
60,fantasy,60000,4
60,romance,70000,4
100,NA,40000,4
80,mystery,40000,4
50,romance,60000,4
100,thriller,60000,4
100,NA,50000,4
20,fantasy,70000,5
80,fantasy,70000,4
10,young adult,60000,4
900,romance,70000,4
40,mystery,80000,4
100,mystery,60000,4
40,young adult,80000,4
20,young adult,50000,4
50,young adult,80000,4
80,romance,50000,4
100,NA,50000,4
40,young adult,70000,4
60,NA,50000,4
80,thriller,50000,4
40,romance,60000,5
60,NA,60000,4
200,drama,50000,4
80,NA,50000,4
10,sci-fi,60000,4
100,fantasy,60000,4
30,fantasy,60000,4
800,mystery,60000,4
30,fantasy,70000,4
70,fantasy,70000,4
40,fantasy,70000,4
30,fantasy,80000,4
50,young adult,70000,4
60,fantasy,60000,4
50,young adult,70000,4
60,mystery,60000,3
90,drama,60000,4
70,thriller,50000,4
30,young adult,60000,4
60,sci-fi,50000,4
40,sci-fi,60000,4
10,mystery,40000,4
40,fantasy,60000,4
100,young adult,60000,4
40,young adult,80000,4
60,young adult,70000,4
40,fantasy,80000,4
20,fantasy,60000,5
60,romance,60000,3
50,young adult,60000,4
60,sci-fi,50000,4
50,romance,60000,4
70,crime,50000,4
40,drama,50000,4
100,fantasy,50000,3
300,NA,60000,4
40,fantasy,60000,4
700,romance,60000,4
30,young adult,70000,4
50,fantasy,90000,4
40,young adult,70000,4
40,NA,50000,4
50,young adult,50000,4
40,NA,50000,4
40,romance,40000,4
0,fantasy,50000,4
20,drama,60000,4
90,sci-fi,50000,4
90,sci-fi,50000,3
50,young adult,60000,4
600,NA,60000,4
80,romance,60000,4
700,romance,50000,3
40,NA,20000,4
200,NA,50000,4
60,romance,60000,4
30,fantasy,60000,4
20,sci-fi,50000,4
50,drama,50000,4
70,fantasy,70000,4
30,fantasy,60000,4
700,young adult,60000,4
70,fantasy,70000,4
40,mystery,70000,4
60,young adult,80000,4
50,romance,30000,4
20,fantasy,60000,4
60,mystery,50000,4
60,fantasy,50000,4
30,romance,80000,4
100,romance,50000,4
100,NA,50000,4
80,fantasy,60000,4
50,romance,40000,3
70,horror,50000,4
80,NA,60000,4
80,romance,60000,4
70,mystery,60000,4
70,romance,60000,4
70,drama,60000,4
60,young adult,70000,4
10,horror,60000,4
40,young adult,70000,4
100,NA,50000,4
100,fantasy,60000,4
40,romance,50000,5
50,young adult,70000,4
3000,fantasy,30000,4
70,fantasy,60000,4
80,fantasy,60000,4
40,fantasy,60000,4
40,sci-fi,40000,4
40,sci-fi,50000,3
40,fantasy,50000,4
100,mystery,60000,4
100,mystery,50000,4
80,NA,50000,4
50,mystery,70000,4
60,sci-fi,60000,4
70,fantasy,80000,4
50,young adult,60000,4
30,young adult,40000,4
40,fantasy,80000,4
100,mystery,50000,4
50,young adult,70000,4
40,mystery,50000,4
40,romance,40000,4
200,NA,50000,4
30,romance,50000,4
30,young adult,70000,4
10,fantasy,60000,5
90,thriller,40000,4
50,fantasy,50000,4
80,romance,50000,4
50,fantasy,50000,4
10,fantasy,60000,4
60,NA,50000,4
30,mystery,50000,4
80,mystery,60000,4
70,fantasy,60000,4
40,fantasy,60000,4
50,fantasy,70000,4
70,young adult,60000,4
100,fantasy,60000,4
30,romance,80000,4
20,horror,50000,4
600,romance,60000,4
30,romance,70000,4
50,young adult,70000,4
30,fantasy,70000,4
20,romance,90000,4
20,NA,50000,4
40,romance,40000,4
70,fantasy,70000,4
30,fantasy,70000,4
20,fantasy,60000,4
50,fantasy,80000,4
300,horror,60000,4
20,horror,60000,4
50,mystery,50000,4
10,romance,40000,4
20,comedy,50000,5
40,young adult,60000,4
20,mystery,50000,4
100,NA,50000,4
30,drama,40000,2
40,romance,40000,4
80,NA,50000,4
90,mystery,50000,4
0,drama,20000,4
50,young adult,70000,4
200,sci-fi,50000,4
100,fantasy,60000,4
30,young adult,70000,4
40,romance,40000,4
10,young adult,60000,4
60,drama,50000,4
50,fantasy,70000,4
40,sci-fi,50000,5
40,fantasy,60000,4
40,comedy,60000,4
30,mystery,60000,4
40,fantasy,50000,4
50,romance,30000,4
40,drama,50000,4
50,young adult,50000,4
40,sci-fi,50000,4
50,romance,80000,4
30,mystery,40000,4
50,young adult,60000,4
40,mystery,70000,4
20,romance,40000,3
100,fantasy,60000,4
80,young adult,60000,4
60,young adult,70000,4
20,fantasy,50000,4
70,young adult,70000,4
60,suspense,50000,4
100,mystery,50000,4
30,romance,40000,4
40,romance,30000,4
200,fantasy,40000,4
30,fantasy,50000,4
70,sci-fi,50000,4
70,thriller,50000,4
30,NA,50000,4
