Rounded up rating,ratings_count,Genre,Class
5,593173,fantasy,no
5,469022,fantasy,no
4,465676,drama,yes
5,515547,romance,no
4,509883,romance,no
4,613674,fantasy,no
5,443951,mystery,no
5,423344,sci-fi,no
5,462517,fantasy,no
5,470001,drama,no
5,487775,#N/A,no
4,455610,thriller,no
4,396756,mystery,no
5,463783,young adult,no
4,467577,romance,yes
4,503527,young adult,no
5,424981,drama,no
5,514932,fantasy,no
5,441062,romance,no
5,541117,fantasy,no
4,496018,fantasy,no
5,480446,fantasy,yes
4,403601,romance,yes
5,457475,fantasy,no
5,453959,young adult,yes
5,508214,fantasy,no
4,459247,romance,yes
5,463959,fantasy,yes
4,420600,crime,no
5,271576,fantasy,no
5,514312,young adult,no
5,428186,fantasy,no
4,511815,young adult,no
5,378019,fantasy,no
5,438832,horror,yes
5,424637,romance,no
4,423019,thriller,no
4,459826,romance,yes
5,297472,romance,no
4,431195,sci-fi,yes
4,419539,fantasy,no
5,397500,fantasy,no
5,292592,horror,yes
5,380903,crime,no
4,401605,drama,no
5,392103,drama,no
4,372099,#N/A,no
5,381652,crime,no
4,436093,young adult,yes
5,490890,fantasy,no
5,440743,young adult,yes
5,429543,fantasy,no
5,381080,romance,yes
4,449073,young adult,no
5,365954,fantasy,no
5,389054,fantasy,yes
4,379872,#N/A,no
5,398018,fantasy,yes
5,400101,fantasy,no
5,353011,#N/A,no
4,358050,drama,yes
5,393626,romance,yes
5,365349,thriller,yes
4,420764,fantasy,no
5,376766,drama,yes
5,367304,comedy,yes
5,408983,mystery,no
4,369428,mystery,yes
4,448166,young adult,no
5,418309,romance,no
5,394540,fantasy,yes
4,372566,fantasy,yes
5,505340,young adult,yes
5,391007,mystery,yes
5,377249,#N/A,no
5,351107,horror,yes
5,248283,horror,no
4,348196,#N/A,no
4,347006,romance,yes
4,364933,fantasy,no
5,446668,fantasy,no
5,349423,sci-fi,no
5,327409,drama,no
4,309385,crime,no
5,222678,romance,no
5,376385,sci-fi,yes
5,291411,young adult,no
5,311543,young adult,no
4,327122,thriller,yes
4,386923,fantasy,no
4,395296,young adult,no
5,320919,drama,no
4,333452,mystery,no
4,320083,mystery,no
4,323762,romance,yes
5,340920,fantasy,yes
5,365425,romance,no
5,312444,drama,no
4,332494,fantasy,yes
4,283806,drama,no
4,360156,young adult,yes
4,232106,mystery,no
5,291258,thriller,no
4,356814,horror,yes
4,293878,comedy,yes
5,312969,horror,yes
4,287533,mystery,no
5,333638,young adult,no
5,311499,mystery,yes
5,334647,horror,yes
4,207889,mystery,no
4,337644,young adult,yes
4,360044,young adult,no
5,314700,#N/A,no
4,334241,drama,yes
4,294726,young adult,no
5,228538,young adult,no
5,314016,fantasy,yes
5,427663,young adult,no
4,297712,mystery,no
4,356625,young adult,no
4,283295,sci-fi,no
4,283516,#N/A,no
5,343252,fantasy,yes
5,263685,mystery,no
4,305643,young adult,no
5,282623,#N/A,no
4,279264,romance,yes
5,306186,mystery,no
4,339117,fantasy,no
4,284988,romance,no
5,291909,young adult,no
4,274639,mystery,yes
5,253606,romance,no
4,294123,sci-fi,no
5,262921,romance,yes
5,177384,mystery,yes
5,313044,sci-fi,no
4,263199,romance,no
5,280475,drama,no
5,256480,crime,yes
4,312754,young adult,no
5,279688,sci-fi,no
4,293844,fantasy,no
5,297861,young adult,no
4,270603,fantasy,no
4,256975,romance,no
4,288376,mystery,no
5,316379,fantasy,yes
5,298304,fantasy,no
4,246602,#N/A,no
5,251703,romance,no
5,267166,romance,no
4,244545,romance,no
5,270318,thriller,yes
5,292426,fantasy,yes
4,290674,comedy,no
5,258319,drama,no
5,306492,young adult,yes
4,268012,young adult,yes
5,299980,fantasy,no
5,258464,sci-fi,no
5,296952,fantasy,no
5,238940,sci-fi,no
4,276076,sci-fi,no
5,228371,young adult,no
5,285692,young adult,yes
4,255576,horror,no
5,255531,romance,no
4,241537,#N/A,no
5,246917,drama,no
4,256383,horror,yes
4,259576,drama,no
5,245686,fantasy,no
4,278747,romance,no
5,341826,fantasy,no
4,248804,romance,no
5,255651,romance,no
5,302303,fantasy,no
4,243526,romance,no
4,285011,young adult,yes
4,237272,#N/A,no
5,250192,comedy,no
5,270859,young adult,no
5,226091,young adult,no
5,300553,fantasy,no
4,215453,mystery,yes
5,268548,young adult,no
5,268318,fantasy,no
5,205279,romance,no
5,340379,young adult,no
5,226964,drama,no
4,245674,drama,yes
5,299998,young adult,no
5,235978,young adult,no
5,241869,#N/A,no
5,260184,fantasy,no
4,221225,romance,no
5,268355,sci-fi,no
5,223432,drama,no
5,252564,romance,no
4,270402,fantasy,yes
5,233984,mystery,no
5,222842,sci-fi,no
4,222926,romance,no
5,244842,fantasy,no
4,253437,young adult,yes
4,241088,fantasy,no
4,231835,mystery,no
4,222712,thriller,yes
5,201337,comedy,no
4,250000,young adult,no
4,247521,young adult,yes
4,250221,young adult,yes
4,273442,young adult,no
4,228680,horror,no
5,232489,comedy,no
5,307994,fantasy,no
4,251082,comedy,no
4,238875,drama,no
4,233825,horror,no
5,281185,fantasy,yes
4,275670,fantasy,yes
4,249113,young adult,no
5,257260,fantasy,no
5,199326,#N/A,no
5,223828,sci-fi,yes
4,230181,young adult,yes
5,116277,fantasy,no
5,259479,young adult,no
5,250602,fantasy,yes
5,210682,sci-fi,yes
5,215780,#N/A,no
4,205986,horror,no
5,242503,fantasy,no
4,237560,young adult,yes
5,232791,fantasy,no
4,220301,sci-fi,no
5,191923,comedy,no
5,245855,fantasy,no
5,191535,#N/A,no
4,223932,young adult,no
4,223674,young adult,no
5,237602,fantasy,yes
4,184211,drama,no
4,226622,fantasy,no
5,183988,romance,no
4,208333,romance,yes
4,236431,young adult,no
4,184241,drama,no
5,256745,young adult,no
5,202135,#N/A,no
4,236015,young adult,no
4,242980,drama,yes
4,222553,young adult,no
5,208944,fantasy,no
4,223535,horror,no
5,226564,fantasy,no
4,254852,young adult,no
5,274987,young adult,no
5,266742,young adult,no
4,195063,romance,no
4,197294,romance,no
4,178135,horror,yes
4,179347,#N/A,no
5,284833,fantasy,no
4,183878,sci-fi,no
4,186613,romance,no
5,195689,horror,no
4,167332,#N/A,no
4,182025,mystery,no
5,178154,sci-fi,no
4,218264,#N/A,no
4,192330,romance,no
4,171558,#N/A,no
5,207508,romance,yes
4,199346,young adult,no
4,200509,romance,no
5,165675,romance,no
5,195274,romance,no
4,116784,#N/A,no
4,230031,young adult,no
5,221431,fantasy,no
4,213200,mystery,no
5,224247,young adult,no
5,231853,young adult,no
4,185116,romance,no
4,191850,romance,no
5,190050,fantasy,no
5,234247,young adult,no
5,200217,mystery,no
4,196677,young adult,no
4,170776,comedy,no
5,210630,drama,no
5,277491,fantasy,no
4,190590,fantasy,no
5,167593,fantasy,no
5,194013,horror,yes
5,198368,sci-fi,no
5,227021,romance,no
5,226237,young adult,no
4,220160,young adult,yes
4,165378,drama,no
5,168006,drama,no
5,165704,romance,no
5,165628,sci-fi,no
5,168911,drama,no
4,183292,horror,no
5,175883,sci-fi,no
5,202180,young adult,no
5,207550,fantasy,yes
4,180896,mystery,no
5,201499,mystery,no
5,211645,fantasy,no
4,170491,#N/A,no
4,205340,young adult,no
5,203053,fantasy,no
4,205167,romance,no
5,260048,young adult,no
4,185979,romance,yes
5,198083,fantasy,no
4,172417,romance,no
4,194493,drama,no
4,190473,fantasy,no
5,160466,sci-fi,no
5,183777,drama,no
5,162099,fantasy,no
4,182220,drama,yes
4,155658,#N/A,no
5,178110,romance,no
5,159457,fantasy,no
4,167400,romance,no
5,155338,fantasy,no
4,160330,fantasy,no
4,181106,romance,no
4,185928,young adult,no
5,214412,young adult,no
4,205064,romance,no
5,171281,#N/A,no
4,188024,mystery,no
4,162740,#N/A,no
5,193141,young adult,no
5,167106,drama,no
5,162972,thriller,no
4,178188,young adult,yes
4,153128,#N/A,no
5,192315,fantasy,no
5,175771,fantasy,no
5,168082,drama,no
4,152906,young adult,no
4,154643,comedy,no
5,155838,crime,no
4,198809,young adult,yes
4,173186,sci-fi,no
5,173950,horror,yes
5,142641,#N/A,no
5,184007,young adult,no
4,191743,young adult,no
5,164287,sci-fi,no
5,184759,#N/A,no
5,168405,mystery,no
4,145459,#N/A,no
5,176062,romance,yes
4,183255,young adult,no
5,168037,romance,no
4,166083,horror,yes
4,193140,young adult,yes
4,180320,mystery,no
5,164530,horror,no
5,170841,sci-fi,yes
5,157506,romance,no
4,161173,fantasy,yes
5,139544,young adult,no
5,129665,young adult,yes
4,152786,#N/A,no
4,170096,romance,no
5,162595,fantasy,no
5,167379,mystery,no
5,160063,horror,yes
5,171384,young adult,no
5,139816,mystery,no
5,159596,romance,no
5,147717,fantasy,no
5,198627,romance,no
5,169306,fantasy,yes
4,193405,young adult,no
5,133408,fantasy,no
5,149438,mystery,yes
5,152441,sci-fi,no
5,168678,young adult,no
4,149453,#N/A,no
5,181656,fantasy,no
4,150055,mystery,yes
4,190565,fantasy,no
5,153809,fantasy,no
4,168727,fantasy,yes
5,175616,drama,no
4,155903,fantasy,no
5,145267,crime,no
4,138669,drama,no
5,150898,comedy,no
5,198283,fantasy,no
5,83354,fantasy,no
5,155977,#N/A,no
4,167997,mystery,no
5,189938,romance,no
5,199872,young adult,yes
5,179415,young adult,no
4,189671,fantasy,no
5,206792,young adult,no
5,195424,young adult,no
5,173469,fantasy,no
4,139411,#N/A,no
4,159752,sci-fi,yes
4,156328,young adult,no
5,160860,fantasy,no
5,133271,young adult,no
4,138454,sci-fi,no
5,142092,romance,no
4,153821,horror,no
5,157395,romance,no
5,156869,drama,no
4,158215,horror,no
4,159249,young adult,no
5,199572,fantasy,no
4,171599,romance,no
4,158877,romance,no
5,178432,fantasy,no
5,144822,fantasy,no
5,181323,fantasy,no
5,161001,young adult,no
5,150736,fantasy,no
4,99342,romance,no
5,140076,drama,no
5,135979,fantasy,no
5,172302,young adult,no
4,134849,romance,yes
5,136427,romance,no
4,151500,sci-fi,no
4,113915,romance,no
4,134177,#N/A,no
4,148563,sci-fi,yes
4,151471,comedy,no
4,174280,fantasy,yes
4,151160,horror,no
5,174204,fantasy,no
4,164708,#N/A,no
5,193766,fantasy,no
4,153764,#N/A,no
5,190722,young adult,no
4,147908,fantasy,no
5,139501,horror,no
4,173613,fantasy,no
4,131492,drama,no
5,142168,thriller,yes
5,133937,romance,no
4,150512,drama,no
5,160607,young adult,no
5,131389,fantasy,no
4,155042,young adult,no
4,154476,young adult,yes
4,155901,young adult,no
4,137412,thriller,no
4,134931,fantasy,no
5,132777,fantasy,no
5,153838,sci-fi,no
4,174393,young adult,no
5,162373,fantasy,yes
4,170453,fantasy,no
5,143622,fantasy,no
4,145161,young adult,yes
4,127096,comedy,no
4,133728,fantasy,no
5,177796,fantasy,no
5,159703,young adult,no
4,144591,horror,no
5,113565,#N/A,no
4,134106,sci-fi,no
5,139052,fantasy,no
5,138377,romance,no
4,131856,horror,no
5,151829,young adult,no
4,128406,mystery,no
4,127186,crime,no
5,154517,mystery,no
5,136950,#N/A,no
5,157736,fantasy,yes
4,151789,young adult,no
4,129807,romance,no
4,125847,thriller,yes
5,162689,fantasy,no
4,133155,mystery,no
5,168001,fantasy,yes
5,141945,fairy-tales,no
5,141674,thriller,yes
4,111856,romance,no
4,135635,#N/A,no
5,169560,fantasy,no
5,176433,young adult,no
4,136886,sci-fi,yes
4,144533,romance,no
4,109692,romance,no
5,188136,fantasy,no
5,143236,sci-fi,no
4,120126,drama,no
4,144497,young adult,no
4,131352,sci-fi,no
5,158701,young adult,no
5,128715,romance,no
4,180961,young adult,no
5,153882,young adult,no
4,150003,young adult,no
4,148480,fantasy,no
4,124371,romance,no
5,146905,fantasy,no
4,125195,fantasy,no
4,137858,drama,no
4,141110,horror,yes
5,163054,fantasy,no
5,98738,sci-fi,no
4,119213,drama,no
4,100886,young adult,no
4,150222,young adult,no
4,114531,crime,no
4,117657,drama,no
4,128961,#N/A,no
4,129811,thriller,no
5,146073,young adult,no
5,110651,#N/A,no
5,137372,#N/A,no
4,129778,romance,yes
5,126993,horror,no
4,137639,fantasy,no
5,151721,young adult,no
4,108703,young adult,no
5,119930,fantasy,no
4,132723,thriller,no
4,135514,mystery,no
5,138444,mystery,yes
5,113252,romance,no
5,121398,romance,no
4,142213,horror,no
5,141641,romance,no
5,109642,#N/A,no
4,115393,romance,no
5,156726,young adult,no
5,87445,#N/A,no
5,165127,young adult,no
4,133683,fantasy,no
5,116800,romance,no
5,159774,fantasy,no
4,144606,young adult,no
4,118045,romance,no
5,130293,#N/A,no
4,112167,crime,no
4,116053,romance,no
4,110873,#N/A,no
5,131481,horror,no
5,121966,romance,no
4,128244,sci-fi,yes
4,124812,romance,no
5,120008,mystery,no
5,141299,horror,no
4,124837,mystery,no
4,110939,romance,no
4,121112,sci-fi,no
4,124786,romance,no
4,136327,romance,no
4,92275,comedy,no
4,131004,horror,no
5,124876,romance,no
4,130219,horror,no
4,117108,sci-fi,no
4,129350,young adult,no
4,102206,romance,no
5,105138,drama,no
4,121373,#N/A,no
5,143892,young adult,no
5,123736,romance,no
5,149702,young adult,no
4,135448,drama,no
4,132061,drama,no
4,93479,romance,no
5,119915,young adult,no
4,124665,#N/A,no
5,106211,#N/A,no
5,120004,fantasy,yes
5,118910,comedy,no
5,122524,fantasy,no
5,95213,crime,no
5,151095,fantasy,no
5,117483,fantasy,no
5,120541,mystery,no
4,119911,romance,no
5,125668,fantasy,no
5,122225,sci-fi,no
4,133264,young adult,no
5,124467,horror,yes
4,145874,young adult,no
4,131945,mystery,no
5,118951,drama,no
5,113855,fantasy,no
4,123073,sci-fi,no
5,116260,young adult,no
5,135978,fantasy,yes
5,105961,horror,yes
5,124320,young adult,no
4,113977,romance,no
5,81982,sci-fi,no
5,118576,fantasy,no
5,104549,#N/A,no
4,118475,comedy,no
5,118751,fantasy,no
5,137047,young adult,no
5,145157,fantasy,no
5,109313,drama,no
5,164832,young adult,no
5,131562,sci-fi,no
5,160485,young adult,no
5,126864,young adult,no
5,110597,#N/A,no
5,128450,fantasy,no
4,158063,young adult,no
5,111498,romance,no
5,122502,comedy,no
5,140599,young adult,no
5,115521,sci-fi,no
4,119105,romance,no
5,108338,drama,yes
4,109944,drama,no
4,119739,romance,no
5,124805,#N/A,no
5,122540,fantasy,no
5,111497,#N/A,no
5,113718,mystery,yes
5,109754,mystery,no
4,119933,drama,no
4,110481,#N/A,no
4,110274,#N/A,no
4,126318,drama,no
5,162069,young adult,no
5,106542,#N/A,no
4,102746,#N/A,no
4,101436,romance,no
4,119851,romance,yes
5,99252,drama,no
5,117788,comedy,no
4,139168,young adult,no
4,125474,romance,no
4,138103,young adult,no
5,102193,fantasy,no
5,105317,thriller,yes
5,111779,young adult,no
4,102560,comedy,no
5,59453,crime,yes
5,105595,sci-fi,no
5,97016,#N/A,no
5,111239,mystery,no
5,116324,fantasy,no
5,134537,young adult,yes
5,95276,horror,no
4,101999,comedy,yes
5,136761,romance,no
5,106351,#N/A,no
5,117582,fantasy,no
5,109595,thriller,no
5,107313,young adult,no
4,98645,comedy,no
4,106336,fantasy,no
5,118467,fantasy,no
4,125178,drama,no
4,120763,young adult,no
5,105026,fantasy,no
4,109412,sci-fi,yes
5,132159,young adult,no
5,108124,sci-fi,no
5,113881,romance,no
4,100936,mystery,no
5,138871,romance,no
4,113805,romance,no
4,127387,young adult,no
5,100513,thriller,yes
4,102936,#N/A,no
5,123945,fantasy,yes
4,115855,horror,no
4,108062,#N/A,no
5,105892,romance,no
4,103915,romance,no
4,94968,mystery,no
4,116026,mystery,no
4,119496,drama,no
4,106729,romance,no
4,124612,fantasy,yes
5,136938,young adult,no
5,117103,young adult,no
4,109994,romance,no
4,136736,young adult,no
5,120475,young adult,no
5,78028,mystery,no
4,102715,mystery,no
5,138118,young adult,no
5,104633,fantasy,no
4,94012,drama,no
4,121863,young adult,yes
4,104467,sci-fi,no
4,115621,drama,no
5,104339,romance,no
5,134249,romance,no
5,167848,fantasy,yes
5,76876,romance,no
5,105192,#N/A,no
5,98628,young adult,no
5,116197,sci-fi,yes
4,102733,mystery,yes
4,99926,drama,no
4,112733,young adult,no
4,110552,mystery,no
4,109063,horror,yes
5,116771,#N/A,no
4,99831,young adult,yes
4,54937,drama,no
4,119607,drama,no
4,114917,sci-fi,no
5,117108,mystery,yes
5,104939,sci-fi,no
5,109236,fantasy,no
4,105032,young adult,no
5,134022,romance,no
5,73572,fantasy,no
5,104690,fantasy,no
5,103552,romance,no
4,104248,horror,no
4,102574,horror,yes
4,98379,romance,no
5,123065,young adult,no
4,101669,young adult,no
5,102923,#N/A,no
4,127379,fantasy,no
4,95803,horror,no
4,130213,young adult,no
4,92849,mystery,no
4,131034,fantasy,no
5,105473,fantasy,no
5,109110,fantasy,yes
5,98276,drama,yes
4,97468,#N/A,no
5,132285,young adult,no
5,102419,#N/A,no
5,93475,thriller,no
4,98464,mystery,no
5,73149,young adult,no
4,55381,drama,no
4,99729,horror,no
4,103547,#N/A,no
5,107221,fantasy,no
5,137558,romance,no
5,96865,sci-fi,no
5,111371,fantasy,no
4,90083,#N/A,no
5,93990,young adult,no
5,108652,fantasy,no
4,94590,#N/A,no
5,101343,thriller,no
5,93151,sci-fi,no
4,110693,horror,yes
4,102646,romance,no
5,96564,#N/A,no
4,104283,drama,no
5,98591,mystery,no
4,95620,sci-fi,no
5,119633,romance,no
5,104677,fantasy,no
4,97745,romance,no
5,103933,romance,no
4,99170,drama,no
5,116360,fantasy,no
5,97653,sci-fi,no
4,100158,thriller,yes
5,116171,mystery,no
5,102348,#N/A,no
5,87636,sci-fi,yes
4,100972,horror,no
4,94696,#N/A,yes
5,97501,fantasy,no
4,108031,fantasy,no
4,103151,drama,no
4,105063,#N/A,no
5,132087,young adult,yes
4,100369,mystery,no
4,58396,young adult,no
4,90551,romance,no
4,89770,romance,no
4,82504,mystery,no
5,104168,young adult,no
5,121727,fantasy,no
4,98795,horror,yes
4,85019,drama,yes
4,88251,comedy,no
5,85277,#N/A,no
5,98180,fantasy,no
4,98950,drama,no
4,100223,young adult,yes
5,98182,horror,no
5,88227,young adult,no
5,117508,romance,no
4,86965,mystery,no
4,87412,romance,no
4,97462,drama,yes
5,134805,comedy,no
4,82591,comedy,no
4,94821,horror,no
4,119735,young adult,no
4,96568,young adult,no
5,73886,fantasy,no
4,90811,drama,no
5,93227,fantasy,no
5,140937,young adult,no
4,49551,thriller,no
4,98130,romance,no
5,93296,fantasy,yes
5,88847,young adult,no
4,93498,romance,no
5,91625,comedy,no
4,125363,fantasy,no
5,92142,young adult,no
4,92569,#N/A,no
5,94095,fantasy,yes
4,95995,romance,no
5,109344,romance,no
4,86870,thriller,no
5,90907,fantasy,yes
5,90483,romance,no
5,91774,mystery,no
4,94624,thriller,no
4,73994,#N/A,yes
4,78271,#N/A,no
5,76261,fantasy,no
5,95421,fantasy,no
4,89410,sci-fi,yes
4,94456,#N/A,no
4,84180,sci-fi,no
4,92158,crime,no
5,90574,fantasy,no
4,87511,fantasy,no
5,97925,sci-fi,no
4,76553,mystery,no
5,129150,fantasy,no
4,116687,young adult,no
5,96981,mystery,no
5,74218,#N/A,no
4,96316,fantasy,no
5,37090,crime,no
4,95768,horror,no
5,104579,fantasy,yes
5,91383,fantasy,no
5,85883,mystery,no
4,88626,#N/A,no
4,105414,romance,no
4,89204,fantasy,no
5,85582,young adult,no
5,64779,young adult,no
5,83847,young adult,no
5,113400,mystery,no
5,93217,romance,no
5,102184,fantasy,no
5,106435,young adult,no
5,135225,fantasy,no
4,74979,mystery,no
5,114623,young adult,no
5,90917,sci-fi,no
4,108370,young adult,no
4,82474,drama,no
4,61422,#N/A,no
4,83607,comedy,no
5,97938,young adult,no
4,76566,drama,no
5,93001,comedy,no
4,95796,mystery,no
5,89460,mystery,no
5,93640,#N/A,no
5,93774,sci-fi,no
5,80769,fantasy,no
5,89468,mystery,no
4,80991,romance,no
5,82608,fantasy,no
5,87141,sci-fi,no
4,113066,fantasy,no
5,83881,#N/A,no
5,123843,fantasy,no
5,91046,fantasy,no
4,99841,mystery,no
4,82090,#N/A,no
5,87098,romance,no
5,110719,fantasy,no
4,90477,mystery,no
5,131906,fantasy,no
4,81712,young adult,no
5,69992,#N/A,no
5,99390,fantasy,no
4,118624,young adult,no
5,97736,fantasy,no
5,71156,#N/A,no
5,83085,romance,no
4,80577,mystery,no
4,92980,young adult,no
4,103995,horror,no
4,81616,comedy,no
5,74642,romance,no
4,89569,sci-fi,no
5,91831,young adult,no
4,74199,comedy,no
5,97058,young adult,no
4,94231,comedy,no
5,85136,young adult,no
5,45382,thriller,no
5,95950,fantasy,no
4,99638,young adult,yes
4,84367,romance,no
4,90138,drama,no
4,84957,fantasy,no
4,109290,fantasy,no
4,75502,fantasy,no
4,82535,horror,no
4,80377,mystery,no
5,93963,mystery,no
4,94478,young adult,no
5,80434,#N/A,no
4,105770,young adult,no
4,111044,young adult,no
4,88139,romance,no
4,93134,mystery,no
5,66979,mystery,no
4,104730,young adult,no
5,106871,mystery,no
5,80906,#N/A,no
4,85006,#N/A,no
5,110812,fantasy,no
5,83235,fantasy,no
4,83461,romance,no
4,91323,romance,no
5,72493,sci-fi,no
4,71053,horror,no
4,79762,drama,no
4,101016,fantasy,no
4,75665,#N/A,no
4,72675,fantasy,no
5,102012,young adult,no
5,71971,romance,no
4,67873,mystery,no
4,77462,crime,no
4,83066,drama,no
4,67438,romance,no
5,104252,fantasy,no
5,93119,young adult,no
4,87427,drama,no
4,88673,fantasy,no
5,75469,horror,no
5,83695,mystery,no
4,56315,mystery,no
5,101234,young adult,no
4,81102,young adult,no
4,94282,young adult,no
5,74511,comedy,no
4,67937,#N/A,no
5,71276,drama,no
5,39863,#N/A,no
5,74052,thriller,no
4,86471,drama,no
5,70550,comedy,no
5,77538,romance,no
4,75320,romance,no
4,82580,fantasy,no
5,75031,fantasy,no
4,77592,romance,no
5,90999,fairy-tales,yes
5,82399,young adult,no
5,81707,romance,no
4,78132,romance,no
5,97049,young adult,no
5,65362,#N/A,no
5,95274,romance,no
4,72713,crime,no
4,62784,fantasy,no
4,83389,thriller,no
4,100593,young adult,no
4,86421,fantasy,no
5,88508,fantasy,no
5,71095,horror,no
5,107569,young adult,no
4,82320,horror,no
4,66713,horror,no
4,67866,romance,no
5,89733,romance,no
5,91012,fantasy,no
5,95378,fantasy,no
4,108399,fantasy,no
5,107583,romance,no
4,84770,romance,yes
4,80959,horror,no
4,83741,romance,yes
5,91213,romance,no
4,73140,#N/A,no
4,71515,drama,no
5,94437,fantasy,no
5,78070,mystery,no
4,89262,horror,no
4,109881,young adult,no
4,93625,#N/A,no
5,72683,sci-fi,no
5,111668,romance,no
4,78529,romance,no
4,77251,drama,no
4,77277,young adult,no
4,95447,young adult,no
4,44097,crime,no
4,79662,drama,no
5,72481,thriller,no
5,99329,mystery,no
4,72277,fantasy,no
5,78523,fantasy,no
5,66406,#N/A,no
4,86062,fantasy,no
4,71023,comedy,no
4,70241,#N/A,no
5,77258,thriller,no
5,80056,drama,no
5,84489,thriller,yes
5,81598,drama,no
4,74358,comedy,no
4,101325,young adult,no
4,72328,fantasy,no
5,106236,romance,no
5,82518,young adult,no
5,74130,fantasy,no
5,69975,#N/A,no
5,111448,young adult,no
5,109183,young adult,no
4,78129,romance,no
5,95638,young adult,no
4,53751,suspense,yes
4,76761,crime,no
5,92952,fantasy,no
5,86103,mystery,no
4,66381,romance,no
4,84682,young adult,yes
5,80366,sci-fi,no
5,35283,romance,no
5,92737,mystery,no
4,75018,mystery,no
5,82565,fantasy,no
4,79008,romance,no
4,82281,young adult,no
4,90032,drama,no
4,64637,romance,no
4,66129,#N/A,no
4,52031,#N/A,no
4,75541,romance,no
4,76925,sci-fi,no
5,87718,young adult,yes
4,83351,young adult,no
5,78592,young adult,no
4,67928,mystery,no
5,87277,fantasy,no
5,81621,young adult,no
5,66782,drama,no
5,81326,sci-fi,no
5,72185,fantasy,no
4,87066,fantasy,no
4,80075,romance,no
5,108884,young adult,no
4,84778,sci-fi,yes
5,63764,fantasy,no
4,62106,romance,no
4,78355,young adult,no
4,76376,thriller,no
4,91630,romance,no
5,99918,young adult,yes
5,82102,young adult,no
4,59973,drama,no
4,74517,sci-fi,no
4,76791,#N/A,no
4,84358,young adult,no
5,75307,young adult,no
5,79824,horror,no
5,71815,fantasy,no
5,97615,romance,no
4,66085,romance,no
4,73515,young adult,no
4,89033,fantasy,yes
5,72311,sci-fi,no
5,32626,#N/A,no
4,99311,young adult,no
5,94506,mystery,no
5,95026,young adult,no
