rounded_book_count,Genre,rounded_rating,rounded_ratings_count
1000,romance,4,600000
200,sci-fi,4,500000
200,young adult,4,500000
100,drama,4,500000
100,comedy,4,500000
1000,romance,4,500000
200,fantasy,4,500000
200,romance,4,600000
2000,young adult,4,600000
100,drama,4,500000
200,sci-fi,4,600000
90,young adult,4,500000
400,drama,4,500000
10,thriller,4,500000
200,drama,4,500000
2000,drama,4,500000
200,NA,4,600000
300,drama,4,500000
700,drama,4,500000
400,drama,4,300000
1000,young adult,4,500000
100,fantasy,4,600000
200,fantasy,5,500000
80,drama,4,500000
200,romance,4,500000
200,mystery,4,400000
100,sci-fi,4,400000
200,young adult,4,500000
200,romance,4,500000
100,young adult,4,500000
2000,fantasy,4,500000
500,fantasy,4,500000
70,romance,4,400000
300,young adult,4,500000
90,fantasy,4,500000
2000,romance,4,500000
500,fantasy,5,500000
700,crime,4,400000
200,fantasy,4,400000
200,horror,4,400000
2000,romance,4,500000
1000,romance,4,300000
300,sci-fi,4,400000
10,horror,4,300000
200,crime,4,400000
100,young adult,4,400000
200,young adult,4,400000
100,romance,4,400000
100,fantasy,4,400000
400,fantasy,4,400000
100,NA,4,400000
90,fantasy,4,400000
100,fantasy,5,400000
2000,drama,3,400000
100,romance,4,400000
200,thriller,4,400000
200,drama,4,400000
100,comedy,4,400000
500,mystery,4,400000
200,mystery,4,400000
2000,fantasy,4,400000
200,fantasy,4,400000
90,young adult,4,500000
100,mystery,4,400000
200,horror,4,400000
100,horror,4,200000
200,romance,4,300000
70,crime,4,300000
300,sci-fi,4,400000
100,thriller,4,300000
100,young adult,4,400000
80,drama,4,300000
80,romance,3,300000
800,fantasy,4,300000
1000,romance,4,400000
100,drama,4,300000
200,fantasy,4,300000
300,drama,4,300000
90,young adult,4,400000
200,horror,4,400000
80,comedy,4,300000
100,horror,4,300000
200,mystery,4,300000
100,mystery,4,300000
200,horror,4,300000
100,young adult,4,300000
1000,drama,4,300000
100,young adult,4,300000
100,fantasy,4,300000
100,sci-fi,4,300000
0,fantasy,4,300000
60,romance,4,300000
300,romance,4,300000
100,young adult,4,300000
100,mystery,4,300000
200,sci-fi,4,300000
20,romance,4,300000
300,mystery,4,200000
200,sci-fi,4,300000
200,romance,4,300000
100,drama,4,300000
300,crime,4,300000
200,fantasy,4,300000
300,NA,4,200000
100,romance,4,300000
200,romance,4,200000
100,thriller,4,300000
200,fantasy,4,300000
300,young adult,4,300000
3000,young adult,4,300000
200,young adult,4,300000
1000,horror,3,300000
100,romance,4,300000
100,NA,4,200000
200,horror,4,300000
70,romance,4,200000
200,romance,4,300000
100,young adult,4,300000
100,comedy,4,300000
80,mystery,4,200000
300,romance,4,200000
100,drama,4,200000
100,drama,4,200000
80,romance,4,200000
100,drama,4,200000
200,fantasy,4,300000
100,romance,4,200000
40,young adult,4,300000
2000,fantasy,4,200000
100,thriller,4,200000
1000,young adult,4,200000
300,young adult,4,300000
100,comedy,4,200000
1000,drama,4,200000
200,horror,4,200000
90,fantasy,4,300000
100,fantasy,4,300000
400,young adult,4,200000
200,sci-fi,4,200000
2000,young adult,4,200000
70,fantasy,4,300000
70,sci-fi,4,200000
40,NA,4,200000
80,horror,4,200000
90,young adult,4,200000
200,fantasy,4,200000
1000,young adult,4,200000
200,fantasy,4,200000
200,romance,4,200000
50,romance,4,200000
100,young adult,4,200000
100,drama,4,200000
2000,horror,4,200000
40,fantasy,4,200000
100,young adult,4,300000
400,romance,4,200000
400,horror,4,200000
60,NA,4,200000
400,romance,4,200000
100,sci-fi,4,200000
100,NA,4,200000
90,romance,4,200000
200,young adult,4,200000
200,fantasy,4,200000
200,horror,4,200000
80,young adult,4,200000
100,horror,4,200000
60,young adult,4,200000
200,fantasy,4,200000
200,mystery,4,200000
80,fantasy,4,200000
100,romance,4,200000
100,young adult,4,300000
100,romance,4,200000
100,drama,4,200000
200,drama,4,200000
1000,fantasy,4,200000
100,young adult,4,200000
600,young adult,4,200000
80,comedy,4,200000
1000,crime,4,200000
70,young adult,4,200000
100,sci-fi,4,200000
200,horror,4,200000
200,romance,4,200000
1000,young adult,4,200000
1000,romance,4,200000
100,horror,4,200000
100,young adult,4,200000
200,sci-fi,4,200000
60,fantasy,4,200000
80,young adult,4,100000
30,horror,4,200000
1000,mystery,4,100000
1000,fantasy,4,200000
100,mystery,4,100000
100,sci-fi,4,200000
100,mystery,4,200000
2000,fantasy,4,200000
800,drama,4,200000
600,fantasy,3,200000
10,young adult,4,200000
50,young adult,4,200000
400,fantasy,4,200000
1000,sci-fi,4,200000
80,young adult,4,200000
100,horror,4,200000
0,drama,4,200000
100,horror,4,200000
900,romance,4,200000
80,fantasy,4,200000
30,young adult,4,200000
100,young adult,4,200000
100,romance,4,100000
90,romance,4,100000
80,NA,4,100000
100,sci-fi,4,100000
100,fantasy,4,200000
200,horror,4,200000
70,fantasy,3,100000
100,thriller,4,100000
1000,drama,4,200000
200,young adult,4,200000
80,young adult,4,200000
100,thriller,4,100000
2000,fantasy,4,100000
100,fantasy,4,100000
0,fantasy,4,200000
50,young adult,4,100000
100,horror,4,100000
200,fantasy,4,100000
70,mystery,4,100000
100,fantasy,4,200000
100,romance,4,100000
100,thriller,4,100000
60,fantasy,4,200000
90,thriller,4,100000
200,romance,4,100000
100,sci-fi,4,100000
800,young adult,4,100000
70,young adult,4,200000
600,fantasy,3,100000
1000,drama,4,100000
800,horror,4,100000
200,sci-fi,4,100000
80,thriller,4,100000
300,romance,4,100000
100,thriller,4,100000
900,mystery,4,100000
400,mystery,4,100000
200,horror,4,100000
70,young adult,4,200000
100,fantasy,4,100000
100,romance,4,100000
40,NA,4,100000
100,sci-fi,4,100000
80,romance,4,100000
600,romance,4,100000
200,comedy,4,90000
200,NA,4,100000
30,fantasy,4,100000
200,fantasy,4,100000
100,mystery,4,100000
200,romance,4,100000
200,young adult,3,100000
0,horror,4,100000
100,mystery,4,100000
70,fantasy,4,100000
70,fantasy,4,100000
100,horror,4,100000
10,young adult,4,100000
60,young adult,4,200000
60,romance,4,100000
100,drama,4,100000
100,NA,4,100000
100,mystery,4,100000
700,drama,4,100000
1000,romance,4,100000
90,thriller,4,100000
100,crime,4,60000
80,young adult,4,100000
100,comedy,4,100000
100,thriller,4,100000
20,fantasy,4,100000
10,fantasy,4,100000
90,sci-fi,3,100000
70,young adult,4,100000
100,thriller,4,100000
80,fantasy,4,100000
100,horror,4,100000
200,romance,4,100000
1000,fantasy,4,100000
40,young adult,4,100000
600,romance,4,100000
50,young adult,4,100000
100,mystery,4,100000
70,young adult,4,100000
1000,drama,4,100000
50,fantasy,4,200000
50,sci-fi,4,100000
50,mystery,4,100000
70,young adult,4,100000
100,horror,4,100000
50,young adult,4,100000
40,mystery,4,100000
100,horror,4,100000
100,horror,4,100000
40,NA,4,100000
100,young adult,4,100000
60,fantasy,4,100000
200,fantasy,4,100000
60,drama,4,100000
100,thriller,4,90000
100,mystery,4,100000
40,drama,4,60000
100,thriller,4,100000
100,horror,4,100000
800,romance,4,100000
30,fantasy,4,100000
100,thriller,3,100000
100,sci-fi,4,90000
70,NA,4,90000
70,young adult,4,100000
30,horror,4,100000
90,drama,4,90000
1000,young adult,4,100000
100,horror,4,100000
100,drama,4,100000
100,horror,4,90000
100,fantasy,4,90000
0,fantasy,4,90000
70,fantasy,5,90000
60,NA,4,70000
1000,sci-fi,4,90000
60,crime,4,40000
100,fantasy,4,100000
200,mystery,4,90000
90,sci-fi,4,90000
50,fantasy,5,100000
90,young adult,4,100000
800,romance,4,70000
100,young adult,4,90000
60,thriller,4,50000
80,young adult,4,100000
60,drama,4,90000
10,fantasy,4,80000
700,mystery,4,90000
60,fantasy,4,100000
700,romance,4,90000
100,horror,4,70000
100,fantasy,4,70000
800,drama,4,90000
90,drama,4,70000
50,romance,4,80000
500,fairy-tales,4,90000
400,romance,4,100000
50,fantasy,4,60000
100,romance,4,80000
40,horror,4,80000
60,romance,4,80000
100,mystery,4,80000
100,horror,3,90000
70,drama,4,80000
100,thriller,4,70000
40,NA,4,70000
80,thriller,4,80000
200,thriller,4,80000
200,drama,4,80000
80,young adult,4,80000
100,suspense,4,50000
100,mystery,4,90000
70,romance,4,70000
900,young adult,4,80000
70,drama,4,90000
90,young adult,4,90000
90,romance,4,80000
900,sci-fi,4,80000
50,romance,4,90000
200,young adult,4,100000
90,young adult,4,80000
70,horror,4,80000
90,fantasy,4,90000
40,fantasy,4,90000
40,horror,4,70000
200,fantasy,4,80000
40,fantasy,5,100000
60,young adult,4,80000
100,thriller,4,70000
100,romance,4,70000
70,fantasy,4,80000
1000,fantasy,4,70000
30,NA,4,70000
70,fantasy,4,80000
40,horror,4,80000
40,fantasy,4,80000
40,young adult,4,40000
100,thriller,4,60000
100,drama,4,70000
100,fantasy,4,80000
10,horror,4,50000
60,fantasy,4,80000
80,young adult,4,80000
70,young adult,4,70000
70,crime,4,70000
30,young adult,4,70000
200,romance,4,70000
70,fantasy,4,80000
10,horror,4,70000
60,thriller,4,50000
300,mystery,4,70000
0,NA,4,60000
90,fantasy,4,70000
1000,romance,4,70000
100,drama,4,70000
50,young adult,4,80000
100,horror,4,70000
90,young adult,4,100000
400,drama,4,70000
100,romance,4,70000
100,drama,4,60000
60,young adult,4,70000
80,young adult,4,70000
200,romance,4,60000
80,fantasy,4,70000
70,fantasy,4,50000
70,fantasy,3,60000
90,mystery,4,60000
90,young adult,4,70000
60,young adult,4,70000
90,fantasy,4,70000
100,horror,4,70000
40,young adult,4,80000
200,romance,4,50000
600,romance,4,60000
700,drama,4,40000
100,fantasy,4,50000
70,fantasy,4,70000
60,NA,4,60000
700,horror,4,60000
300,romance,4,60000
60,thriller,4,30000
80,thriller,4,60000
500,romance,3,70000
100,fantasy,3,60000
80,horror,4,60000
90,drama,4,60000
30,young adult,4,60000
90,thriller,4,50000
80,young adult,4,60000
200,mystery,4,60000
40,romance,4,50000
100,young adult,4,70000
10,fantasy,4,60000
100,sci-fi,4,50000
800,fantasy,4,50000
40,mystery,4,50000
10,fantasy,4,60000
50,mystery,4,70000
60,horror,4,60000
100,horror,4,60000
70,romance,4,60000
200,sci-fi,4,60000
200,fantasy,4,70000
40,fantasy,4,50000
60,romance,4,50000
200,young adult,4,70000
30,comedy,4,50000
100,sci-fi,4,50000
60,young adult,4,80000
100,horror,4,50000
80,young adult,4,70000
80,horror,4,60000
90,drama,4,50000
60,mystery,4,60000
50,young adult,4,60000
50,mystery,4,50000
50,romance,4,50000
70,romance,4,60000
70,romance,4,50000
60,young adult,4,60000
500,romance,4,60000
30,romance,4,70000
50,horror,4,60000
100,horror,4,60000
70,thriller,4,50000
60,young adult,4,60000
70,mystery,4,50000
30,horror,4,50000
90,mystery,4,50000
60,NA,4,50000
80,fantasy,4,60000
100,horror,4,50000
100,mystery,4,50000
40,fantasy,4,70000
400,young adult,4,60000
40,fantasy,4,70000
500,fantasy,4,50000
100,young adult,4,50000
30,comedy,4,40000
60,thriller,4,50000
70,romance,4,50000
90,romance,4,50000
50,fantasy,4,70000
50,fantasy,4,70000
100,romance,4,50000
90,horror,4,60000
70,drama,4,40000
80,young adult,4,60000
100,young adult,4,60000
90,thriller,4,50000
100,romance,4,60000
80,horror,4,50000
50,sci-fi,4,50000
60,horror,4,50000
1000,fairy-tales,4,50000
90,fantasy,4,60000
60,young adult,4,50000
100,romance,4,60000
80,drama,4,50000
50,comedy,4,40000
90,romance,4,40000
50,young adult,4,50000
70,young adult,4,60000
100,mystery,4,50000
70,comedy,4,50000
80,mystery,4,50000
70,fantasy,4,50000
80,drama,4,50000
50,drama,4,50000
80,fantasy,4,60000
30,fantasy,4,70000
40,young adult,4,50000
80,romance,3,50000
70,drama,4,30000
200,crime,4,40000
40,young adult,4,50000
20,fantasy,5,30000
50,young adult,4,50000
30,fantasy,5,60000
30,fantasy,4,50000
200,romance,4,40000
100,thriller,4,40000
80,horror,4,40000
80,thriller,4,40000
10,sci-fi,4,40000
30,young adult,4,40000
200,mystery,4,50000
1000,fantasy,5,40000
70,thriller,4,40000
90,drama,4,40000
100,fantasy,4,40000
30,mystery,4,50000
50,young adult,4,60000
100,romance,3,40000
70,young adult,4,50000
90,romance,3,40000
80,drama,4,40000
50,horror,4,50000
800,drama,4,50000
800,young adult,4,40000
30,young adult,4,40000
60,young adult,4,40000
0,horror,4,40000
100,mystery,4,40000
200,mystery,4,40000
70,drama,4,40000
70,thriller,4,40000
70,mystery,4,30000
100,romance,4,40000
50,fantasy,4,50000
30,fantasy,4,40000
50,fantasy,4,30000
90,young adult,4,40000
40,thriller,4,40000
70,fantasy,4,50000
100,NA,4,40000
60,crime,4,40000
200,thriller,4,40000
100,romance,4,40000
70,young adult,4,40000
60,young adult,4,40000
70,young adult,4,50000
600,sci-fi,4,30000
70,young adult,4,50000
90,thriller,4,40000
80,thriller,4,30000
600,drama,4,40000
60,horror,4,40000
30,fantasy,4,50000
10,crime,4,30000
60,thriller,4,40000
60,thriller,4,40000
80,romance,4,40000
800,NA,4,30000
40,young adult,4,40000
50,young adult,4,30000
80,horror,4,40000
100,young adult,4,40000
100,mystery,4,30000
40,fantasy,4,40000
70,thriller,4,30000
40,romance,4,30000
200,drama,4,40000
70,romance,4,30000
100,romance,4,20000
90,fantasy,4,30000
80,young adult,4,40000
20,romance,4,20000
30,fantasy,4,30000
40,horror,4,40000
10,horror,4,40000
70,romance,4,40000
300,romance,4,30000
30,young adult,4,20000
50,fantasy,4,30000
70,crime,4,30000
100,romance,4,40000
90,thriller,4,30000
40,young adult,4,30000
80,thriller,4,30000
60,romance,4,30000
40,romance,4,40000
70,sci-fi,4,30000
30,NA,4,30000
100,romance,4,30000
600,fantasy,4,30000
400,romance,4,30000
80,romance,4,30000
50,young adult,4,40000
100,spy,4,30000
40,fantasy,4,30000
50,romance,4,30000
60,romance,4,30000
20,romance,4,30000
80,mystery,4,30000
60,sci-fi,4,30000
30,young adult,4,40000
60,young adult,4,40000
30,young adult,4,30000
60,mystery,4,30000
40,romance,3,30000
200,young adult,4,30000
100,mystery,4,20000
50,NA,3,20000
0,young adult,4,30000
100,fantasy,4,30000
700,fantasy,4,30000
50,drama,4,40000
200,young adult,4,30000
100,NA,4,30000
90,romance,4,30000
100,fantasy,4,30000
90,romance,4,30000
50,comedy,4,20000
30,young adult,4,30000
100,romance,4,20000
100,romance,4,30000
50,drama,4,30000
20,young adult,4,30000
30,fantasy,4,30000
200,romance,4,30000
100,sci-fi,4,30000
30,romance,4,30000
20,drama,4,30000
80,sci-fi,4,30000
60,NA,4,20000
30,fantasy,4,30000
70,thriller,4,20000
90,young adult,4,40000
200,drama,4,30000
30,fantasy,4,40000
50,thriller,4,30000
30,NA,4,20000
20,fantasy,4,30000
90,fantasy,4,30000
30,fantasy,4,30000
600,romance,4,30000
70,young adult,3,30000
10,disney,4,30000
60,thriller,4,30000
40,romance,4,20000
50,horror,4,30000
80,drama,4,20000
30,drama,4,30000
100,young adult,4,20000
70,thriller,4,30000
400,NA,4,30000
100,mystery,4,20000
20,fantasy,4,30000
0,fantasy,4,30000
70,thriller,4,20000
20,NA,4,30000
100,crime,4,30000
100,NA,4,20000
90,horror,4,20000
80,fantasy,4,20000
700,horror,4,30000
500,fantasy,4,30000
50,drama,4,20000
60,comedy,4,30000
40,young adult,4,30000
10,young adult,4,30000
100,mystery,4,30000
50,horror,4,30000
600,drama,4,30000
80,fantasy,4,30000
50,drama,4,20000
100,fantasy,4,20000
20,young adult,4,20000
40,horror,4,20000
400,young adult,4,20000
20,fantasy,4,20000
40,young adult,4,40000
50,crime,4,20000
90,romance,4,20000
100,drama,4,10000
30,young adult,4,30000
80,mystery,4,20000
50,fantasy,4,20000
80,sci-fi,4,20000
50,horror,4,30000
60,young adult,4,30000
10,mystery,4,30000
40,young adult,4,30000
90,mystery,4,30000
100,mystery,4,20000
200,crime,4,30000
60,young adult,4,30000
100,romance,4,20000
50,horror,4,20000
50,thriller,4,20000
10,fantasy,4,20000
20,young adult,4,30000
100,thriller,4,20000
60,drama,4,20000
70,horror,4,20000
60,romance,4,30000
30,young adult,4,20000
30,young adult,4,30000
400,romance,4,20000
50,sci-fi,4,20000
40,NA,3,20000
100,sci-fi,4,20000
20,romance,4,30000
200,mystery,4,20000
100,mystery,4,20000
70,fantasy,4,30000
60,romance,4,20000
70,NA,3,20000
50,young adult,4,20000
90,fantasy,4,10000
70,romance,4,20000
60,thriller,4,20000
20,fantasy,4,30000
50,fantasy,5,30000
70,crime,4,20000
40,romance,4,20000
100,thriller,4,20000
80,fantasy,4,20000
30,young adult,4,30000
20,young adult,4,30000
500,romance,4,20000
50,fantasy,4,20000
50,fantasy,4,30000
100,drama,4,20000
40,horror,4,20000
50,thriller,4,20000
30,NA,4,20000
50,fantasy,4,30000
70,NA,4,20000
50,thriller,4,20000
700,young adult,4,20000
20,NA,4,20000
60,sci-fi,4,20000
80,romance,4,30000
100,sci-fi,4,10000
0,horror,4,10000
60,fantasy,4,20000
10,horror,4,20000
60,drama,4,20000
30,young adult,4,20000
20,NA,4,20000
10,fantasy,4,20000
20,horror,3,20000
90,thriller,4,20000
100,NA,4,20000
20,NA,4,20000
50,romance,4,20000
30,NA,4,20000
40,young adult,4,20000
40,fantasy,4,20000
40,young adult,4,20000
30,drama,4,20000
80,mystery,4,20000
100,mystery,4,20000
60,NA,4,20000
50,sci-fi,4,20000
90,fantasy,4,20000
70,romance,4,20000
80,young adult,4,30000
70,NA,4,20000
0,romance,4,10000
20,romance,4,20000
50,romance,4,20000
30,mystery,4,20000
30,mystery,4,20000
40,drama,4,20000
40,fantasy,4,20000
100,romance,4,20000
20,fantasy,4,20000
50,drama,4,20000
200,romance,4,10000
30,fantasy,4,20000
50,thriller,4,20000
20,NA,4,20000
90,mystery,4,20000
60,romance,3,20000
50,fantasy,4,20000
80,comedy,4,20000
80,mystery,4,20000
100,NA,4,20000
600,romance,4,20000
40,romance,3,20000
40,fantasy,4,20000
60,mystery,4,20000
50,thriller,4,20000
80,thriller,4,20000
20,NA,4,10000
30,horror,4,20000
20,NA,4,20000
40,young adult,4,20000
200,romance,4,20000
500,romance,4,20000
30,drama,4,20000
10,mystery,4,20000
70,crime,4,10000
80,romance,4,20000
80,disney,4,10000
80,thriller,4,20000
90,thriller,4,20000
60,young adult,4,20000
40,horror,4,20000
60,thriller,4,20000
30,fantasy,4,20000
0,romance,4,20000
50,young adult,4,20000
70,young adult,4,20000
30,fantasy,4,20000
200,mystery,4,20000
30,drama,4,10000
30,romance,4,20000
70,romance,4,10000
50,horror,4,20000
30,horror,4,20000
30,mystery,4,20000
30,thriller,4,20000
40,young adult,4,10000
50,crime,4,20000
80,drama,4,20000
100,drama,4,10000
20,young adult,4,20000
20,romance,4,20000
60,horror,4,20000
40,romance,4,20000
600,mystery,4,10000
100,thriller,4,10000
50,mystery,4,10000
40,young adult,4,10000
200,mystery,4,20000
20,horror,4,20000
60,romance,4,20000
10,NA,4,20000
100,horror,4,20000
20,fantasy,4,20000
20,NA,4,10000
20,young adult,4,20000
70,young adult,4,20000
200,mystery,4,20000
60,drama,4,20000
400,drama,4,20000
30,romance,4,20000
70,romance,4,10000
50,young adult,4,20000
200,mystery,4,20000
30,romance,4,20000
100,thriller,4,10000
40,young adult,4,20000
500,sci-fi,4,10000
70,sci-fi,4,10000
30,fantasy,4,20000
20,drama,4,10000
60,NA,4,10000
60,fantasy,4,10000
60,romance,4,10000
20,young adult,4,20000
200,romance,4,10000
30,crime,4,10000
20,young adult,4,20000
40,young adult,4,20000
0,fantasy,5,10000
100,crime,4,10000
200,mystery,4,20000
60,fantasy,4,10000
10,romance,4,20000
100,thriller,4,10000
50,sci-fi,4,10000
10,romance,4,10000
10,romance,4,10000
50,fantasy,4,10000
20,young adult,4,20000
100,romance,4,10000
0,fantasy,4,20000
60,romance,4,10000
60,drama,4,10000
20,mystery,4,20000
20,young adult,4,10000
70,romance,4,10000
40,NA,4,10000
100,mystery,4,10000
100,thriller,4,10000
40,young adult,4,10000
70,thriller,4,10000
20,drama,4,20000
50,mystery,4,10000
50,mystery,4,10000
80,mystery,4,20000
40,romance,4,10000
500,mystery,4,10000
40,NA,4,10000
30,sci-fi,4,10000
10,young adult,4,10000
40,NA,4,10000
40,thriller,4,10000
10,NA,4,10000
10,romance,4,20000
40,mystery,4,10000
30,crime,4,10000
10,young adult,4,20000
40,mystery,4,10000
20,NA,4,10000
30,fantasy,4,10000
10,NA,4,10000
200,young adult,4,10000
200,romance,4,10000
20,fantasy,4,10000
200,thriller,4,10000
70,NA,4,10000
10,fairy-tales,4,10000
20,romance,4,10000
20,fantasy,4,20000
50,NA,4,20000
20,drama,4,10000
70,fantasy,4,10000
60,young adult,4,10000
80,drama,3,10000
40,romance,4,10000
20,young adult,4,20000
30,thriller,4,10000
60,romance,4,10000
80,sci-fi,4,10000
200,mystery,4,10000
20,crime,4,10000
30,fantasy,4,10000
200,fantasy,4,10000
30,romance,4,10000
100,thriller,4,10000
40,drama,4,10000
30,horror,5,10000
10,romance,4,10000
30,NA,4,10000
10,sci-fi,4,10000
40,fantasy,4,10000
60,sci-fi,3,10000
10,comedy,4,10000
80,NA,4,10000
10,fantasy,4,10000
50,fantasy,4,10000
80,sci-fi,4,10000
20,young adult,4,10000
20,drama,4,10000
100,fantasy,3,10000
30,fantasy,4,10000
10,romance,4,10000
30,fantasy,4,10000
50,romance,4,10000
40,mystery,4,10000
100,fantasy,4,10000
40,mystery,4,10000
30,horror,4,10000
100,thriller,4,10000
100,sci-fi,4,10000
40,romance,4,10000
40,young adult,4,10000
90,thriller,4,10000
20,fantasy,4,20000
70,drama,4,10000
20,romance,4,20000
40,horror,4,10000
50,thriller,4,10000
40,horror,5,10000
40,crime,4,10000
50,young adult,4,10000
10,young adult,4,20000
60,fantasy,4,10000
20,NA,4,10000
10,romance,4,10000
40,sci-fi,4,10000
80,disney,4,10000
0,disney,4,10000
0,romance,4,20000
0,horror,5,10000
30,horror,5,10000
10,mystery,4,10000
80,sci-fi,4,10000
90,young adult,4,10000
20,fantasy,4,20000
30,fantasy,4,10000
0,drama,4,10000
50,drama,3,10000
20,fantasy,4,10000
30,horror,5,10000
10,crime,4,10000
40,romance,4,20000
50,fantasy,4,10000
20,NA,4,10000
10,romance,4,20000
10,romance,4,10000
60,fantasy,4,10000
20,sci-fi,4,10000
20,NA,4,10000
10,fantasy,4,10000
90,crime,4,10000
200,mystery,4,10000
20,young adult,4,20000
10,fantasy,4,10000
40,young adult,5,30000
20,young adult,4,10000
70,mystery,3,10000
40,young adult,4,10000
20,fantasy,4,10000
20,NA,4,10000
30,NA,4,10000
300,romance,4,10000
10,fairy-tales,4,10000
30,drama,4,10000
40,young adult,4,10000
20,mystery,4,10000
30,horror,5,10000
30,comedy,4,10000
40,NA,4,10000
50,comedy,4,10000
20,drama,4,10000
0,fantasy,4,10000
30,NA,4,10000
