average_rating,number_of_ratings,adapted
4,121112,no
4,124786,no
4,136327,no
4,92275,no
4,131004,no
4,124876,no
4,130219,no
4,117108,no
4,129350,no
4,102206,no
4,105138,no
4,121373,no
4,143892,no
4,123736,no
4,149702,no
4,135448,no
3,132061,no
4,93479,no
5,119915,no
4,124665,no
4,106211,no
4,120004,yes
4,118910,no
4,122524,no
4,95213,no
4,151095,no
4,117483,no
4,120541,no
4,119911,no
4,125668,no
4,122225,no
3,133264,no
4,124467,yes
4,145874,no
4,131945,no
4,118951,no
4,113855,no
4,123073,no
4,116260,no
4,135978,yes
4,105961,yes
4,124320,no
3,113977,no
4,81982,no
4,118576,no
4,104549,no
4,118475,no
4,118751,no
4,137047,no
4,145157,no
4,109313,no
4,164832,no
4,131562,no
4,160485,no
4,126864,no
4,110597,no
4,128450,no
4,158063,no
4,111498,no
4,122502,no
4,140599,no
4,115521,no
4,119105,no
4,108338,yes
4,109944,no
4,119739,no
4,124805,no
4,122540,no
4,111497,no
4,113718,yes
5,109754,no
4,119933,no
4,110481,no
4,110274,no
4,126318,no
4,162069,no
4,106542,no
4,102746,no
4,101436,no
4,119851,yes
4,99252,no
5,117788,no
4,139168,no
4,125474,no
4,138103,no
4,102193,no
4,105317,yes
4,111779,no
4,102560,no
4,59453,yes
4,105595,no
4,97016,no
4,111239,no
4,116324,no
4,134537,yes
4,95276,no
4,101999,yes
4,136761,no
4,106351,no
4,117582,no
4,109595,no
4,107313,no
4,98645,no
4,106336,no
4,118467,no
4,125178,no
4,120763,no
4,105026,no
3,109412,yes
4,132159,no
4,108124,no
4,113881,no
4,100936,no
4,138871,no
4,113805,no
4,127387,no
4,100513,yes
4,102936,no
4,123945,yes
4,115855,no
4,108062,no
4,105892,no
4,103915,no
4,94968,no
4,116026,no
4,119496,no
4,106729,no
4,124612,yes
4,136938,no
4,117103,no
4,109994,no
4,136736,no
4,120475,no
4,78028,no
4,102715,no
4,138118,no
4,104633,no
4,94012,no
4,121863,yes
4,104467,no
4,115621,no
4,104339,no
4,134249,no
4,167848,yes
4,76876,no
4,105192,no
4,98628,no
4,116197,yes
4,102733,yes
4,99926,no
4,112733,no
4,110552,no
4,109063,yes
4,116771,no
4,99831,yes
4,54937,no
4,119607,no
4,114917,no
4,117108,yes
4,104939,no
4,109236,no
4,105032,no
4,134022,no
5,73572,no
4,104690,no
4,103552,no
4,104248,no
4,102574,yes
4,98379,no
4,123065,no
4,101669,no
4,102923,no
4,127379,no
4,95803,no
4,130213,no
4,92849,no
4,131034,no
4,105473,no
4,109110,yes
4,98276,yes
4,97468,no
4,132285,no
4,102419,no
4,93475,no
4,98464,no
4,73149,no
4,55381,no
4,99729,no
4,103547,no
4,107221,no
4,137558,no
4,96865,no
4,111371,no
4,90083,no
4,93990,no
4,108652,no
4,94590,no
4,101343,no
4,93151,no
4,110693,yes
4,102646,no
4,96564,no
4,104283,no
4,98591,no
4,95620,no
4,119633,no
4,104677,no
4,97745,no
4,103933,no
3,99170,no
4,116360,no
4,97653,no
3,100158,yes
4,116171,no
4,102348,no
4,87636,yes
4,100972,no
4,94696,yes
4,97501,no
4,108031,no
4,103151,no
4,105063,no
4,132087,yes
4,100369,no
4,58396,no
3,90551,no
4,89770,no
3,82504,no
4,104168,no
4,121727,no
4,98795,yes
4,85019,yes
3,88251,no
4,85277,no
4,98180,no
4,98950,no
4,100223,yes
4,98182,no
4,88227,no
4,117508,no
4,86965,no
4,87412,no
4,97462,yes
4,134805,no
4,82591,no
4,94821,no
4,119735,no
4,96568,no
4,73886,no
4,90811,no
4,93227,no
4,140937,no
4,49551,no
4,98130,no
4,93296,yes
4,88847,no
4,93498,no
4,91625,no
4,125363,no
4,92142,no
4,92569,no
4,94095,yes
4,95995,no
4,109344,no
4,86870,no
5,90907,yes
4,90483,no
4,91774,no
4,94624,no
4,73994,yes
4,78271,no
4,76261,no
4,95421,no
4,89410,yes
4,94456,no
4,84180,no
4,92158,no
4,90574,no
4,87511,no
4,97925,no
4,76553,no
4,129150,no
4,116687,no
4,96981,no
4,74218,no
4,96316,no
4,37090,no
4,95768,no
4,104579,yes
4,91383,no
4,85883,no
4,88626,no
4,105414,no
4,89204,no
4,85582,no
4,64779,no
4,83847,no
4,113400,no
4,93217,no
4,102184,no
4,106435,no
4,135225,no
3,74979,no
4,114623,no
4,90917,no
4,108370,no
4,82474,no
4,61422,no
4,83607,no
4,97938,no
4,76566,no
5,93001,no
4,95796,no
4,89460,no
4,93640,no
4,93774,no
4,80769,no
4,89468,no
4,80991,no
4,82608,no
4,87141,no
4,113066,no
4,83881,no
5,123843,no
4,91046,no
4,99841,no
4,82090,no
4,87098,no
4,110719,no
4,90477,no
4,131906,no
4,81712,no
4,69992,no
4,99390,no
4,118624,no
4,97736,no
4,71156,no
4,83085,no
4,80577,no
4,92980,no
3,103995,no
4,81616,no
4,74642,no
4,89569,no
4,91831,no
4,74199,no
4,97058,no
4,94231,no
4,85136,no
4,45382,no
4,95950,no
4,99638,yes
4,84367,no
4,90138,no
4,84957,no
4,109290,no
4,75502,no
4,82535,no
4,80377,no
4,93963,no
4,94478,no
4,80434,no
4,105770,no
4,111044,no
4,88139,no
4,93134,no
4,66979,no
4,104730,no
4,106871,no
4,80906,no
4,85006,no
4,110812,no
4,83235,no
4,83461,no
4,91323,no
4,72493,no
4,71053,no
3,79762,no
4,101016,no
4,75665,no
4,72675,no
4,102012,no
4,71971,no
4,67873,no
4,77462,no
4,83066,no
3,67438,no
4,104252,no
4,93119,no
4,87427,no
4,88673,no
4,75469,no
4,83695,no
4,56315,no
4,101234,no
4,81102,no
4,94282,no
4,74511,no
4,67937,no
4,71276,no
4,39863,no
4,74052,no
4,86471,no
4,70550,no
4,77538,no
4,75320,no
4,82580,no
4,75031,no
4,77592,no
4,90999,yes
4,82399,no
4,81707,no
3,78132,no
4,97049,no
4,65362,no
4,95274,no
4,72713,no
4,62784,no
4,83389,no
4,100593,no
4,86421,no
4,88508,no
4,71095,no
4,107569,no
4,82320,no
4,66713,no
3,67866,no
4,89733,no
4,91012,no
4,95378,no
4,108399,no
4,107583,no
4,84770,yes
4,80959,no
4,83741,yes
4,91213,no
4,73140,no
4,71515,no
4,94437,no
4,78070,no
3,89262,no
4,109881,no
4,93625,no
4,72683,no
4,111668,no
4,78529,no
4,77251,no
4,77277,no
4,95447,no
4,44097,no
4,79662,no
4,72481,no
4,99329,no
4,72277,no
4,78523,no
4,66406,no
4,86062,no
4,71023,no
4,70241,no
4,77258,no
4,80056,no
4,84489,yes
4,81598,no
4,74358,no
4,101325,no
4,72328,no
4,106236,no
4,82518,no
4,74130,no
4,69975,no
4,111448,no
4,109183,no
4,78129,no
4,95638,no
4,53751,yes
3,76761,no
4,92952,no
4,86103,no
4,66381,no
4,84682,yes
4,80366,no
4,35283,no
4,92737,no
4,75018,no
4,82565,no
4,79008,no
4,82281,no
4,90032,no
4,64637,no
4,66129,no
4,52031,no
4,75541,no
4,76925,no
4,87718,yes
4,83351,no
4,78592,no
4,67928,no
4,87277,no
4,81621,no
4,66782,no
4,81326,no
4,72185,no
4,87066,no
4,80075,no
4,108884,no
4,84778,yes
4,63764,no
4,62106,no
4,78355,no
4,76376,no
4,91630,no
4,99918,yes
4,82102,no
4,59973,no
4,74517,no
4,76791,no
4,84358,no
4,75307,no
4,79824,no
4,71815,no
4,97615,no
4,66085,no
4,73515,no
4,89033,yes
4,72311,no
4,32626,no
4,99311,no
4,94506,no
4,95026,no
4,83664,no
4,87423,no
4,68865,no
4,72734,no
4,93057,no
4,89733,no
4,72493,no
4,76440,no
4,68861,no
4,73573,no
4,59333,no
4,56200,no
4,65422,no
4,71868,no
4,62231,no
4,83085,no
4,87665,no
4,69351,no
4,67125,no
4,78766,no
4,79508,no
4,74815,no
4,62454,no
4,92922,no
4,69596,no
4,82706,yes
4,68255,no
4,81579,no
4,68063,no
4,106608,no
4,82458,no
4,80740,no
4,68676,no
4,72714,no
4,74133,no
4,68416,no
5,99067,no
4,90147,no
4,81914,no
4,86963,no
4,68224,no
4,72207,no
4,62229,no
4,61135,no
4,79117,no
4,91390,no
4,81553,no
4,68854,no
4,99942,no
4,67128,no
4,71379,no
4,75275,no
4,75051,no
4,66720,no
4,64278,no
4,63304,no
4,80367,no
4,93818,no
4,90908,no
4,77206,no
4,71775,no
4,90071,no
4,79746,no
4,97830,no
4,72797,no
4,87335,no
4,64347,no
4,97616,no
4,65397,no
4,89356,no
4,69058,no
4,56802,no
4,68480,no
4,65428,yes
4,94176,no
4,61238,no
4,79627,no
4,92916,no
3,60323,no
4,70446,no
5,108384,no
4,60409,no
4,60126,no
4,71777,no
4,55678,no
4,66079,no
4,64162,no
4,70454,no
4,70382,no
4,67768,no
4,59295,no
4,68451,yes
4,66857,no
4,67047,no
4,76277,yes
4,86805,no
4,81945,no
4,72480,no
4,61439,no
4,67107,yes
4,49740,no
4,71968,no
4,63324,no
4,71816,no
4,72426,no
4,70335,no
3,66104,no
4,96417,no
4,97514,no
4,75186,no
4,63530,no
4,82062,no
4,78123,no
4,57614,no
4,71271,no
4,75196,no
4,65277,no
4,60737,no
4,65068,no
4,53662,no
4,80883,no
4,37792,yes
4,78903,no
4,90157,no
4,74378,no
4,100464,no
4,80299,no
4,67264,no
4,64416,no
4,67777,no
4,63335,yes
4,82757,no
4,73807,no
4,69948,no
4,71355,no
4,75133,no
4,65900,no
4,67643,no
4,78314,no
4,76911,yes
4,72588,no
4,73000,no
4,48305,no
4,61496,no
4,53187,no
4,77046,no
5,68410,no
4,82270,no
4,68701,no
4,63691,no
4,71411,yes
4,68834,no
5,76785,no
4,85683,no
4,61842,no
4,74121,yes
4,61498,no
4,53151,no
4,67753,no
4,59715,no
4,63114,no
4,58428,no
4,84363,no
4,82291,no
4,56548,no
4,69087,no
4,73534,no
4,56344,no
4,76219,yes
4,103844,no
4,85873,no
4,74156,no
4,63027,no
4,66049,no
4,78487,no
4,66287,no
4,66591,no
4,68597,no
4,66577,no
4,61835,no
4,46551,no
3,53331,no
4,71354,no
4,66194,no
4,66390,no
4,74029,no
4,62840,no
4,86284,no
4,86929,no
3,63342,no
4,69616,no
4,57279,no
4,64391,no
3,59843,no
4,62330,no
4,70921,no
4,62128,no
4,69709,no
4,62405,no
4,65005,no
4,63347,no
4,64961,no
3,59932,no
4,73918,no
4,56464,no
4,90541,no
4,67632,yes
4,66923,no
4,69007,no
4,93340,no
4,57468,no
4,61296,no
4,60002,no
4,63100,no
4,27308,no
4,50158,no
4,54140,no
4,79264,no
4,53384,no
4,70704,no
4,68011,no
4,66947,no
4,70029,no
4,57764,no
4,82470,no
4,132552,yes
4,70079,no
4,57078,no
4,65638,no
4,73093,yes
4,57583,no
4,62219,no
4,58688,no
4,56918,no
4,52765,no
4,69134,no
4,71353,no
4,70701,no
4,61256,no
4,46225,no
4,55236,no
4,72329,no
4,79461,no
4,65091,yes
4,45492,yes
4,87432,no
4,59650,no
4,42958,no
4,81362,no
4,67433,no
4,72504,no
4,70269,no
4,85699,no
3,63737,no
4,51603,no
4,84650,no
4,63235,no
4,61412,yes
4,63050,no
4,60193,no
4,66360,no
4,74666,no
4,36541,no
4,58631,no
4,60278,no
4,69815,yes
4,60869,no
4,58841,no
5,54977,no
4,74820,yes
4,65063,no
4,73745,no
4,55262,no
4,69504,no
4,85746,no
4,48277,no
4,60959,no
4,83886,yes
4,50921,no
4,52704,no
4,67344,no
4,60611,no
4,65477,no
4,57716,no
4,39758,no
4,82824,no
4,57259,no
4,58432,no
4,53586,no
4,56756,no
4,61678,no
4,61836,no
4,66721,no
4,67608,no
4,55459,no
4,84776,no
4,80737,no
4,61361,no
3,68448,no
4,60236,no
4,57993,no
4,51461,no
4,75851,no
4,66823,no
4,62494,no
4,67267,no
4,58973,no
4,75436,no
4,60624,no
4,62135,no
3,42339,no
4,72052,no
4,76598,no
4,82373,no
4,84438,no
4,48286,no
4,50422,no
4,69102,no
4,58906,no
3,62760,no
4,70119,no
4,83981,no
4,75834,no
4,57865,no
4,58372,yes
4,73883,no
4,63838,no
4,60346,no
4,92014,no
4,55398,no
4,63756,no
4,79360,no
4,45319,no
4,59973,no
4,72611,no
4,34789,no
4,57818,no
3,65906,no
3,72421,no
4,61347,no
4,80433,no
4,66537,no
4,54848,no
3,55473,no
4,67753,no
4,59974,no
4,61888,no
4,57632,no
4,60672,no
4,56510,no
4,58062,no
4,55355,no
4,69450,no
4,59963,no
4,56550,yes
4,60372,no
4,67077,no
4,85034,no
4,52333,yes
4,54341,no
4,65932,no
4,60932,no
4,75987,no
4,65626,no
4,59229,no
4,62432,no
4,70737,no
4,43927,no
4,37379,no
4,57312,yes
4,58742,no
4,58028,no
4,55251,no
4,47661,no
5,66402,no
4,70961,no
4,59804,no
4,65828,no
4,76052,no
4,56191,no
4,79959,no
4,50084,no
4,53378,no
4,79266,no
4,54777,no
4,49344,no
4,68112,no
4,47185,no
4,67602,no
4,53411,no
5,55556,no
4,56827,yes
4,54014,no
4,55889,no
4,50112,yes
4,54781,no
4,50876,no
4,50215,no
4,60744,yes
4,74747,yes
4,59191,no
4,61457,no
4,64089,no
4,60469,no
4,66701,no
4,62641,no
4,67539,no
4,67171,no
4,83051,no
4,72732,no
4,57476,no
4,67608,no
3,58348,no
4,64813,yes
4,59756,no
4,54930,no
4,59642,no
4,49255,no
4,58991,no
4,43016,no
4,62571,no
4,60154,no
4,61126,no
4,83767,no
4,69733,no
4,84677,no
5,57779,no
3,60812,no
4,57626,no
4,46742,no
4,59705,no
4,58945,no
4,51694,no
4,52734,no
4,66015,no
3,45905,no
4,59868,no
4,55948,no
4,58291,no
4,69636,no
4,90202,no
4,66950,no
4,52964,no
4,46197,no
4,53019,no
4,44170,no
4,54173,no
4,56842,no
4,48330,no
3,53487,no
4,61613,no
4,57763,no
4,57413,no
3,46541,no
4,52061,yes
4,22315,no
4,50206,no
4,59930,no
4,59737,no
4,51454,no
4,49578,no
4,65409,no
4,59657,no
4,55576,no
4,49015,no
4,67451,no
4,73839,no
4,68750,yes
4,77454,no
4,30395,no
4,60746,no
4,46348,no
4,51580,no
4,46092,no
4,79077,no
4,47812,no
4,52249,no
4,45874,no
4,57265,no
4,77575,no
3,44839,no
4,54958,no
4,55296,no
4,55373,no
4,59317,no
4,55841,no
4,58836,no
4,52518,no
4,70196,no
4,59354,no
4,67357,no
4,56287,no
4,65273,no
4,47720,no
4,63635,no
5,46663,no
4,69534,no
4,30426,no
4,61387,no
4,59276,no
4,61454,no
4,44612,no
3,49958,no
4,53143,no
4,56053,no
4,53304,no
4,50142,no
4,66089,no
4,63814,no
4,78405,no
4,64430,no
4,52062,no
4,40885,no
4,64949,yes
4,59585,no
4,78658,no
4,49999,no
4,69065,no
4,53038,no
4,41908,no
4,51748,no
4,46361,no
4,46797,no
4,56901,no
4,51007,no
4,68676,no
5,55518,no
4,44722,no
4,50047,no
4,51385,no
4,49930,yes
4,53676,no
4,58481,no
4,48816,no
4,52244,no
4,55637,no
4,61987,no
4,58925,no
4,74479,no
4,61937,no
4,60472,no
4,83000,no
4,50181,no
4,59408,no
4,60720,yes
4,69657,no
4,73492,no
4,65259,no
4,85266,no
4,47688,no
4,43976,no
4,71988,no
4,68084,no
4,59698,no
4,75637,no
4,55019,no
4,56633,no
4,64690,no
4,48807,no
4,42978,no
5,48280,no
4,64082,no
4,47873,no
4,66400,no
4,46716,no
2,40718,no
4,44956,no
4,62268,no
4,54081,no
4,48692,no
4,21459,no
4,74589,no
4,48256,no
4,58967,no
4,57569,no
4,68651,no
4,40569,no
4,58232,no
4,50446,no
4,70335,no
5,47736,no
4,56860,no
4,59743,no
4,62726,no
4,53878,no
4,28651,no
4,52095,no
4,50412,no
4,53746,no
4,47054,yes
4,76368,no
4,35325,no
4,60519,no
4,70806,no
3,42845,no
4,62590,no
4,59403,yes
4,58135,no
4,50264,no
4,66327,no
4,45993,no
4,49935,no
4,74367,no
4,46216,no
4,46734,no
4,44669,no
4,34107,no
4,42286,no
4,51219,no
4,46518,no
4,47296,no
4,48189,no
4,70274,no
4,51720,no
4,52168,no
3,50598,no
4,45203,no
4,51511,yes
4,57831,no
4,44569,no
4,73051,no
4,47674,no
4,69046,no
4,48117,no
4,51726,no
4,33534,no
4,41187,no
4,41427,no
4,45554,no
4,66382,no
4,55599,no
4,55606,no
4,62978,yes
4,68104,no
4,50300,no
4,65027,no
4,48357,no
4,44445,no
3,44074,no
4,49994,no
4,46845,no
4,67663,no
4,44681,no
4,52416,no
4,49139,no
4,46854,no
4,48191,no
4,51764,no
4,43992,no
4,46041,no
3,53644,no
3,50738,no
4,49095,no
4,48131,no
4,47533,yes
4,42869,no
4,47207,no
4,56395,no
4,51267,no
4,54607,no
4,47785,no
4,69516,no
4,73056,no
4,68816,no
4,54908,no
4,61211,no
3,32084,no
4,54420,no
4,56529,yes
4,46847,no
4,33132,no
4,33504,no
4,54401,no
4,73030,no
4,48838,no
4,54620,no
4,52973,no
4,44014,no
4,68270,no
4,48879,yes
4,45978,no
4,22146,no
4,46656,no
4,55355,no
4,41606,no
4,48663,no
4,51059,no
4,41161,no
4,61754,no
4,64093,no
4,51161,no
4,54920,no
4,40727,no
4,48830,no
4,48755,no
4,44679,no
4,52845,no
4,44595,no
4,46736,no
4,49300,no
4,44317,no
4,26898,no
4,50255,no
4,54682,no
4,66871,no
4,31779,no
4,49283,no
4,15002,no
4,45051,no
4,49617,no
4,62359,no
4,51385,no
4,46179,no
4,24865,no
4,47323,no
4,46208,no
4,81420,no
4,69032,no
4,68452,no
4,31029,no
4,58435,no
4,52006,no
4,48485,no
4,45919,no
4,78157,no
4,51856,no
4,55367,yes
4,39300,no
4,63615,no
4,56444,no
4,56737,no
4,65904,no
4,41866,no
4,49016,no
4,71830,no
4,47682,yes
4,50758,no
4,60930,no
4,50630,no
4,43876,no
4,57575,no
4,44238,no
4,56064,no
4,66170,no
4,47148,no
4,41081,no
4,53017,no
4,67482,no
4,44610,no
4,67018,no
4,45153,no
3,49926,no
4,49551,no
4,64223,no
4,45353,yes
4,69350,no
4,52974,no
4,42687,no
4,43793,no
4,52824,no
4,41094,no
4,48632,no
4,41647,no
4,48649,no
4,40023,no
4,54919,no
4,70029,no
4,42072,no
4,48961,yes
4,70476,no
4,22618,no
4,45518,no
4,46475,no
4,45081,no
4,46357,no
4,37839,no
4,45856,no
4,48640,no
4,45320,no
4,60780,no
4,33994,no
4,48400,no
4,47324,no
3,43496,no
4,51119,no
4,45567,no
4,48860,no
4,56428,yes
4,51570,no
4,58278,no
4,42306,no
4,59536,no
4,52708,no
4,42361,no
4,56444,no
4,45660,yes
4,43269,no
4,40840,no
4,50322,no
4,42037,no
3,48982,no
4,43698,yes
4,52843,no
4,48683,no
4,53317,no
4,37404,no
4,48520,no
3,48061,no
4,46635,no
4,56656,no
4,58724,no
4,58571,no
4,71841,no
4,50721,no
4,37150,no
4,54413,no
4,48711,no
4,45608,no
