Version-count,Genre_id,No-of-rating,Rating,Class
40,2,200000,4.5,1
100,1,300000,4,1
70,1,300000,4,0
90,1,300000,4.5,0
400,4,200000,4,1
70,4,200000,4,0
400,9,200000,4,1
100,2,300000,4,0
100,7,200000,4,0
400,4,200000,4,1
10,9,200000,4,0
80,5,200000,4,0
100,7,200000,4,1
80,4,200000,4,0
90,4,200000,4.5,1
200,1,200000,3.5,1
100,4,200000,4,0
100,4,200000,4,0
1000,4,200000,4,0
80,1,200000,3.5,0
200,2,200000,4,0
100,5,200000,4,0
70,1,200000,4.5,0
80,1,200000,4.5,0
100,4,200000,4,0
80,4,200000,4,0
80,2,200000,4.5,0
80,1,200000,4,0
400,5,200000,4,0
90,1,200000,4,0
100,10,200000,4,0
700,6,200000,4,0
70,2,300000,4.5,0
200,2,200000,4,1
200,2,200000,4,0
200,9,200000,4,1
200,7,200000,4,0
70,4,200000,4,0
70,1,200000,4,0
80,1,200000,4,1
200,6,200000,4,0
60,6,200000,4,0
70,4,200000,4,0
200,7,200000,4,0
100,6,200000,4.5,0
100,9,200000,4,1
80,7,200000,4,0
60,1,200000,4,1
200,2,200000,4.5,1
200,5,200000,4,1
1000,5,200000,4,0
100,2,200000,4,0
80,1,200000,4,0
80,2,200000,4,1
100,4,200000,4,1
100,1,300000,4,1
100,4,200000,4,1
40,2,200000,4,0
40,4,200000,4,0
100,6,200000,4,1
100,2,200000,4,0
60,7,200000,4,0
100,6,200000,4.5,0
80,2,200000,4.5,0
200,6,200000,4,1
100,4,200000,4.5,0
1000,2,200000,4.5,1
50,4,200000,4,0
40,2,200000,4.5,0
10,2,200000,4,0
80,4,200000,4,0
100,1,200000,4,1
100,1,200000,4,0
1000,4,200000,4,0
80,5,200000,3.5,0
10,1,200000,4,0
200,6,200000,4,0
100,8,200000,4,0
600,1,200000,3.5,1
40,2,200000,4,0
90,2,200000,4,0
50,6,200000,4,0
100,1,200000,4,0
80,10,200000,3.5,1
1000,11,200000,4.5,1
70,1,200000,4,1
100,7,200000,4,1
200,9,200000,4.5,1
40,1,200000,4.5,0
70,1,200000,4,0
100,7,200000,4,0
100,5,200000,4,0
200,4,200000,4,1
1000,1,200000,4,1
1000,4,200000,4,1
100,9,200000,4,1
100,1,200000,4,1
100,5,200000,4,0
40,9,200000,4.5,0
200,7,200000,4,1
60,4,200000,4.5,0
60,2,200000,4,1
90,1,100000,4,0
80,1,100000,4.5,1
90,4,200000,4,0
70,2,200000,4,0
100,5,200000,4,0
30,9,200000,4.5,1
80,1,200000,4.5,0
1000,5,100000,4.5,1
80,4,200000,4,0
80,2,100000,4,0
50,4,200000,4,0
1000,2,200000,4,1
80,1,200000,4,0
100,2,100000,4,0
100,5,100000,4,1
100,7,200000,4,1
60,1,200000,4,0
80,2,200000,4,0
100,5,200000,4,1
100,2,200000,4,0
60,2,200000,4,0
2000,2,200000,3.5,1
800,6,200000,4,1
600,2,200000,3.5,1
70,11,100000,4,0
100,6,100000,3.5,0
50,10,200000,4,0
90,2,200000,4,0
80,2,80000,4,0
80,5,200000,4,0
50,4,200000,4.5,0
10,1,200000,4,1
50,1,200000,4,1
300,2,200000,4,0
60,1,200000,4.5,0
100,1,200000,4,0
400,2,200000,4.5,1
1000,7,200000,4,1
80,1,200000,4,1
60,2,200000,4.5,0
50,1,100000,4,0
100,7,100000,3.5,0
90,4,100000,4,0
100,9,200000,4,1
100,4,200000,4.5,0
0,6,200000,4,1
100,9,200000,3.5,1
100,1,200000,4,0
90,2,200000,4,0
900,4,200000,4,1
2000,4,200000,3.5,0
80,2,200000,4,1
50,2,100000,4.5,0
90,2,200000,4,0
30,1,200000,4,1
60,2,200000,4.5,0
90,4,100000,3.5,0
90,6,100000,4,0
70,2,100000,4.5,0
100,1,200000,4,1
100,4,100000,4,1
90,4,100000,4,1
100,7,200000,4,0
200,4,100000,3.5,0
100,7,100000,4,1
1000,10,200000,4,0
100,2,200000,4,1
200,9,200000,3.5,1
40,2,200000,4,0
60,2,200000,4.5,0
70,1,200000,4,0
70,2,100000,3.5,1
40,9,100000,4.5,0
70,2,200000,4,0
100,6,100000,4,0
100,8,100000,4,1
50,4,100000,4,0
1000,6,200000,4,1
70,1,200000,4,0
600,2,100000,4.5,0
200,1,200000,4,1
80,1,200000,4,1
80,1,200000,3.5,0
100,8,100000,4,1
2000,2,100000,4,1
100,2,100000,4,1
200,7,200000,4,0
80,1,200000,4,0
0,2,200000,4,1
300,2,200000,4,0
60,2,100000,4.5,0
50,1,100000,4,1
20,10,100000,4,0
300,2,100000,4,0
10,2,200000,4.5,0
50,1,200000,4.5,0
100,9,100000,3.5,1
300,7,100000,4,0
200,2,100000,4,1
100,4,100000,4,0
900,9,100000,4,0
40,1,200000,4,0
70,5,100000,4,1
70,11,100000,3.5,0
2000,5,200000,4,0
100,2,200000,4,1
80,1,200000,4,0
100,4,100000,4,1
100,8,100000,4,1
70,2,200000,4,0
40,5,100000,4,0
60,2,200000,4.5,1
40,12,100000,4.5,0
90,8,100000,4,1
200,4,100000,3.5,1
80,2,200000,4,0
80,1,200000,4,0
100,7,100000,4,1
90,4,100000,4,0
200,4,100000,4,0
10,2,200000,4.5,0
300,7,100000,4,0
80,6,100000,3.5,0
800,1,100000,4,1
100,7,100000,3.5,0
200,1,200000,4,0
0,4,100000,4,0
80,1,200000,4,0
60,1,200000,4.5,0
70,1,200000,4,1
600,2,100000,3.5,1
40,4,100000,3.5,0
100,2,100000,4,0
100,2,100000,4,0
1000,6,100000,4,1
800,9,100000,4,1
80,2,200000,4,0
200,7,100000,4,1
90,6,100000,3.5,0
60,1,100000,3.5,0
60,1,200000,4,0
100,11,100000,3.5,0
100,6,100000,4,0
80,8,100000,3.5,1
50,1,100000,4,0
300,4,100000,4,1
100,9,100000,4,0
100,2,100000,4,0
40,1,200000,4,0
60,1,100000,4,0
200,2,100000,4,0
100,8,100000,4,1
900,5,100000,4,1
400,5,100000,4,1
80,4,100000,4.5,0
80,4,100000,4,0
200,9,100000,4,1
80,4,100000,4,0
80,4,100000,4,0
70,1,200000,4,1
100,1,200000,4,0
100,2,100000,4,1
100,4,100000,4,1
60,2,200000,4.5,0
60,1,100000,4,0
90,4,100000,4,0
40,11,100000,4,0
50,4,100000,3.5,0
100,9,100000,4.5,0
60,4,100000,4,0
100,7,100000,4,1
50,4,100000,3.5,0
100,5,100000,4,0
100,9,100000,4,0
50,5,100000,4,0
80,4,100000,4,1
2000,7,100000,4,0
60,4,100000,4,0
600,4,100000,4,1
200,10,90000,4,1
100,9,100000,4,0
100,4,100000,4,0
100,9,100000,3.5,0
2000,7,100000,4,0
70,1,100000,4,0
200,4,100000,3.5,0
200,6,100000,4,0
60,1,100000,4,0
100,4,100000,4.5,0
60,1,100000,4.5,0
1000,6,100000,4,0
100,6,100000,3.5,0
100,4,90000,4,0
10,1,100000,4.5,0
30,2,100000,4,1
20,10,100000,4,0
80,2,100000,4,0
100,11,100000,4.5,0
70,2,200000,4,0
200,2,100000,4,1
100,5,100000,4,1
200,4,100000,3.5,1
80,2,100000,4,0
100,7,100000,4,0
200,1,100000,3.5,1
0,9,100000,4,1
90,1,100000,3.5,0
100,5,100000,4,1
100,6,100000,4.5,0
70,2,100000,4.5,1
100,7,100000,4,0
70,1,100000,4,0
70,2,100000,4,1
100,9,100000,4.5,1
10,1,100000,4.5,1
60,4,100000,3.5,0
100,7,80000,4,0
50,2,100000,4.5,0
0,10,100000,4,0
70,2,100000,4.5,0
100,1,100000,4,0
70,2,100000,4,0
60,6,100000,4.5,0
60,1,200000,4,0
100,7,100000,4,0
60,1,200000,4.5,1
30,1,100000,4,0
0,2,100000,4,0
60,1,200000,4,0
60,4,100000,4.5,1
50,10,100000,4,0
40,1,100000,4,0
60,7,100000,4.5,0
70,4,100000,4,0
100,6,100000,4.5,1
100,6,100000,4,0
100,4,100000,4,0
70,2,100000,4.5,0
100,5,100000,4,1
300,5,100000,4.5,0
1000,6,100000,3.5,0
700,6,100000,4,1
50,1,200000,4.5,0
40,4,100000,3.5,0
1000,4,100000,4,1
80,6,100000,4.5,0
20,10,100000,4.5,0
70,1,100000,4,0
500,4,100000,3.5,0
60,1,100000,4,0
80,2,100000,4,0
90,8,100000,4,1
20,1,100000,4.5,0
40,10,100000,4,0
100,11,60000,4,1
100,7,100000,4,0
10,5,100000,4,0
300,2,100000,4.5,0
80,1,100000,4,1
100,9,100000,4,0
100,10,100000,4,1
60,4,100000,4,0
50,2,100000,4,0
100,8,100000,4,1
300,1,100000,4,0
70,10,100000,4,0
60,2,100000,3.5,0
20,2,100000,4,1
1000,6,100000,4,0
60,1,100000,4,0
10,2,100000,4,1
90,7,100000,3.5,1
70,1,100000,4,1
40,7,100000,4,0
20,4,100000,4.5,0
80,5,100000,4,0
50,4,100000,4,0
50,4,100000,3.5,0
60,1,100000,4,0
100,8,100000,4,1
80,2,100000,4.5,1
100,9,100000,3.5,1
200,4,100000,4,1
90,4,100000,4,0
100,5,90000,3.5,0
80,5,100000,4,0
500,6,100000,3.5,0
50,4,100000,4,0
1000,2,100000,4,1
60,1,100000,4,0
40,1,100000,4,1
600,4,100000,4,1
50,1,100000,4,1
40,1,100000,4,0
100,5,80000,4,0
100,5,100000,4,1
0,1,100000,4,0
50,2,100000,4.5,0
90,6,90000,4,0
70,1,100000,4,1
80,7,100000,4,0
1000,6,100000,4,1
100,4,100000,4.5,0
50,4,100000,4.5,0
50,2,200000,4.5,1
30,4,80000,4,0
30,1,100000,4,0
50,7,100000,4.5,1
50,5,100000,4,1
80,6,100000,4,0
70,1,100000,3.5,1
90,5,100000,4,0
100,9,100000,4,1
50,1,100000,4,1
90,6,50000,4,0
900,6,100000,4,0
70,7,100000,4,0
40,5,100000,4,1
80,7,100000,4.5,0
50,2,100000,4,0
50,1,100000,4,0
60,4,100000,4,0
30,2,70000,5,0
100,2,100000,4.5,0
80,4,100000,4.5,0
100,9,100000,4,1
100,9,100000,4,1
100,4,100000,4,0
200,1,100000,4,0
100,1,100000,3.5,0
60,2,100000,4,0
400,9,100000,4,0
100,1,100000,4,1
40,5,90000,4,0
60,2,100000,3.5,0
60,2,100000,4,1
200,2,100000,4,1
60,6,100000,4,1
50,1,100000,4,0
100,8,90000,4,1
100,5,100000,4,1
30,1,70000,4,0
40,6,60000,4,1
70,9,100000,4,0
30,2,100000,4,0
60,4,100000,4.5,0
100,7,100000,4,0
60,2,100000,4,0
40,1,90000,4.5,0
100,2,100000,4.5,0
100,8,100000,4,1
200,7,90000,4,0
100,9,100000,4,1
800,4,100000,4,1
20,6,100000,4,0
100,5,100000,4,0
500,7,100000,3.5,0
50,4,100000,4,0
30,2,100000,4,1
70,4,100000,4,0
70,4,100000,4,0
70,6,100000,3.5,0
70,2,100000,4,0
60,7,100000,4,0
100,8,100000,3.5,1
80,5,100000,4,0
100,7,90000,4,1
100,9,100000,4,0
80,2,100000,4,0
100,2,100000,4,0
100,6,100000,4,0
70,1,100000,4,1
100,5,100000,4,0
90,1,60000,4,0
80,4,90000,3.5,0
100,4,90000,4,0
60,5,80000,3.5,0
20,1,100000,4,0
60,2,100000,4,0
30,9,100000,4,1
90,6,90000,4,1
70,10,90000,3.5,0
70,2,100000,4,0
200,6,100000,4,0
1000,1,100000,4,1
100,9,100000,4,1
80,1,90000,4.5,0
60,4,100000,4.5,0
50,5,90000,4,0
90,4,90000,4,0
100,6,100000,4,1
30,10,100000,4,0
40,10,80000,4,0
100,9,90000,4,1
70,1,100000,4,0
70,1,100000,3.5,0
70,2,70000,4,0
50,6,90000,4,0
60,2,90000,4,0
70,1,100000,4,0
60,8,50000,4,0
80,4,100000,4,0
100,2,90000,4.5,1
10,1,90000,4,0
90,4,90000,4,0
100,10,90000,4.5,0
80,2,100000,4,0
40,1,90000,4.5,0
0,2,90000,4.5,1
700,4,100000,4,0
30,4,100000,4.5,0
100,8,90000,4,0
70,2,90000,4.5,1
40,4,90000,4,0
100,5,90000,4,0
100,8,90000,3.5,0
60,2,80000,4,0
80,2,100000,4,0
1000,7,90000,4,1
200,7,80000,3.5,0
50,11,90000,4,0
0,2,90000,4.5,0
900,2,90000,4,0
60,7,100000,4,0
60,5,80000,4,0
50,2,100000,4,0
50,1,100000,3.5,0
70,5,100000,4,0
800,2,100000,4,0
60,11,40000,4.5,1
100,9,100000,3.5,0
100,2,100000,4.5,1
40,2,90000,4.5,0
200,5,90000,4.5,1
40,4,100000,4,0
40,2,90000,4,0
50,1,90000,4,0
80,1,60000,4.5,0
40,1,80000,4,0
70,5,100000,4,0
400,4,90000,4,0
20,2,100000,4.5,0
70,1,100000,4,0
70,2,100000,4,0
100,5,70000,3,0
60,1,100000,4.5,0
90,7,90000,4,1
20,1,100000,4,0
100,6,80000,4,0
30,10,80000,4,0
70,1,100000,4,0
30,6,80000,3.5,0
30,10,90000,4.5,0
80,5,100000,4,0
90,5,90000,4,0
100,7,90000,4,0
400,2,80000,4,0
100,5,90000,4,0
70,4,80000,4,0
90,2,80000,4,0
200,7,90000,4,0
90,2,100000,4,0
50,2,100000,4.5,1
50,2,90000,4,0
90,5,100000,4,0
60,4,90000,4.5,0
60,2,100000,4.5,0
50,5,90000,3.5,0
30,2,100000,4.5,0
60,1,80000,4,0
50,2,100000,4,0
90,1,100000,4,1
60,2,100000,4,0
40,4,80000,4.5,0
100,5,80000,4,0
80,1,90000,4,0
90,9,100000,3.5,0
30,10,80000,4,0
800,4,70000,4,1
80,7,90000,4,0
100,1,90000,4,1
20,10,70000,4,0
80,1,100000,4,0
40,10,90000,4,0
50,1,90000,4,0
60,8,50000,4,1
60,2,100000,4,0
80,1,100000,4,1
40,4,80000,4,0
60,6,90000,4,1
10,2,80000,4,1
50,2,100000,3.5,0
200,2,80000,4,0
50,9,80000,4,0
100,5,80000,4,0
200,5,90000,4,0
30,1,90000,4,0
60,1,100000,4,0
60,1,100000,4,0
80,4,90000,4,0
700,5,90000,4,1
80,5,70000,4,0
50,1,100000,4,0
60,5,100000,4,0
60,2,100000,4,1
70,2,80000,4,0
50,4,80000,3.5,0
700,4,90000,4,1
100,7,70000,4,0
100,9,70000,4,1
50,6,80000,3.5,0
30,2,100000,4,0
100,2,70000,3.5,1
30,1,100000,4,0
0,4,70000,4.5,0
100,5,70000,4,0
50,11,80000,4,0
500,6,80000,4,0
20,4,70000,3.5,0
70,2,100000,4,0
80,1,90000,4,0
800,6,90000,4,1
100,2,90000,4,0
40,9,80000,4,0
100,5,80000,4,0
90,5,60000,4,0
60,1,100000,4,0
500,1,80000,4,0
30,1,90000,4,0
20,10,70000,4,0
90,6,70000,4,1
100,8,70000,4.5,0
50,6,90000,4,0
40,10,70000,4,0
60,4,80000,4,0
80,4,80000,4,0
100,2,80000,4,0
80,2,80000,4.5,0
50,4,80000,4,1
500,12,90000,4.5,1
20,1,80000,4.5,0
40,4,80000,4.5,0
40,4,80000,3.5,0
10,1,100000,4,0
400,4,100000,4,1
40,11,70000,4,0
50,2,60000,4,1
100,8,80000,3.5,0
70,1,100000,3.5,0
60,2,90000,4,0
900,2,90000,4,0
100,9,70000,4,0
60,1,100000,4,0
0,9,80000,4,0
70,9,70000,3.5,0
20,4,70000,3.5,0
30,4,90000,4,0
50,2,90000,4.5,0
100,2,100000,4,0
0,2,100000,4,0
20,4,100000,4.5,0
100,4,80000,4,1
40,9,80000,4,1
60,4,80000,4,1
40,4,90000,4,0
70,6,70000,4,0
100,2,90000,4,0
100,5,80000,4,1
100,9,90000,3.5,1
50,1,100000,4,0
0,7,70000,4.5,0
50,4,100000,4,0
50,4,80000,4,0
50,6,80000,3.5,0
40,1,80000,4,0
80,1,100000,4,0
50,11,40000,4,0
70,6,80000,3.5,1
100,8,70000,4,1
50,5,100000,4,0
60,2,70000,4,0
40,2,80000,4,0
100,2,90000,4,0
30,10,70000,4,0
80,8,80000,4.5,1
30,6,80000,4,0
200,8,80000,4,1
200,6,80000,4,1
30,10,70000,3.5,0
80,1,100000,4,0
60,2,70000,4,0
40,4,100000,4,0
80,1,80000,4,1
2000,2,70000,4,0
40,1,100000,4.5,0
50,1,100000,4.5,0
70,4,80000,4,0
100,1,100000,4,0
100,13,50000,3.5,1
60,11,80000,3.5,0
30,2,90000,4,0
100,5,90000,4,1
70,4,70000,4,1
900,1,80000,4,1
100,7,80000,4,0
90,4,40000,4,0
50,5,90000,4,0
80,5,80000,4,0
30,2,80000,4.5,0
400,4,80000,4,0
50,1,80000,4,0
70,6,90000,3.5,1
10,4,60000,4,0
50,4,80000,4,0
90,7,80000,4,0
90,1,90000,4.5,1
50,1,80000,4,0
80,1,80000,4,0
40,5,70000,4,0
70,2,90000,4,0
10,1,80000,4,0
60,6,70000,4.5,0
20,7,80000,4,0
50,2,70000,4,0
60,2,90000,4,0
90,4,80000,4,1
40,1,100000,4.5,0
900,7,80000,3.5,1
100,2,60000,4,0
30,4,60000,3.5,0
600,1,80000,4,0
100,8,80000,4,0
50,4,90000,4,1
200,1,100000,4,1
90,1,80000,4,1
60,6,60000,3.5,0
50,7,70000,3.5,0
40,1,80000,4,0
20,1,80000,4,0
70,9,80000,4,1
40,2,70000,4,0
40,4,100000,4,0
50,4,70000,3.5,0
50,1,70000,4,0
90,2,90000,4,1
80,7,70000,4.5,0
80,1,100000,4,0
70,5,90000,4,0
40,1,100000,4,0
40,2,80000,4.5,0
40,2,90000,4,1
70,2,70000,4.5,0
50,4,70000,3.5,0
60,5,90000,4,0
60,1,90000,4,0
40,9,70000,4,1
90,7,80000,4.5,0
60,9,70000,3.5,0
100,4,70000,4,0
300,5,60000,4,0
10,5,70000,4,0
20,11,70000,4,0
70,6,60000,4,0
90,2,80000,4,0
60,1,90000,4,0
100,8,70000,3.5,0
80,2,70000,4,0
100,8,80000,4,0
100,9,80000,4,0
60,2,70000,4,0
40,1,90000,4,0
200,2,80000,4,1
50,2,70000,4,0
70,1,80000,3.5,0
70,1,70000,4.5,0
60,4,100000,4,0
100,1,80000,4,0
70,2,80000,4.5,0
60,5,70000,4,0
100,2,70000,4,0
100,7,70000,4,0
60,7,70000,4,0
40,2,100000,4.5,1
30,1,90000,4.5,0
50,5,90000,4,0
40,4,70000,4,0
70,8,70000,4,0
100,4,60000,4,0
70,4,60000,4,0
40,10,80000,4,0
60,2,90000,4,0
0,2,80000,4.5,0
50,4,70000,4.5,0
40,1,100000,4,0
50,2,70000,4,0
60,1,80000,4,1
800,2,80000,4,0
60,4,70000,4,0
100,2,60000,3.5,0
40,2,60000,4,0
50,1,80000,4,0
50,1,90000,4,0
100,2,90000,4,0
20,5,80000,4.5,0
100,8,70000,4,0
70,1,90000,4,0
60,1,80000,4,0
50,4,100000,4.5,0
20,9,70000,4.5,0
40,5,90000,4,0
40,4,100000,4,0
100,8,70000,3.5,0
60,1,90000,4,0
80,2,70000,4,0
40,10,60000,4,0
40,6,70000,4,0
100,8,70000,4,1
60,1,90000,4,0
40,2,80000,4.5,0
60,5,90000,4,0
70,8,60000,3.5,0
60,10,70000,3.5,0
40,1,100000,4.5,0
80,5,70000,3.5,0
80,7,60000,4,0
