rating,Genre,ratings_count,adapted
4,young adult,395296,yes
4,drama,320919,yes
4,mystery,333452,no
4,mystery,320083,no
3,romance,323762,yes
4,fantasy,340920,yes
4,romance,365425,yes
4,drama,312444,yes
4,fantasy,332494,yes
4,drama,283806,yes
4,young adult,360156,yes
4,mystery,232106,no
4,thriller,291258,no
4,horror,356814,yes
4,comedy,293878,yes
4,horror,312969,yes
4,mystery,287533,yes
4,young adult,333638,no
4,mystery,311499,yes
4,horror,334647,yes
4,mystery,207889,no
4,young adult,337644,yes
4,young adult,360044,no
4,#N/A,314700,no
4,drama,334241,yes
4,young adult,294726,yes
4,young adult,228538,no
4,fantasy,314016,yes
4,young adult,427663,no
4,mystery,297712,no
4,young adult,356625,no
4,sci-fi,283295,yes
4,#N/A,283516,no
4,fantasy,343252,yes
4,mystery,263685,no
4,young adult,305643,no
4,#N/A,282623,no
4,romance,279264,yes
4,mystery,306186,no
4,fantasy,339117,no
4,romance,284988,yes
4,young adult,291909,yes
4,mystery,274639,yes
5,romance,253606,no
4,sci-fi,294123,yes
4,romance,262921,yes
4,mystery,177384,yes
4,sci-fi,313044,yes
4,romance,263199,yes
4,drama,280475,yes
4,crime,256480,yes
4,young adult,312754,no
4,sci-fi,279688,no
4,fantasy,293844,no
4,young adult,297861,no
4,fantasy,270603,no
4,romance,256975,no
4,mystery,288376,no
4,fantasy,316379,yes
4,fantasy,298304,no
4,#N/A,246602,yes
4,romance,251703,no
4,romance,267166,yes
4,romance,244545,yes
4,thriller,270318,yes
4,fantasy,292426,yes
4,comedy,290674,no
4,drama,258319,no
4,young adult,306492,yes
4,young adult,268012,yes
4,fantasy,299980,no
4,sci-fi,258464,no
4,fantasy,296952,no
4,sci-fi,238940,no
4,sci-fi,276076,no
4,young adult,228371,no
4,young adult,285692,yes
3,horror,255576,yes
4,romance,255531,yes
4,#N/A,241537,yes
4,drama,246917,no
4,horror,256383,yes
4,drama,259576,no
5,fantasy,245686,no
4,romance,278747,no
4,fantasy,341826,no
4,romance,248804,yes
4,romance,255651,yes
4,fantasy,302303,no
4,romance,243526,no
4,young adult,285011,yes
4,#N/A,237272,no
4,comedy,250192,yes
4,young adult,270859,no
4,young adult,226091,no
4,fantasy,300553,no
4,mystery,215453,yes
4,young adult,268548,no
4,fantasy,268318,no
4,romance,205279,yes
4,young adult,340379,no
4,drama,226964,yes
4,drama,245674,yes
4,young adult,299998,no
4,young adult,235978,no
4,#N/A,241869,no
4,fantasy,260184,no
4,romance,221225,yes
4,sci-fi,268355,no
4,drama,223432,yes
4,romance,252564,no
4,fantasy,270402,yes
4,mystery,233984,no
4,sci-fi,222842,no
4,romance,222926,yes
4,fantasy,244842,no
4,young adult,253437,yes
4,fantasy,241088,yes
3,mystery,231835,no
4,thriller,222712,yes
4,comedy,201337,no
4,young adult,250000,no
4,young adult,247521,yes
4,young adult,250221,yes
4,young adult,273442,no
4,horror,228680,no
4,comedy,232489,yes
4,fantasy,307994,no
4,comedy,251082,no
4,drama,238875,yes
4,horror,233825,yes
4,fantasy,281185,yes
4,fantasy,275670,yes
4,young adult,249113,yes
4,fantasy,257260,no
4,#N/A,199326,no
4,sci-fi,223828,yes
4,young adult,230181,yes
4,fantasy,116277,no
4,young adult,259479,no
4,fantasy,250602,yes
4,sci-fi,210682,yes
4,#N/A,215780,yes
4,horror,205986,yes
4,fantasy,242503,no
4,young adult,237560,yes
4,fantasy,232791,no
4,sci-fi,220301,no
4,comedy,191923,no
4,fantasy,245855,yes
4,#N/A,191535,no
4,young adult,223932,yes
4,young adult,223674,no
4,fantasy,237602,yes
4,drama,184211,no
4,fantasy,226622,no
4,romance,183988,yes
4,romance,208333,yes
4,young adult,236431,no
4,drama,184241,no
4,young adult,256745,no
4,#N/A,202135,no
4,young adult,236015,yes
4,drama,242980,yes
4,young adult,222553,no
4,fantasy,208944,no
4,horror,223535,yes
4,fantasy,226564,yes
4,young adult,254852,yes
4,young adult,274987,no
4,young adult,266742,no
4,romance,195063,yes
4,romance,197294,no
4,horror,178135,yes
4,#N/A,179347,yes
4,fantasy,284833,no
4,sci-fi,183878,no
4,romance,186613,yes
4,horror,195689,no
4,#N/A,167332,no
4,mystery,182025,no
4,sci-fi,178154,yes
4,#N/A,218264,no
4,romance,192330,no
4,#N/A,171558,yes
4,romance,207508,yes
4,young adult,199346,yes
4,romance,200509,no
4,romance,165675,no
4,romance,195274,no
4,#N/A,116784,no
4,young adult,230031,no
4,fantasy,221431,no
4,mystery,213200,no
4,young adult,224247,no
4,young adult,231853,no
4,romance,185116,no
4,romance,191850,no
5,fantasy,190050,no
4,young adult,234247,no
4,mystery,200217,no
4,young adult,196677,no
4,comedy,170776,no
4,drama,210630,no
4,fantasy,277491,no
4,fantasy,190590,yes
4,fantasy,167593,no
4,horror,194013,yes
4,sci-fi,198368,no
4,romance,227021,no
4,young adult,226237,no
4,young adult,220160,yes
4,drama,165378,no
4,drama,168006,no
4,romance,165704,no
4,sci-fi,165628,no
4,drama,168911,no
4,horror,183292,yes
4,sci-fi,175883,no
4,young adult,202180,yes
4,fantasy,207550,yes
4,mystery,180896,yes
4,mystery,201499,no
4,fantasy,211645,no
4,#N/A,170491,no
4,young adult,205340,no
4,fantasy,203053,yes
4,romance,205167,yes
4,young adult,260048,yes
4,romance,185979,yes
4,fantasy,198083,no
4,romance,172417,no
4,drama,194493,yes
4,fantasy,190473,no
4,sci-fi,160466,no
4,drama,183777,no
5,fantasy,162099,no
4,drama,182220,yes
4,#N/A,155658,no
4,romance,178110,no
4,fantasy,159457,yes
4,romance,167400,no
4,fantasy,155338,no
4,fantasy,160330,no
4,romance,181106,no
4,young adult,185928,yes
4,young adult,214412,no
4,romance,205064,no
4,#N/A,171281,no
4,mystery,188024,no
4,#N/A,162740,no
4,young adult,193141,no
4,drama,167106,no
4,thriller,162972,no
4,young adult,178188,yes
4,#N/A,153128,no
4,fantasy,192315,no
4,fantasy,175771,no
4,drama,168082,no
4,young adult,152906,no
4,comedy,154643,yes
4,crime,155838,yes
4,young adult,198809,yes
4,sci-fi,173186,yes
4,horror,173950,yes
4,#N/A,142641,no
4,young adult,184007,no
4,young adult,191743,no
4,sci-fi,164287,no
4,#N/A,184759,no
4,mystery,168405,no
4,#N/A,145459,no
4,romance,176062,yes
4,young adult,183255,yes
4,romance,168037,yes
4,horror,166083,yes
4,young adult,193140,yes
4,mystery,180320,no
4,horror,164530,no
4,sci-fi,170841,yes
4,romance,157506,no
4,fantasy,161173,yes
4,young adult,139544,no
4,young adult,129665,yes
4,#N/A,152786,no
4,romance,170096,no
4,fantasy,162595,no
4,mystery,167379,no
4,horror,160063,yes
4,young adult,171384,no
4,mystery,139816,yes
4,romance,159596,no
4,fantasy,147717,no
4,romance,198627,no
4,fantasy,169306,yes
4,young adult,193405,no
4,fantasy,133408,no
4,mystery,149438,yes
4,sci-fi,152441,yes
4,young adult,168678,no
4,#N/A,149453,no
4,fantasy,181656,no
4,mystery,150055,yes
4,fantasy,190565,no
4,fantasy,153809,no
4,fantasy,168727,yes
4,drama,175616,yes
3,fantasy,155903,yes
4,crime,145267,no
3,drama,138669,no
4,comedy,150898,no
4,fantasy,198283,no
4,fantasy,83354,no
4,#N/A,155977,no
4,mystery,167997,no
4,romance,189938,no
4,young adult,199872,yes
4,young adult,179415,yes
4,fantasy,189671,no
4,young adult,206792,no
4,young adult,195424,no
4,fantasy,173469,yes
4,#N/A,139411,no
4,sci-fi,159752,yes
4,young adult,156328,yes
4,fantasy,160860,no
4,young adult,133271,no
4,sci-fi,138454,no
4,romance,142092,no
4,horror,153821,yes
4,romance,157395,no
4,drama,156869,yes
4,horror,158215,yes
4,young adult,159249,no
4,fantasy,199572,no
4,romance,171599,yes
4,romance,158877,no
4,fantasy,178432,yes
5,fantasy,144822,no
4,fantasy,181323,no
4,young adult,161001,yes
4,fantasy,150736,no
4,romance,99342,no
4,drama,140076,no
4,fantasy,135979,no
4,young adult,172302,yes
4,romance,134849,yes
4,romance,136427,yes
4,sci-fi,151500,no
4,romance,113915,no
4,#N/A,134177,yes
4,sci-fi,148563,yes
4,comedy,151471,no
4,fantasy,174280,yes
4,horror,151160,yes
4,fantasy,174204,no
4,#N/A,164708,no
4,fantasy,193766,no
4,#N/A,153764,no
4,young adult,190722,no
3,fantasy,147908,yes
4,horror,139501,no
4,fantasy,173613,no
4,drama,131492,no
4,thriller,142168,yes
4,romance,133937,no
4,drama,150512,yes
4,young adult,160607,no
4,fantasy,131389,no
4,young adult,155042,yes
4,young adult,154476,yes
4,young adult,155901,no
4,thriller,137412,yes
4,fantasy,134931,yes
4,fantasy,132777,yes
4,sci-fi,153838,no
4,young adult,174393,no
4,fantasy,162373,yes
4,fantasy,170453,no
4,fantasy,143622,no
4,young adult,145161,yes
4,comedy,127096,no
4,fantasy,133728,no
4,fantasy,177796,no
4,young adult,159703,no
4,horror,144591,yes
4,#N/A,113565,no
4,sci-fi,134106,no
4,fantasy,139052,yes
4,romance,138377,no
4,horror,131856,no
4,young adult,151829,no
4,mystery,128406,yes
4,crime,127186,no
4,mystery,154517,no
4,#N/A,136950,no
4,fantasy,157736,yes
4,young adult,151789,no
4,romance,129807,yes
4,thriller,125847,yes
4,fantasy,162689,no
4,mystery,133155,no
4,fantasy,168001,yes
4,fairy-tales,141945,no
4,thriller,141674,yes
4,romance,111856,yes
4,#N/A,135635,no
4,fantasy,169560,no
4,young adult,176433,no
4,sci-fi,136886,yes
4,romance,144533,no
4,romance,109692,no
4,fantasy,188136,no
4,sci-fi,143236,no
4,drama,120126,no
4,young adult,144497,yes
4,sci-fi,131352,no
4,young adult,158701,no
4,romance,128715,no
4,young adult,180961,no
4,young adult,153882,no
4,young adult,150003,yes
3,fantasy,148480,yes
4,romance,124371,no
4,fantasy,146905,no
4,fantasy,125195,no
4,drama,137858,yes
4,horror,141110,yes
4,fantasy,163054,no
4,sci-fi,98738,yes
4,drama,119213,no
4,young adult,100886,no
4,young adult,150222,no
4,crime,114531,no
4,drama,117657,no
4,#N/A,128961,no
4,thriller,129811,yes
4,young adult,146073,no
4,#N/A,110651,no
4,#N/A,137372,no
4,romance,129778,yes
4,horror,126993,no
4,fantasy,137639,no
4,young adult,151721,no
4,young adult,108703,no
4,fantasy,119930,no
4,thriller,132723,yes
4,mystery,135514,yes
4,mystery,138444,yes
4,romance,113252,no
4,romance,121398,no
4,horror,142213,yes
4,romance,141641,no
4,#N/A,109642,no
4,romance,115393,no
4,young adult,156726,yes
4,#N/A,87445,no
4,young adult,165127,no
4,fantasy,133683,yes
4,romance,116800,yes
5,fantasy,159774,no
4,young adult,144606,no
4,romance,118045,no
4,#N/A,130293,yes
4,crime,112167,no
4,romance,116053,no
4,#N/A,110873,no
4,horror,131481,no
4,romance,121966,no
4,sci-fi,128244,yes
4,romance,124812,no
4,mystery,120008,no
4,horror,141299,no
4,mystery,124837,no
4,romance,110939,yes
4,sci-fi,121112,no
4,romance,124786,no
4,romance,136327,yes
4,comedy,92275,yes
4,horror,131004,no
4,romance,124876,no
4,horror,130219,no
4,sci-fi,117108,no
4,young adult,129350,no
4,romance,102206,no
4,drama,105138,no
4,#N/A,121373,no
4,young adult,143892,no
4,romance,123736,no
4,young adult,149702,no
4,drama,135448,no
3,drama,132061,no
4,romance,93479,no
5,young adult,119915,no
4,#N/A,124665,yes
4,#N/A,106211,no
4,fantasy,120004,yes
4,comedy,118910,no
4,fantasy,122524,no
4,crime,95213,no
4,fantasy,151095,no
4,fantasy,117483,yes
4,mystery,120541,yes
4,romance,119911,yes
4,fantasy,125668,no
4,sci-fi,122225,no
3,young adult,133264,yes
4,horror,124467,yes
4,young adult,145874,no
4,mystery,131945,yes
4,drama,118951,no
4,fantasy,113855,yes
4,sci-fi,123073,no
4,young adult,116260,no
4,fantasy,135978,yes
4,horror,105961,yes
4,young adult,124320,yes
3,romance,113977,no
4,sci-fi,81982,no
4,fantasy,118576,no
4,#N/A,104549,no
4,comedy,118475,no
4,fantasy,118751,no
4,young adult,137047,no
4,fantasy,145157,no
4,drama,109313,no
4,young adult,164832,no
4,sci-fi,131562,no
4,young adult,160485,yes
4,young adult,126864,no
4,#N/A,110597,no
4,fantasy,128450,no
4,young adult,158063,no
4,romance,111498,yes
4,comedy,122502,no
4,young adult,140599,no
4,sci-fi,115521,no
4,romance,119105,no
4,drama,108338,yes
4,drama,109944,no
4,romance,119739,no
4,#N/A,124805,yes
4,fantasy,122540,no
4,#N/A,111497,no
4,mystery,113718,yes
5,mystery,109754,no
4,drama,119933,no
4,#N/A,110481,no
4,#N/A,110274,no
4,drama,126318,yes
4,young adult,162069,no
4,#N/A,106542,no
4,#N/A,102746,no
4,romance,101436,no
4,romance,119851,yes
4,drama,99252,no
5,comedy,117788,no
4,young adult,139168,no
4,romance,125474,no
4,young adult,138103,no
4,fantasy,102193,no
4,thriller,105317,yes
4,young adult,111779,no
4,comedy,102560,no
4,crime,59453,yes
4,sci-fi,105595,no
4,#N/A,97016,no
4,mystery,111239,no
4,fantasy,116324,no
4,young adult,134537,yes
4,horror,95276,no
4,comedy,101999,yes
4,romance,136761,no
4,#N/A,106351,no
4,fantasy,117582,no
4,thriller,109595,yes
4,young adult,107313,no
4,comedy,98645,no
4,fantasy,106336,no
4,fantasy,118467,yes
4,drama,125178,no
4,young adult,120763,no
4,fantasy,105026,yes
3,sci-fi,109412,yes
4,young adult,132159,yes
4,sci-fi,108124,no
4,romance,113881,no
4,mystery,100936,no
4,romance,138871,no
4,romance,113805,no
4,young adult,127387,no
4,thriller,100513,yes
4,#N/A,102936,no
4,fantasy,123945,yes
4,horror,115855,yes
4,#N/A,108062,no
4,romance,105892,yes
4,romance,103915,no
4,mystery,94968,no
4,mystery,116026,no
4,drama,119496,no
4,romance,106729,no
4,fantasy,124612,yes
4,young adult,136938,no
4,young adult,117103,yes
4,romance,109994,yes
4,young adult,136736,yes
4,young adult,120475,no
4,mystery,78028,no
4,mystery,102715,yes
4,young adult,138118,no
4,fantasy,104633,no
4,drama,94012,no
4,young adult,121863,yes
4,sci-fi,104467,no
4,drama,115621,yes
4,romance,104339,no
4,romance,134249,no
4,fantasy,167848,yes
4,romance,76876,no
4,#N/A,105192,no
4,young adult,98628,no
4,sci-fi,116197,yes
4,mystery,102733,yes
4,drama,99926,no
4,young adult,112733,yes
4,mystery,110552,no
4,horror,109063,yes
4,#N/A,116771,no
4,young adult,99831,yes
4,drama,54937,no
4,drama,119607,no
4,sci-fi,114917,no
4,mystery,117108,yes
4,sci-fi,104939,no
4,fantasy,109236,no
4,young adult,105032,no
4,romance,134022,no
5,fantasy,73572,no
4,fantasy,104690,no
4,romance,103552,no
4,horror,104248,yes
4,horror,102574,yes
4,romance,98379,no
4,young adult,123065,no
4,young adult,101669,no
4,#N/A,102923,yes
4,fantasy,127379,no
4,horror,95803,no
4,young adult,130213,yes
4,mystery,92849,no
4,fantasy,131034,no
4,fantasy,105473,yes
4,fantasy,109110,yes
4,drama,98276,yes
4,#N/A,97468,no
4,young adult,132285,no
4,#N/A,102419,no
4,thriller,93475,yes
4,mystery,98464,yes
4,young adult,73149,no
4,drama,55381,yes
4,horror,99729,no
4,#N/A,103547,no
4,fantasy,107221,no
4,romance,137558,no
4,sci-fi,96865,no
4,fantasy,111371,no
4,#N/A,90083,no
4,young adult,93990,no
4,fantasy,108652,no
4,#N/A,94590,no
4,thriller,101343,yes
4,sci-fi,93151,no
4,horror,110693,yes
4,romance,102646,yes
4,#N/A,96564,no
4,drama,104283,no
4,mystery,98591,no
4,sci-fi,95620,no
4,romance,119633,no
4,fantasy,104677,yes
4,romance,97745,no
4,romance,103933,no
3,drama,99170,no
4,fantasy,116360,no
4,sci-fi,97653,no
3,thriller,100158,yes
4,mystery,116171,no
4,#N/A,102348,no
4,sci-fi,87636,yes
4,horror,100972,no
4,#N/A,94696,yes
4,fantasy,97501,no
4,fantasy,108031,no
4,drama,103151,no
4,#N/A,105063,no
4,young adult,132087,yes
4,mystery,100369,no
4,young adult,58396,no
3,romance,90551,no
4,romance,89770,no
3,mystery,82504,no
4,young adult,104168,no
4,fantasy,121727,no
4,horror,98795,yes
4,drama,85019,yes
3,comedy,88251,no
4,#N/A,85277,no
4,fantasy,98180,no
4,drama,98950,no
4,young adult,100223,yes
4,horror,98182,yes
4,young adult,88227,no
4,romance,117508,no
4,mystery,86965,no
4,romance,87412,no
4,drama,97462,yes
4,comedy,134805,no
4,comedy,82591,no
4,horror,94821,yes
4,young adult,119735,no
4,young adult,96568,no
4,fantasy,73886,no
4,drama,90811,no
4,fantasy,93227,no
4,young adult,140937,no
4,thriller,49551,no
4,romance,98130,no
4,fantasy,93296,yes
4,young adult,88847,no
4,romance,93498,no
4,comedy,91625,no
4,fantasy,125363,no
4,young adult,92142,no
4,#N/A,92569,no
4,fantasy,94095,yes
4,romance,95995,no
4,romance,109344,no
4,thriller,86870,no
5,fantasy,90907,yes
4,romance,90483,no
4,mystery,91774,no
4,thriller,94624,no
4,#N/A,73994,yes
4,#N/A,78271,no
4,fantasy,76261,no
4,fantasy,95421,no
4,sci-fi,89410,yes
4,#N/A,94456,no
4,sci-fi,84180,no
4,crime,92158,no
4,fantasy,90574,no
4,fantasy,87511,no
4,sci-fi,97925,no
4,mystery,76553,no
4,fantasy,129150,no
4,young adult,116687,no
4,mystery,96981,no
4,#N/A,74218,no
4,fantasy,96316,no
4,crime,37090,yes
4,horror,95768,no
4,fantasy,104579,yes
4,fantasy,91383,no
4,mystery,85883,yes
4,#N/A,88626,no
4,romance,105414,no
4,fantasy,89204,no
4,young adult,85582,no
4,young adult,64779,no
4,young adult,83847,no
4,mystery,113400,no
4,romance,93217,no
4,fantasy,102184,no
4,young adult,106435,no
4,fantasy,135225,no
3,mystery,74979,no
4,young adult,114623,no
4,sci-fi,90917,yes
4,young adult,108370,no
4,drama,82474,no
4,#N/A,61422,no
4,comedy,83607,no
4,young adult,97938,no
4,drama,76566,no
5,comedy,93001,no
4,mystery,95796,no
4,mystery,89460,no
4,#N/A,93640,no
4,sci-fi,93774,no
4,fantasy,80769,no
4,mystery,89468,no
4,romance,80991,no
4,fantasy,82608,no
4,sci-fi,87141,no
4,fantasy,113066,no
4,#N/A,83881,no
5,fantasy,123843,yes
4,fantasy,91046,no
4,mystery,99841,no
4,#N/A,82090,no
4,romance,87098,no
4,fantasy,110719,no
4,mystery,90477,no
4,fantasy,131906,no
4,young adult,81712,no
4,#N/A,69992,no
4,fantasy,99390,no
4,young adult,118624,yes
4,fantasy,97736,no
4,#N/A,71156,no
4,romance,83085,no
4,mystery,80577,no
4,young adult,92980,no
3,horror,103995,no
4,comedy,81616,no
4,romance,74642,yes
4,sci-fi,89569,no
4,young adult,91831,yes
4,comedy,74199,no
4,young adult,97058,no
4,comedy,94231,no
4,young adult,85136,no
4,thriller,45382,yes
4,fantasy,95950,no
4,young adult,99638,yes
4,romance,84367,no
4,drama,90138,yes
4,fantasy,84957,yes
4,fantasy,109290,no
4,fantasy,75502,no
4,horror,82535,no
4,mystery,80377,no
4,mystery,93963,no
4,young adult,94478,no
4,#N/A,80434,no
4,young adult,105770,no
4,young adult,111044,no
4,romance,88139,no
4,mystery,93134,yes
4,mystery,66979,no
4,young adult,104730,no
4,mystery,106871,no
4,#N/A,80906,no
4,#N/A,85006,no
4,fantasy,110812,yes
4,fantasy,83235,no
4,romance,83461,no
4,romance,91323,yes
4,sci-fi,72493,no
4,horror,71053,yes
3,drama,79762,no
4,fantasy,101016,no
4,#N/A,75665,no
4,fantasy,72675,yes
4,young adult,102012,no
4,romance,71971,no
4,mystery,67873,no
4,crime,77462,no
4,drama,83066,no
3,romance,67438,no
4,fantasy,104252,no
4,young adult,93119,no
4,drama,87427,yes
4,fantasy,88673,no
4,horror,75469,no
4,mystery,83695,no
4,mystery,56315,no
4,young adult,101234,no
4,young adult,81102,no
4,young adult,94282,no
4,comedy,74511,no
4,#N/A,67937,no
4,drama,71276,yes
4,#N/A,39863,no
4,thriller,74052,no
4,drama,86471,no
4,comedy,70550,no
4,romance,77538,no
4,romance,75320,no
4,fantasy,82580,no
4,fantasy,75031,no
4,romance,77592,yes
4,fairy-tales,90999,yes
4,young adult,82399,no
4,romance,81707,no
3,romance,78132,no
4,young adult,97049,no
4,#N/A,65362,no
4,romance,95274,yes
4,crime,72713,no
4,fantasy,62784,yes
4,thriller,83389,no
4,young adult,100593,no
4,fantasy,86421,no
4,fantasy,88508,no
4,horror,71095,no
4,young adult,107569,no
4,horror,82320,no
4,horror,66713,no
3,romance,67866,no
4,romance,89733,no
4,fantasy,91012,no
4,fantasy,95378,no
4,fantasy,108399,no
4,romance,107583,no
4,romance,84770,yes
4,horror,80959,yes
4,romance,83741,yes
4,romance,91213,no
4,#N/A,73140,no
4,drama,71515,no
4,fantasy,94437,no
4,mystery,78070,yes
3,horror,89262,yes
4,young adult,109881,no
4,#N/A,93625,no
4,sci-fi,72683,no
4,romance,111668,no
4,romance,78529,no
4,drama,77251,no
4,young adult,77277,no
4,young adult,95447,no
4,crime,44097,no
4,drama,79662,yes
4,thriller,72481,yes
4,mystery,99329,no
4,fantasy,72277,no
4,fantasy,78523,no
4,#N/A,66406,yes
4,fantasy,86062,no
4,comedy,71023,no
4,#N/A,70241,no
4,thriller,77258,yes
4,drama,80056,no
4,thriller,84489,yes
4,drama,81598,yes
4,comedy,74358,no
4,young adult,101325,no
4,fantasy,72328,no
4,romance,106236,no
4,young adult,82518,yes
4,fantasy,74130,no
4,#N/A,69975,no
4,young adult,111448,no
4,young adult,109183,no
4,romance,78129,no
4,young adult,95638,no
4,suspense,53751,yes
3,crime,76761,no
4,fantasy,92952,no
4,mystery,86103,yes
4,romance,66381,yes
4,young adult,84682,yes
4,sci-fi,80366,no
4,romance,35283,no
4,mystery,92737,no
4,mystery,75018,no
4,fantasy,82565,no
4,romance,79008,no
4,young adult,82281,no
4,drama,90032,yes
4,romance,64637,no
4,#N/A,66129,no
4,#N/A,52031,no
4,romance,75541,no
4,sci-fi,76925,no
4,young adult,87718,yes
4,young adult,83351,no
4,young adult,78592,no
4,mystery,67928,no
4,fantasy,87277,no
4,young adult,81621,no
4,drama,66782,no
4,sci-fi,81326,no
4,fantasy,72185,no
4,fantasy,87066,no
4,romance,80075,yes
4,young adult,108884,no
4,sci-fi,84778,yes
4,fantasy,63764,no
4,romance,62106,no
4,young adult,78355,no
4,thriller,76376,no
