Genre,rounded_book_count,rounded_ratings_count,rounded_rating_2,Class_New
young adult,90,500000,4,yes
drama,400,500000,4,yes
sci-fi,80,500000,3.5,no
thriller,10,500000,4,yes
drama,200,500000,4,yes
drama,2000,500000,4,yes
sci-fi,200,500000,4,no
#N/A,100,500000,4,no
#N/A,200,600000,4,yes
drama,300,500000,4,yes
drama,700,500000,3.5,yes
drama,400,300000,4,yes
young adult,100,400000,4,no
young adult,1000,500000,4,yes
fantasy,100,600000,4.5,yes
fantasy,200,500000,4.5,yes
drama,80,500000,4,yes
romance,200,500000,4,yes
romance,2000,500000,3.5,no
fantasy,200,600000,4,no
mystery,200,400000,4,yes
sci-fi,100,400000,4.5,yes
fantasy,300,500000,4.5,no
drama,100,500000,4.5,no
#N/A,20,500000,4.5,no
thriller,200,500000,3.5,no
mystery,100,400000,4,no
young adult,200,500000,4,yes
romance,200,500000,4,yes
young adult,100,500000,4,yes
drama,80,400000,4,no
fantasy,100,500000,4,no
romance,100,400000,4,no
fantasy,100,500000,4,no
fantasy,2000,500000,4,yes
fantasy,500,500000,4.5,yes
romance,70,400000,4,yes
fantasy,70,500000,4.5,no
young adult,300,500000,4,yes
fantasy,90,500000,4.5,yes
romance,2000,500000,4,yes
fantasy,500,500000,4.5,yes
crime,700,400000,4,yes
fantasy,70,300000,4.5,no
young adult,100,500000,4,no
fantasy,200,400000,4,yes
young adult,80,500000,3.5,no
fantasy,200,400000,4,no
horror,200,400000,4.5,yes
romance,100,400000,4,no
thriller,200,400000,3.5,no
romance,2000,500000,4,yes
romance,1000,300000,4,yes
sci-fi,300,400000,4,yes
fantasy,100,400000,3.5,no
fantasy,90,400000,4.5,no
horror,10,300000,4,yes
crime,2000,400000,4,no
drama,200,400000,4,no
drama,200,400000,4,no
#N/A,1000,400000,4,no
crime,200,400000,4,yes
young adult,100,400000,4,yes
fantasy,100,500000,4.5,no
young adult,200,400000,4.5,yes
fantasy,100,400000,4,no
romance,100,400000,4,yes
young adult,100,400000,4,no
fantasy,100,400000,4.5,yes
fantasy,400,400000,4.5,yes
#N/A,100,400000,4,yes
fantasy,90,400000,4.5,yes
fantasy,100,400000,4.5,yes
#N/A,100,400000,4,no
drama,2000,400000,3.5,yes
romance,100,400000,4,yes
thriller,200,400000,4,yes
fantasy,100,400000,4,no
drama,200,400000,4,yes
comedy,100,400000,4,yes
mystery,500,400000,4,yes
mystery,200,400000,3.5,yes
young adult,90,400000,4,no
romance,90,400000,4,no
fantasy,2000,400000,4,yes
fantasy,200,400000,4,yes
young adult,90,500000,4,yes
mystery,100,400000,4,yes
#N/A,70,400000,4,no
horror,200,400000,4,yes
horror,100,200000,4,yes
#N/A,100,300000,4,no
romance,200,300000,4,yes
fantasy,1000,400000,4,no
fantasy,90,400000,4.5,no
sci-fi,100,300000,4.5,no
drama,90,300000,4,no
crime,70,300000,4,yes
romance,100,200000,4,no
sci-fi,300,400000,4,yes
young adult,20,300000,4,no
young adult,70,300000,4,no
thriller,100,300000,4,yes
fantasy,200,400000,4,no
young adult,100,400000,3.5,yes
drama,80,300000,4.5,yes
mystery,100,300000,4,no
mystery,100,300000,4,no
romance,80,300000,3.5,yes
fantasy,800,300000,4,yes
romance,1000,400000,4,yes
drama,100,300000,4,yes
fantasy,200,300000,4,yes
drama,300,300000,4,yes
young adult,90,400000,4,yes
mystery,100,200000,4,no
thriller,100,300000,4,no
horror,200,400000,4,yes
comedy,80,300000,3.5,yes
horror,100,300000,4,yes
mystery,200,300000,4,yes
young adult,80,300000,4,no
mystery,100,300000,4,yes
horror,200,300000,4,yes
mystery,100,200000,4,no
young adult,100,300000,4,yes
young adult,100,400000,4,no
#N/A,300,300000,4,no
drama,1000,300000,4,yes
young adult,100,300000,4,yes
young adult,100,200000,4.5,no
fantasy,100,300000,4,yes
young adult,90,400000,4,no
mystery,50,300000,4,no
young adult,100,400000,4,no
sci-fi,100,300000,3.5,yes
#N/A,70,300000,3.5,no
fantasy,0,300000,4,yes
mystery,300,300000,4,no
young adult,100,300000,4,no
#N/A,400,300000,4,no
romance,60,300000,3.5,yes
mystery,100,300000,4,no
fantasy,60,300000,4,no
romance,300,300000,4,yes
young adult,100,300000,4,yes
mystery,100,300000,4,yes
romance,90,300000,4.5,no
sci-fi,200,300000,4,yes
romance,20,300000,4,yes
mystery,300,200000,4,yes
sci-fi,200,300000,4,yes
romance,200,300000,4,yes
drama,100,300000,4,yes
crime,300,300000,4.5,yes
young adult,100,300000,3.5,no
sci-fi,200,300000,4,no
fantasy,100,300000,4,no
young adult,30,300000,4.5,no
fantasy,100,300000,4,no
romance,100,300000,4,no
mystery,100,300000,4,no
fantasy,200,300000,4,yes
fantasy,100,300000,4.5,no
#N/A,300,200000,3.5,yes
romance,100,300000,4,no
romance,100,300000,4,yes
romance,200,200000,4,yes
thriller,100,300000,4,yes
fantasy,200,300000,4,yes
comedy,20,300000,4,no
drama,70,300000,4.5,no
young adult,300,300000,4,yes
young adult,3000,300000,4,yes
fantasy,70,300000,4.5,no
sci-fi,100,300000,4.5,no
fantasy,200,300000,4.5,no
sci-fi,200,200000,4,no
sci-fi,1000,300000,4,no
young adult,70,200000,4,no
young adult,200,300000,4,yes
horror,1000,300000,3.5,yes
romance,100,300000,4,yes
#N/A,100,200000,3.5,yes
drama,50,200000,4,no
horror,200,300000,4,yes
drama,60,300000,4,no
fantasy,100,200000,4.5,no
romance,90,300000,4,no
fantasy,100,300000,4,no
romance,70,200000,3.5,yes
romance,200,300000,4,yes
fantasy,100,300000,4,no
romance,100,200000,4,no
young adult,100,300000,4,yes
#N/A,100,200000,3.5,no
comedy,100,300000,4,yes
young adult,100,300000,4,no
young adult,70,200000,4,no
fantasy,100,300000,4.5,no
mystery,80,200000,4,yes
young adult,70,300000,4,no
fantasy,200,300000,4,no
romance,300,200000,4,yes
young adult,80,300000,4,no
drama,100,200000,4,yes
drama,100,200000,4,yes
young adult,90,300000,4,no
young adult,80,200000,4,no
#N/A,100,200000,4.5,no
fantasy,90,300000,4,no
romance,80,200000,4,yes
sci-fi,300,300000,4,no
drama,100,200000,4.5,yes
romance,80,300000,4.5,no
fantasy,200,300000,4,yes
mystery,100,200000,4,no
sci-fi,30,200000,4.5,no
romance,100,200000,4,yes
fantasy,100,200000,4.5,no
young adult,40,300000,4,yes
fantasy,2000,200000,4,yes
mystery,100,200000,3.5,no
thriller,100,200000,4,yes
comedy,50,200000,4,no
young adult,200,300000,4,no
young adult,1000,200000,4,yes
young adult,300,300000,4,yes
young adult,80,300000,4,no
horror,200,200000,4,no
comedy,100,200000,4,yes
fantasy,100,300000,4.5,no
comedy,30,300000,4,no
drama,1000,200000,4,yes
horror,200,200000,4,yes
fantasy,90,300000,4,yes
fantasy,100,300000,4,yes
young adult,400,200000,4,yes
fantasy,40,300000,4.5,no
#N/A,100,200000,4,no
sci-fi,200,200000,4,yes
young adult,2000,200000,4,yes
fantasy,200,100000,4,no
young adult,80,300000,4,no
fantasy,70,300000,4.5,yes
sci-fi,70,200000,4.5,yes
#N/A,40,200000,4,yes
horror,80,200000,4,yes
fantasy,60,200000,4,no
young adult,90,200000,3.5,yes
fantasy,80,200000,4,no
sci-fi,100,200000,4,no
comedy,60,200000,4,no
fantasy,200,200000,4,yes
#N/A,200,200000,4,no
young adult,1000,200000,4,yes
young adult,90,200000,4,no
fantasy,200,200000,4,yes
drama,90,200000,4,no
fantasy,100,200000,4,no
romance,200,200000,4,yes
romance,50,200000,4,yes
young adult,90,200000,4,no
drama,70,200000,3.5,no
young adult,90,300000,4.5,no
#N/A,90,200000,4,no
young adult,100,200000,4,yes
drama,100,200000,3.5,yes
young adult,90,200000,3.5,no
fantasy,80,200000,4.5,no
horror,2000,200000,4,yes
fantasy,40,200000,4.5,yes
young adult,100,300000,4,yes
young adult,70,300000,4,no
young adult,90,300000,4.5,no
romance,400,200000,4,yes
romance,70,200000,4,no
horror,400,200000,4,yes
#N/A,60,200000,3.5,yes
fantasy,100,300000,4,no
sci-fi,100,200000,4,no
romance,400,200000,4,yes
horror,10,200000,4,no
#N/A,2000,200000,4,no
mystery,80,200000,4,no
sci-fi,100,200000,4,yes
#N/A,60,200000,4,no
romance,80,200000,4,no
#N/A,100,200000,4,yes
romance,90,200000,4.5,yes
young adult,200,200000,3.5,yes
romance,100,200000,4,no
romance,100,200000,4,no
romance,1000,200000,4,no
#N/A,80,100000,3.5,no
young adult,80,200000,3.5,no
fantasy,200,200000,4,no
mystery,100,200000,4,no
young adult,70,200000,4.5,no
young adult,80,200000,4.5,no
romance,100,200000,4,no
romance,80,200000,4,no
fantasy,80,200000,4.5,no
young adult,80,200000,4,no
mystery,400,200000,4,no
young adult,90,200000,4,no
comedy,100,200000,4,no
drama,700,200000,4,no
fantasy,70,300000,4.5,no
fantasy,200,200000,4,yes
fantasy,200,200000,4,no
horror,200,200000,4,yes
sci-fi,200,200000,4,no
romance,70,200000,4,no
young adult,70,200000,4,no
young adult,80,200000,4,yes
drama,200,200000,4,no
drama,60,200000,4,no
romance,70,200000,4,no
sci-fi,200,200000,4,no
drama,100,200000,4.5,no
horror,100,200000,4,yes
sci-fi,80,200000,4,no
young adult,60,200000,4,yes
fantasy,200,200000,4.5,yes
mystery,200,200000,4,yes
mystery,1000,200000,4,no
fantasy,100,200000,4,no
#N/A,100,200000,4,no
young adult,80,200000,4,no
fantasy,80,200000,4,yes
romance,100,200000,4,yes
young adult,100,300000,4,yes
romance,100,200000,4,yes
fantasy,40,200000,4,no
romance,40,200000,4,no
drama,100,200000,4,yes
fantasy,100,200000,4,no
sci-fi,60,200000,4,no
drama,100,200000,4.5,no
fantasy,80,200000,4.5,no
drama,200,200000,4,yes
#N/A,30,200000,4,no
romance,100,200000,4.5,no
fantasy,1000,200000,4.5,yes
romance,50,200000,4,no
fantasy,40,200000,4.5,no
fantasy,10,200000,4,no
romance,80,200000,4,no
young adult,100,200000,4,yes
young adult,100,200000,4,no
romance,1000,200000,4,no
#N/A,200,200000,4.5,no
mystery,80,200000,3.5,no
#N/A,100,200000,4,no
young adult,10,200000,4,no
drama,200,200000,4,no
thriller,100,200000,4,no
young adult,600,200000,3.5,yes
#N/A,2000,200000,4,no
fantasy,40,200000,4,no
fantasy,90,200000,4,no
drama,50,200000,4,no
young adult,100,200000,4,no
comedy,80,200000,3.5,yes
crime,1000,200000,4.5,yes
young adult,70,200000,4,yes
sci-fi,100,200000,4,yes
horror,200,200000,4.5,yes
#N/A,700,100000,4,no
young adult,40,200000,4.5,no
young adult,70,200000,4,no
sci-fi,100,200000,4,no
#N/A,200,200000,4.5,no
mystery,100,200000,4,no
#N/A,70,100000,3.5,no
romance,200,200000,4,yes
young adult,1000,200000,4,yes
romance,1000,200000,4,yes
horror,100,200000,4,yes
young adult,100,200000,4,yes
mystery,100,200000,4,no
horror,40,200000,4.5,no
sci-fi,200,200000,4,yes
romance,60,200000,4.5,no
fantasy,60,200000,4,yes
young adult,90,100000,4,no
young adult,80,100000,4.5,yes
#N/A,60,200000,3.5,no
romance,90,200000,4,no
fantasy,70,200000,4,no
mystery,100,200000,4,no
horror,30,200000,4.5,yes
young adult,80,200000,4.5,no
mystery,1000,100000,4.5,yes
romance,80,200000,4,no
fantasy,80,100000,4,no
romance,50,200000,4,no
fantasy,1000,200000,4,yes
young adult,80,200000,4,no
fantasy,100,100000,4,no
mystery,100,100000,4,yes
sci-fi,100,200000,4,yes
young adult,60,200000,4,no
#N/A,20,100000,4,no
fantasy,80,200000,4,no
mystery,100,200000,4,yes
fantasy,100,200000,4,no
fantasy,60,200000,4,no
fantasy,2000,200000,3.5,yes
drama,800,200000,4,yes
fantasy,600,200000,3.5,yes
crime,70,100000,4,no
drama,100,100000,3.5,no
comedy,50,200000,4,no
fantasy,90,200000,4,no
fantasy,80,80000,4,no
#N/A,90,200000,4,no
mystery,80,200000,4,no
romance,50,200000,4.5,no
young adult,10,200000,4,yes
young adult,50,200000,4,yes
fantasy,300,200000,4,no
young adult,60,200000,4.5,no
young adult,100,200000,4,no
fantasy,400,200000,4.5,yes
#N/A,200,100000,4,no
sci-fi,1000,200000,4,yes
young adult,80,200000,4,yes
fantasy,60,200000,4.5,no
young adult,50,100000,4,no
sci-fi,100,100000,3.5,no
romance,90,100000,4,no
horror,100,200000,4,yes
romance,100,200000,4.5,no
drama,0,200000,4,yes
horror,100,200000,3.5,yes
young adult,100,200000,4,no
fantasy,90,200000,4,no
romance,900,200000,4,yes
romance,2000,200000,3.5,no
fantasy,80,200000,4,yes
fantasy,50,100000,4.5,no
fantasy,90,200000,4,no
young adult,30,200000,4,yes
fantasy,60,200000,4.5,no
romance,90,100000,3.5,no
drama,90,100000,4,no
fantasy,70,100000,4.5,no
young adult,100,200000,4,yes
romance,100,100000,4,yes
romance,90,100000,4,yes
sci-fi,100,200000,4,no
romance,200,100000,3.5,no
#N/A,80,100000,4,yes
sci-fi,100,100000,4,yes
comedy,1000,200000,4,no
fantasy,100,200000,4,yes
horror,200,200000,3.5,yes
fantasy,40,200000,4,no
#N/A,100,200000,4,no
fantasy,60,200000,4.5,no
#N/A,200,200000,4,no
young adult,70,200000,4,no
fantasy,70,100000,3.5,yes
horror,40,100000,4.5,no
fantasy,70,200000,4,no
drama,100,100000,4,no
thriller,100,100000,4,yes
romance,50,100000,4,no
drama,1000,200000,4,yes
young adult,70,200000,4,no
fantasy,600,100000,4.5,no
young adult,200,200000,4,yes
young adult,80,200000,4,yes
young adult,80,200000,3.5,no
thriller,100,100000,4,yes
fantasy,2000,100000,4,yes
fantasy,100,100000,4,yes
sci-fi,200,200000,4,no
young adult,80,200000,4,no
fantasy,0,200000,4,yes
fantasy,300,200000,4,no
fantasy,60,100000,4.5,no
young adult,50,100000,4,yes
comedy,20,100000,4,no
fantasy,300,100000,4,no
fantasy,10,200000,4.5,no
young adult,50,200000,4.5,no
horror,100,100000,3.5,yes
#N/A,30,100000,4.5,no
sci-fi,300,100000,4,no
fantasy,200,100000,4,yes
romance,100,100000,4,no
horror,900,100000,4,no
young adult,40,200000,4,no
mystery,70,100000,4,yes
crime,70,100000,3.5,no
mystery,2000,200000,4,no
#N/A,100,100000,4,no
fantasy,100,200000,4,yes
young adult,80,200000,4,no
romance,100,100000,4,yes
thriller,100,100000,4,yes
fantasy,70,200000,4,no
mystery,40,100000,4,no
fantasy,60,200000,4.5,yes
fairy-tales,40,100000,4.5,no
thriller,90,100000,4,yes
romance,200,100000,3.5,yes
#N/A,70,100000,4,no
fantasy,80,200000,4,no
young adult,80,200000,4,no
sci-fi,100,100000,4,yes
romance,90,100000,4,no
romance,200,100000,4,no
fantasy,10,200000,4.5,no
sci-fi,300,100000,4,no
drama,80,100000,3.5,no
young adult,800,100000,4,yes
sci-fi,100,100000,3.5,no
young adult,200,200000,4,no
romance,0,100000,4,no
young adult,80,200000,4,no
young adult,60,200000,4.5,no
young adult,70,200000,4,yes
fantasy,600,100000,3.5,yes
romance,40,100000,3.5,no
fantasy,100,100000,4,no
fantasy,100,100000,4,no
drama,1000,100000,4,yes
horror,800,100000,4,yes
fantasy,80,200000,4,no
sci-fi,200,100000,4,yes
drama,90,100000,3.5,no
young adult,60,100000,3.5,no
young adult,60,200000,4,no
crime,100,100000,3.5,no
drama,100,100000,4,no
#N/A,80,100000,4,no
thriller,80,100000,3.5,yes
young adult,50,100000,4,no
#N/A,80,100000,4,no
#N/A,80,100000,4,no
romance,300,100000,4,yes
horror,100,100000,4,no
fantasy,100,100000,4,no
young adult,40,200000,4,no
young adult,60,100000,4,no
fantasy,200,100000,4,no
thriller,100,100000,4,yes
mystery,900,100000,4,yes
mystery,400,100000,4,yes
romance,80,100000,4.5,no
romance,80,100000,4,no
horror,200,100000,4,yes
romance,80,100000,4,no
#N/A,70,100000,4.5,no
romance,80,100000,4,no
young adult,70,200000,4,yes
#N/A,700,90000,4,no
young adult,100,200000,4,no
fantasy,100,100000,4,yes
romance,100,100000,4,yes
fantasy,60,200000,4.5,no
young adult,60,100000,4,no
romance,90,100000,4,no
#N/A,40,100000,4,yes
crime,40,100000,4,no
romance,50,100000,3.5,no
#N/A,60,100000,3.5,no
horror,100,100000,4.5,no
romance,60,100000,4,no
sci-fi,100,100000,4,yes
romance,50,100000,3.5,no
mystery,100,100000,4,no
horror,100,100000,4,no
mystery,50,100000,4,no
romance,80,100000,4,yes
sci-fi,2000,100000,4,no
romance,60,100000,4,no
romance,600,100000,4,yes
comedy,200,90000,4,yes
horror,100,100000,4,no
romance,100,100000,4,no
horror,100,100000,3.5,no
sci-fi,2000,100000,4,no
young adult,70,100000,4,no
romance,200,100000,3.5,no
drama,200,100000,4,no
#N/A,60,100000,3.5,no
young adult,60,100000,4,no
romance,100,100000,4.5,no
young adult,60,100000,4.5,no
drama,1000,100000,4,no
drama,100,100000,3.5,no
romance,100,90000,4,no
young adult,10,100000,4.5,no
#N/A,200,100000,4,yes
#N/A,50,100000,4,no
fantasy,30,100000,4,yes
comedy,20,100000,4,no
fantasy,80,100000,4,no
crime,100,100000,4.5,no
fantasy,70,200000,4,no
fantasy,200,100000,4,yes
mystery,100,100000,4,yes
romance,200,100000,3.5,yes
fantasy,80,100000,4,no
sci-fi,100,100000,4,no
young adult,200,100000,3.5,yes
horror,0,100000,4,yes
young adult,90,100000,3.5,no
mystery,100,100000,4,yes
drama,100,100000,4.5,no
fantasy,70,100000,4.5,yes
sci-fi,100,100000,4,no
young adult,70,100000,4,no
fantasy,70,100000,4,yes
horror,100,100000,4.5,yes
young adult,10,100000,4.5,yes
romance,60,100000,3.5,no
sci-fi,100,80000,4,no
fantasy,50,100000,4.5,no
#N/A,200,100000,4,no
comedy,0,100000,4,no
fantasy,70,100000,4.5,no
young adult,100,100000,4,no
fantasy,70,100000,4,no
drama,60,100000,4.5,no
young adult,60,200000,4,no
sci-fi,100,100000,4,no
young adult,60,200000,4.5,yes
young adult,30,100000,4,no
#N/A,50,100000,4,no
fantasy,0,100000,4,no
young adult,60,200000,4,no
romance,60,100000,4.5,yes
comedy,50,100000,4,no
young adult,40,100000,4,no
sci-fi,60,100000,4.5,no
romance,70,100000,4,no
drama,100,100000,4.5,yes
drama,100,100000,4,no
romance,100,100000,4,no
#N/A,100,100000,4.5,yes
fantasy,70,100000,4.5,no
#N/A,60,100000,4,no
mystery,100,100000,4,yes
mystery,300,100000,4.5,no
drama,1000,100000,3.5,no
#N/A,60,100000,4,no
#N/A,800,100000,4,no
drama,700,100000,4,yes
young adult,50,200000,4.5,no
#N/A,70,100000,4,no
#N/A,10,100000,4,no
romance,40,100000,3.5,no
romance,1000,100000,4,yes
drama,80,100000,4.5,no
comedy,20,100000,4.5,no
young adult,70,100000,4,no
romance,500,100000,3.5,no
young adult,60,100000,4,no
fantasy,80,100000,4,no
thriller,90,100000,4,yes
young adult,20,100000,4.5,no
comedy,40,100000,4,no
crime,100,60000,4,yes
sci-fi,100,100000,4,no
#N/A,80,100000,4,no
mystery,10,100000,4,no
fantasy,300,100000,4.5,no
young adult,80,100000,4,yes
horror,100,100000,4,no
comedy,100,100000,4,yes
romance,60,100000,4,no
#N/A,40,100000,4,no
fantasy,50,100000,4,no
thriller,100,100000,4,yes
young adult,300,100000,4,no
comedy,70,100000,4,no
fantasy,60,100000,3.5,no
fantasy,20,100000,4,yes
drama,1000,100000,4,no
young adult,60,100000,4,no
fantasy,10,100000,4,yes
sci-fi,90,100000,3.5,yes
young adult,70,100000,4,yes
sci-fi,40,100000,4,no
romance,20,100000,4.5,no
mystery,80,100000,4,no
romance,50,100000,4,no
romance,50,100000,3.5,no
young adult,60,100000,4,no
thriller,100,100000,4,yes
#N/A,0,100000,4,no
fantasy,80,100000,4.5,yes
horror,100,100000,3.5,yes
#N/A,900,100000,4,no
romance,200,100000,4,yes
romance,90,100000,4,no
mystery,100,90000,3.5,no
mystery,80,100000,4,no
drama,500,100000,3.5,no
romance,50,100000,4,no
fantasy,1000,100000,4,yes
young adult,60,100000,4,no
young adult,40,100000,4,yes
romance,600,100000,4,yes
young adult,50,100000,4,yes
young adult,40,100000,4,no
mystery,100,80000,4,no
mystery,100,100000,4,yes
young adult,0,100000,4,no
fantasy,50,100000,4.5,no
drama,90,90000,4,no
young adult,70,100000,4,yes
sci-fi,80,100000,4,no
drama,1000,100000,4,yes
romance,100,100000,4.5,no
romance,50,100000,4.5,no
fantasy,50,200000,4.5,yes
romance,30,80000,4,no
#N/A,40,100000,4,no
young adult,30,100000,4,no
sci-fi,50,100000,4.5,yes
mystery,50,100000,4,yes
drama,80,100000,4,no
young adult,70,100000,3.5,yes
mystery,90,100000,4,no
horror,100,100000,4,yes
#N/A,80,100000,4.5,no
young adult,50,100000,4,yes
drama,90,50000,4,no
drama,900,100000,4,no
sci-fi,70,100000,4,no
mystery,40,100000,4,yes
sci-fi,80,100000,4.5,no
fantasy,50,100000,4,no
young adult,50,100000,4,no
romance,60,100000,4,no
fantasy,30,70000,5,no
fantasy,100,100000,4.5,no
romance,80,100000,4.5,no
horror,100,100000,4,yes
horror,100,100000,4,yes
romance,100,100000,4,no
young adult,200,100000,4,no
young adult,100,100000,3.5,no
#N/A,40,100000,4.5,yes
fantasy,60,100000,4,no
horror,400,100000,4,no
young adult,100,100000,4,yes
mystery,40,90000,4,no
fantasy,60,100000,3.5,no
fantasy,60,100000,4,yes
fantasy,200,100000,4,yes
drama,60,100000,4,yes
#N/A,500,100000,3.5,no
young adult,50,100000,4,no
#N/A,100,100000,4,no
thriller,100,90000,4,yes
mystery,100,100000,4,yes
young adult,30,70000,4,no
drama,40,60000,4,yes
horror,70,100000,4,no
#N/A,100,100000,3.5,no
fantasy,30,100000,4,no
romance,60,100000,4.5,no
sci-fi,100,100000,4,no
fantasy,60,100000,4,no
#N/A,70,90000,4,no
young adult,40,90000,4.5,no
fantasy,100,100000,4.5,no
#N/A,60,90000,4,no
thriller,100,100000,4,yes
sci-fi,200,90000,4,no
horror,100,100000,4,yes
romance,800,100000,4,yes
#N/A,100,100000,4,no
drama,20,100000,4,no
mystery,100,100000,4,no
sci-fi,500,100000,3.5,no
romance,50,100000,4,no
fantasy,30,100000,4,yes
romance,70,100000,4,no
romance,70,100000,4,no
drama,70,100000,3.5,no
fantasy,70,100000,4,no
sci-fi,60,100000,4,no
thriller,100,100000,3.5,yes
mystery,80,100000,4,no
#N/A,60,100000,4,no
sci-fi,100,90000,4,yes
horror,100,100000,4,no
#N/A,70,90000,3.5,yes
fantasy,80,100000,4,no
fantasy,100,100000,4,no
drama,100,100000,4,no
#N/A,90,100000,4,no
young adult,70,100000,4,yes
mystery,100,100000,4,no
young adult,90,60000,4,no
romance,80,90000,3.5,no
romance,100,90000,4,no
mystery,60,80000,3.5,no
young adult,20,100000,4,no
fantasy,60,100000,4,no
horror,30,100000,4,yes
drama,90,90000,4,yes
comedy,70,90000,3.5,no
#N/A,60,90000,4,no
fantasy,70,100000,4,no
drama,200,100000,4,no
young adult,1000,100000,4,yes
horror,100,100000,4,yes
young adult,80,90000,4.5,no
romance,60,100000,4.5,no
mystery,50,90000,4,no
romance,90,90000,4,no
drama,100,100000,4,yes
comedy,30,100000,4,no
comedy,40,80000,4,no
horror,100,90000,4,yes
young adult,70,100000,4,no
young adult,70,100000,3.5,no
fantasy,70,70000,4,no
drama,50,90000,4,no
fantasy,60,90000,4,no
young adult,70,100000,4,no
thriller,60,50000,4,no
romance,80,100000,4,no
fantasy,100,90000,4.5,yes
young adult,10,90000,4,no
romance,90,90000,4,no
comedy,100,90000,4.5,no
fantasy,80,100000,4,no
young adult,40,90000,4.5,no
#N/A,800,90000,3.5,no
fantasy,0,90000,4.5,yes
romance,700,100000,4,no
romance,30,100000,4.5,no
thriller,100,90000,4,no
fantasy,70,90000,4.5,yes
romance,40,90000,4,no
mystery,100,90000,4,no
thriller,100,90000,3.5,no
#N/A,60,70000,3.5,yes
#N/A,80,80000,3.5,no
fantasy,60,80000,4,no
fantasy,80,100000,4,no
sci-fi,1000,90000,4,yes
#N/A,70,90000,3.5,no
sci-fi,200,80000,3.5,no
crime,50,90000,4,no
fantasy,0,90000,4.5,no
fantasy,900,90000,4,no
