author,rounded_rating,rounded_ratings_count,adapted
Khaled Hosseini,4,800000,no
Stephen Chbosky,4,900000,yes
Veronica Roth,4,800000,no
Orson Scott Card,4,800000,no
"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",4,800000,yes
Stephen King,4,800000,no
Stephenie Meyer,4,700000,yes
John Green,4,800000,no
Helen Fielding,4,700000,yes
"Jane Austen, Tony Tanner, Ros Ballaster",4,700000,yes
"Louis Sachar, Louis Sachar",4,700000,yes
Lauren Weisberger,4,700000,yes
"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",4,700000,no
"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",4,700000,no
Jeannette Walls,4,600000,yes
Jon Krakauer,4,600000,yes
"Charles Dickens, Richard Maxwell, Hablot Knight Browne",4,600000,no
Michael Crichton,4,400000,yes
Shel Silverstein,4,700000,no
John Grisham,4,600000,no
"Elie Wiesel, Marion Wiesel",4,700000,no
John Green,4,500000,no
William Goldman,4,600000,yes
S.E. Hinton,4,700000,yes
James Dashner,4,700000,no
"Steven D. Levitt, Stephen J. Dubner",4,500000,no
Frances Hodgson Burnett,4,600000,yes
"Gabriel García Márquez, Gregory Rabassa",4,500000,no
"Oscar Wilde, Jeffrey Eugenides",4,600000,yes
E.L. James,4,400000,yes
"Bram Stoker, Nina Auerbach, David J. Skal",4,600000,yes
"Stieg Larsson, Reg Keeland",4,600000,no
E.L. James,4,600000,yes
Barbara Kingsolver,4,500000,no
David Sedaris,4,500000,no
Maurice Sendak,4,600000,yes
"Alexandre Dumas, Robin Buss",4,600000,yes
Cormac McCarthy,4,500000,no
Veronica Roth,4,500000,yes
Tina Fey,4,500000,no
Nicholas Sparks,4,500000,yes
Sophie Kinsella,4,500000,yes
"Victor Hugo, Lee Fahnestock, Norman MacAfee",4,500000,yes
George R.R. Martin,4,500000,no
Kim Edwards,4,500000,no
Jojo Moyes,4,600000,no
Joseph Heller,4,600000,no
"Mitch Albom, Saulius Dagys",4,600000,no
Jeffrey Eugenides,4,500000,no
"Mark Twain, Guy Cardwell, John Seelye",4,600000,no
Madeleine L'Engle,4,600000,no
Amy Tan,4,500000,yes
Margaret Atwood,4,600000,yes
Ann Brashares,4,500000,yes
"Vladimir Nabokov, Craig Raine",4,500000,no
"Gregory Maguire, Douglas Smith",4,500000,no
John Grisham,4,500000,yes
Emma Donoghue,4,500000,no
"William Shakespeare, Richard Andrews, Rex Gibson",4,500000,yes
Frank Herbert,4,500000,no
Malcolm Gladwell,4,500000,no
Walter Isaacson,4,600000,no
Ken Kesey,4,500000,yes
Ernest Hemingway,4,500000,no
John Steinbeck,4,300000,no
Mitch Albom,4,400000,no
L.M. Montgomery,4,500000,yes
Cassandra Clare,4,600000,no
George R.R. Martin,5,500000,no
Rebecca Wells,4,500000,yes
Diana Gabaldon,4,500000,no
"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",3,500000,no
Ransom Riggs,4,600000,no
"Stieg Larsson, Reg Keeland",4,400000,no
Andy Weir,4,400000,no
Ken Follett,4,500000,no
Anthony Doerr,4,500000,no
Laura Hillenbrand,4,500000,no
Dan Brown,4,500000,no
Donna Tartt,4,400000,no
Jay Asher,4,500000,no
Tracy Chevalier,4,500000,yes
Gayle Forman,4,500000,no
Anita Diamant,4,400000,no
Rick Riordan,4,500000,no
Nicholas Sparks,4,400000,no
Cassandra Clare,4,500000,no
William Shakespeare,4,500000,no
J.R.R. Tolkien,4,500000,yes
Emily Giffin,4,400000,yes
"Dr. Seuss, לאה נאור",4,500000,no
"Roald Dahl, Quentin Blake",4,500000,yes
Rick Riordan,4,500000,no
Charles Dickens,4,500000,yes
J.R.R. Tolkien,5,500000,yes
"Albert Camus, Matthew    Ward",4,400000,no
Rick Riordan,4,300000,no
Rainbow Rowell,4,500000,no
George R.R. Martin,4,400000,no
Ally Condie,4,500000,no
Neil Gaiman,4,400000,no
"Stephen King, Bernie Wrightson",4,400000,yes
Nicholas Sparks,4,400000,no
Dan Brown,4,400000,no
"Jane Austen, Fiona Stafford",4,500000,yes
"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",4,300000,no
Anthony Burgess,4,400000,yes
William Paul Young,4,400000,no
Rick Riordan,5,400000,no
Stephen King,4,300000,yes
"Fyodor Dostoyevsky, David McDuff",4,400000,no
Sylvia Plath,4,400000,no
Frank McCourt,4,400000,no
"Hermann Hesse, Hilda Rosner",4,400000,no
Truman Capote,4,400000,no
"Kami Garcia, Margaret Stohl",4,400000,yes
Cassandra Clare,4,500000,no
"Roald Dahl, Quentin Blake",4,400000,yes
Erin Morgenstern,4,400000,no
Philippa Gregory,4,400000,yes
Scott Westerfeld,4,400000,no
George R.R. Martin,4,400000,no
J.R.R. Tolkien,4,400000,yes
Cheryl Strayed,4,400000,no
"Alan Moore, Dave Gibbons, John Higgins",4,400000,yes
Patrick Rothfuss,5,400000,no
Malcolm Gladwell,4,400000,no
"Herman Melville, Andrew Delbanco, Tom Quirk",3,400000,yes
"Mary Ann Shaffer, Annie Barrows",4,400000,yes
Chuck Palahniuk,4,400000,yes
Charlaine Harris,4,400000,no
Alice Walker,4,400000,yes
John Grogan,4,400000,yes
Agatha Christie,4,400000,no
Dan Brown,4,400000,yes
Becca Fitzpatrick,4,400000,no
Jamie McGuire,4,400000,no
Charles Dickens,4,400000,yes
Anne Rice,4,400000,yes
Kiera Cass,4,500000,yes
Janet Evanovich,4,400000,yes
Rebecca Skloot,4,400000,no
Thomas Harris,4,400000,yes
Richelle Mead,4,200000,no
Malcolm Gladwell,4,300000,no
Ian McEwan,4,300000,yes
"Franz Kafka, Stanley Corngold",4,400000,no
Rick Riordan,4,400000,no
Ernest Cline,4,300000,no
Garth Stein,4,300000,no
"Erik Larson, Tony Goldwyn",4,300000,no
Sylvia Day,4,200000,no
"C.S. Lewis, Pauline Baynes",4,400000,yes
Mark Cotta Vaz,4,300000,no
Dave Pelzer,4,300000,no
Robert Ludlum,4,300000,yes
Eoin Colfer,4,400000,no
Lauren Kate,4,400000,no
John Steinbeck,4,300000,no
Gillian Flynn,4,300000,no
John Grisham,4,300000,no
"Emma McLaughlin, Nicola Kraus",3,300000,yes
"Lewis Carroll, John Tenniel, Martin Gardner",4,300000,yes
"Jane Austen, James Kinsley, Deidre Shauna Lynch",4,400000,no
Tatiana de Rosnay,4,300000,no
Stephen King,4,300000,yes
"Gabriel García Márquez, Edith Grossman",4,300000,no
Laurie Halse Anderson,4,400000,yes
Liane Moriarty,4,200000,no
Jon Krakauer,4,300000,no
Stephen King,4,400000,yes
Augusten Burroughs,4,300000,yes
Max Brooks,4,300000,yes
Dan Brown,4,300000,no
Lois Lowry,4,300000,no
James Patterson,4,300000,yes
Stephen King,4,300000,yes
Gillian Flynn,4,200000,no
Katherine Paterson,4,300000,yes
"P.C. Cast, Kristin Cast",4,400000,no
Stephen R. Covey,4,300000,no
"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",4,300000,yes
Jonathan Safran Foer,4,300000,no
R.J. Palacio,4,200000,no
Dr. Seuss,4,300000,yes
Marissa Meyer,4,400000,no
"Robert Galbraith, J.K. Rowling",4,300000,no
Maggie Stiefvater,4,400000,no
"Ayn Rand, Leonard Peikoff",4,300000,no
"Greg Mortenson, David Oliver Relin",4,300000,no
"Jane Carruth, Lewis Carroll, Rene Cloke",4,300000,yes
"Carlos Ruiz Zafón, Lucia Graves",4,300000,no
James Dashner,4,300000,no
Dale Carnegie,4,300000,no
Frances Mayes,4,300000,yes
Liane Moriarty,4,300000,no
Gail Carson Levine,4,300000,no
Ernest Hemingway,4,300000,no
Betty  Smith,4,300000,no
James Patterson,4,300000,yes
Kristin Hannah,5,300000,no
Kazuo Ishiguro,4,300000,no
Cecelia Ahern,4,300000,yes
"Daphne du Maurier, Sally Beauman",4,200000,yes
Daniel Keyes,4,300000,no
"Laura Esquivel, Thomas  Christensen, Carol Christensen",4,300000,no
Lisa See,4,300000,no
"Mario Puzo, Robert Thompson, Peter Bart",4,300000,yes
John Green,4,300000,no
Isaac Asimov,4,300000,no
Neil Gaiman,4,300000,no
Shel Silverstein,4,300000,no
"John Tiffany, Jack Thorne, J.K. Rowling",4,300000,no
Lauren Oliver,4,300000,no
John Grisham,4,300000,no
Neil Gaiman,4,300000,yes
"Terry Pratchett, Neil Gaiman",4,300000,no
Jack Kerouac,4,200000,no
Graeme Simsion,4,300000,no
Nicholas Sparks,4,300000,no
"Ayn Rand, Leonard Peikoff",4,200000,no
Tom Clancy,4,300000,yes
Richard Adams,4,300000,yes
Mindy Kaling,4,300000,no
Abraham Verghese,4,300000,no
"C.S. Lewis, Pauline Baynes",4,300000,yes
Robert Louis Stevenson,4,300000,yes
Rick Riordan,4,300000,no
Stephen King,4,300000,no
Eric Carle,4,300000,no
Kurt Vonnegut Jr.,4,200000,no
"H.G. Wells, Greg Bear, Carlo Pagetti",4,300000,no
"Todd Burpo, Lynn Vincent",4,200000,no
John Boyne,4,300000,yes
Joseph Conrad,3,300000,no
Nicholas Sparks,4,300000,no
Rhonda Byrne,4,200000,no
Wally Lamb,4,200000,no
Stephen King,4,300000,yes
Wally Lamb,4,300000,no
Patrick Rothfuss,5,200000,no
Sophie Kinsella,4,300000,no
Cassandra Clare,4,300000,no
Jennifer Weiner,4,200000,no
Colleen McCullough,4,300000,no
"Neil Gaiman, Dave McKean",4,300000,no
M.L. Stedman,4,200000,no
"Cornelia Funke, Anthea Bell",4,300000,yes
"Spencer Johnson, Kenneth H. Blanchard",4,200000,no
Bill Bryson,4,300000,no
Maya Angelou,4,300000,no
Christina Baker Kline,4,200000,no
Cassandra Clare,4,300000,no
Maria Semple,4,200000,yes
Wilson Rawls,4,300000,no
Neil Gaiman,4,300000,no
"Milan Kundera, Michael Henry Heim",4,200000,no
Rainbow Rowell,4,300000,no
John Irving,4,200000,no
Janet Fitch,4,200000,yes
Marie Lu,4,300000,no
Jodi Picoult,4,200000,no
"Randy Pausch, Jeffrey Zaslow",4,200000,no
Robert Jordan,4,300000,no
Jodi Picoult,4,200000,no
C.S. Lewis,4,300000,no
Lisa Genova,4,200000,no
Sylvia Day,4,300000,no
"Roald Dahl, Quentin Blake",4,300000,yes
James Patterson,4,200000,no
Douglas Adams,4,200000,no
David Nicholls,4,200000,no
"Margaret Wise Brown, Clement Hurd",4,200000,no
Pittacus Lore,4,300000,yes
"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",4,200000,no
J.K. Rowling,3,200000,no
John Grisham,4,200000,yes
David Sedaris,4,200000,no
Christopher Paolini,4,300000,no
"L. Frank Baum, W.W. Denslow",4,200000,yes
C.S. Lewis,4,300000,yes
E. Lockhart,4,300000,no
Stephen King,4,200000,no
"Hunter S. Thompson, Ralph Steadman",4,200000,no
Cassandra Clare,4,300000,no
Amy Poehler,4,300000,no
William Shakespeare,4,200000,no
Toni Morrison,4,200000,no
Kristin Cashore,4,300000,yes
"Lemony Snicket, Brett Helquist",4,300000,yes
"Erich Maria Remarque, A.W. Wheen",4,200000,no
Dr. Seuss,4,300000,no
Khaled Hosseini,4,200000,no
"Philip K. Dick, Roger Zelazny",4,200000,yes
"Charles Dickens, George Cruikshank, Philip Horne",4,200000,yes
C.S. Lewis,4,100000,no
Stephanie Perkins,4,300000,no
Dr. Seuss,4,300000,yes
"Alan Moore, David   Lloyd",4,200000,yes
David McCullough,4,200000,no
Dean Koontz,4,200000,no
Philip Pullman,4,200000,no
Jerry Spinelli,4,200000,yes
Rick Riordan,4,200000,no
Robert A. Heinlein,4,200000,no
David Sedaris,4,200000,no
"Roald Dahl, Quentin Blake",4,200000,no
Bill Bryson,4,200000,no
Jack London,4,200000,no
James Dashner,4,200000,no
Neil Gaiman,4,200000,yes
Jhumpa Lahiri,4,200000,no
Deborah Harkness,4,200000,no
"Haruki Murakami, Jay Rubin",4,200000,no
Billie Letts,4,200000,yes
"John Green, David Levithan",4,200000,no
James Frey,4,200000,no
Richelle Mead,4,300000,no
Susan Cain,4,200000,no
Scott O'Dell,4,200000,no
"Arthur Miller, Christopher Bigsby",4,200000,yes
Gary Paulsen,4,200000,no
Brandon Sanderson,4,200000,no
"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",4,200000,no
Dr. Seuss,4,200000,no
Jeff Kinney,4,300000,no
Sarah J. Maas,4,300000,no
Richelle Mead,4,300000,no
Ernest Hemingway,4,200000,no
Jamie Ford,4,200000,no
"Patrick Süskind, John E. Woods",4,200000,yes
Eric Schlosser,4,200000,no
J.K. Rowling,4,300000,no
William Gibson,4,200000,no
Ernest Hemingway,4,200000,no
Edgar Allan Poe,4,200000,no
"Sun Tzu, Thomas Cleary",4,200000,no
William Landay,4,200000,no
Kurt Vonnegut Jr.,4,200000,no
Betty Edwards,4,200000,no
Ann Patchett,4,200000,no
Jared Diamond,4,200000,no
Fannie Flagg,4,200000,yes
Chinua Achebe,4,200000,no
Sophie Kinsella,4,200000,no
Gary Chapman,4,200000,no
Alexandre Dumas,4,200000,no
Chris Cleave,4,100000,no
Alyson Noel,4,200000,no
"Roald Dahl, Quentin Blake",4,200000,no
Diane Setterfield,4,200000,no
Richelle Mead,4,200000,no
Richelle Mead,4,200000,no
Nicholas Sparks,4,200000,no
Paula McLain,4,200000,no
J.K. Rowling,5,200000,no
Kiera Cass,4,200000,no
"Umberto Eco, William Weaver, Seán Barrett",4,200000,no
"Beatrice Sparks, Anonymous",4,200000,no
"John Kennedy Toole, Walker Percy",4,200000,no
Oscar Wilde,4,200000,no
Rick Riordan,4,300000,no
Terry Pratchett,4,200000,no
"Haruki Murakami, Philip Gabriel",4,200000,no
Thomas Harris,4,200000,yes
Isaac Asimov,4,200000,no
J.R. Ward,4,200000,no
Becca Fitzpatrick,4,200000,no
Lauren Oliver,4,200000,yes
Arundhati Roy,4,200000,no
Sue Monk Kidd,4,200000,no
Liane Moriarty,4,200000,no
"Stephen Hawking, Cao Chi, Phạm Văn Thiều",4,200000,no
Ken Follett,4,200000,no
Stephen King,4,200000,no
Neal Stephenson,4,200000,no
Sarah Dessen,4,200000,no
"A.A. Milne, Ernest H. Shepard",4,200000,yes
S.J. Watson,4,200000,no
Arthur Conan Doyle,4,200000,no
Christopher Paolini,4,200000,no
Rick Warren,4,200000,no
"P.C. Cast, Kristin Cast",4,200000,no
Jim Butcher,4,200000,no
"Jane Austen, Alfred MacAdam",4,200000,no
Rick Yancey,4,300000,no
Charles Frazier,4,200000,yes
"Laura Joffe Numeroff, Felicia Bond",4,200000,no
Emily Giffin,4,200000,no
Tennessee Williams,4,200000,no
Elizabeth Kostova,4,200000,no
Emily St. John Mandel,4,200000,no
"Fredrik Backman, Henning Koch",4,200000,no
Cassandra Clare,5,200000,no
Pearl S. Buck,4,200000,yes
John Berger,4,200000,no
Diana Gabaldon,4,200000,no
Anonymous,4,200000,no
Jennifer Weiner,4,200000,no
"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",4,200000,no
Junot Díaz,4,200000,no
Zora Neale Hurston,4,200000,no
"Newt Scamander, J.K. Rowling, Albus Dumbledore",4,200000,no
"Malala Yousafzai, Christina Lamb",4,200000,no
"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",4,200000,no
Viktor E. Frankl,4,200000,no
Tana French,4,200000,no
Richard Dawkins,4,200000,no
Gayle Forman,4,200000,no
John Irving,4,200000,no
Lee Child,4,200000,no
"Daniel Defoe, Gerald McCann, Virginia Woolf",4,200000,yes
"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",4,200000,no
Philip Pullman,4,200000,no
Terry Goodkind,4,200000,no
Kathleen Grissom,4,200000,no
J.D. Salinger,4,200000,no
Chuck Palahniuk,4,200000,no
"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",4,200000,no
Jeanne DuPrau,4,200000,yes
Michael Crichton,4,200000,no
Stephen King,4,200000,yes
Kahlil Gibran,4,100000,no
Art Spiegelman,4,200000,no
"P.C. Cast, Kristin Cast",4,200000,no
Orson Scott Card,4,200000,no
C.S. Lewis,4,200000,no
Donna Tartt,4,200000,no
Dave Eggers,4,100000,no
Jean M. Auel,4,200000,yes
Anna Sewell,4,200000,no
"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",4,200000,no
Bret Easton Ellis,4,200000,yes
Meg Cabot,4,200000,yes
Alexander McCall Smith,4,200000,no
"Robert Kirkman, Tony Moore",4,200000,no
Arthur C. Clarke,4,200000,yes
Francine Rivers,4,200000,no
"Tim LaHaye, Jerry B. Jenkins",4,200000,yes
Kiera Cass,4,100000,no
Suzanne Collins,4,100000,yes
Barbara Ehrenreich,4,200000,no
Sophie Kinsella,4,200000,no
Robert Jordan,4,200000,no
Patricia Cornwell,4,200000,no
Edgar Allan Poe,4,200000,yes
"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",4,200000,no
Arthur Conan Doyle,4,100000,no
Pat Conroy,4,200000,no
Michael Chabon,4,100000,no
Simone Elkeles,4,200000,no
"J.M. Barrie, Michael Hague",4,200000,yes
Scott Westerfeld,4,200000,no
"Haruki Murakami, Jay Rubin",4,100000,no
Michael Connelly,4,100000,yes
David Mitchell,4,200000,no
Tim O'Brien,4,200000,no
Banksy,4,100000,no
Lauren Oliver,4,200000,no
Jeff Lindsay,4,200000,yes
Charlaine Harris,4,200000,no
Robert Jordan,4,200000,no
"Jonathan Swift, Robert DeMaria Jr.",4,200000,yes
"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",4,200000,no
"Unknown, Seamus Heaney",3,200000,no
"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",4,100000,no
Harper Lee,3,100000,no
David Sedaris,4,200000,no
Laini Taylor,4,200000,no
Victoria Aveyard,4,80000,no
Charles Duhigg,4,200000,no
John Berendt,4,200000,no
Colleen Hoover,4,200000,no
"Frances Hodgson Burnett, Nancy Bond",4,200000,yes
Sarah Dessen,4,200000,no
C.S. Lewis,4,200000,no
Richelle Mead,4,200000,no
"Laura Ingalls Wilder, Garth Williams",4,200000,no
"Margery Williams Bianco, William   Nicholson",4,200000,no
Robert M. Pirsig,4,100000,no
"H.G. Wells, Arthur C. Clarke",4,200000,yes
Sara Shepard,4,200000,no
Don Freeman,4,200000,no
Michael Pollan,4,100000,no
Kate Atkinson,4,100000,no
Nicholas Sparks,4,100000,no
Stephen King,4,200000,no
Diana Gabaldon,4,200000,no
"Kenneth Branagh, William Shakespeare",4,200000,no
Stephen King,4,200000,no
Jeffrey Eugenides,4,200000,no
Charlaine Harris,4,200000,no
"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",4,200000,no
"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",4,200000,no
"Norton Juster, Jules Feiffer",4,200000,no
Brandon Sanderson,5,100000,no
Charlaine Harris,4,200000,no
Ned Vizzini,4,200000,no
Brandon Sanderson,4,200000,no
Jojo Moyes,4,100000,no
Vanessa Diffenbaugh,4,100000,no
"Frank Miller, Klaus Janson, Lynn Varley",4,100000,no
James Patterson,4,200000,no
Nick Hornby,4,100000,yes
Nicholas Sparks,4,100000,no
Margaret Atwood,4,200000,no
John Gray,4,100000,no
Anthony Bourdain,4,100000,no
Michael Crichton,4,100000,yes
Voltaire,4,200000,no
Natalie Babbitt,4,200000,yes
"Stephen King, Marie Milpois",4,200000,no
P.D. Eastman,4,200000,no
E.H. Gombrich,4,200000,no
Marissa Meyer,4,200000,no
Robert T. Kiyosaki,4,200000,no
Becca Fitzpatrick,4,200000,no
Lev Grossman,3,100000,no
"Tsugumi Ohba, Takeshi Obata",4,100000,no
Libba Bray,4,200000,no
Jonathan Safran Foer,4,100000,no
Robert Ludlum,4,100000,yes
Tammara Webber,4,100000,no
"Charles Dickens, Jeremy Tambling",4,200000,no
"Sherman Alexie, Ellen Forney",4,200000,no
"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",4,100000,no
Ursula K. Le Guin,4,200000,no
"Kate DiCamillo, Chris Sheban",4,200000,yes
John Knowles,4,200000,no
John Grisham,4,100000,no
"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",4,100000,no
Robin Hobb,4,100000,no
Douglas Adams,4,200000,no
Lauren Kate,4,200000,no
Beatrix Potter,4,200000,yes
"C.S. Lewis, Pauline Baynes",4,200000,no
Brandon Sanderson,4,100000,no
Susanna Kaysen,4,100000,yes
Chelsea Handler,4,100000,no
"Richard Bach, Russell Munson",4,100000,no
Cassandra Clare,4,200000,no
"Robert Munsch, Sheila McGraw",4,200000,no
Stephen King,4,100000,no
Daniel James Brown,4,100000,no
"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",4,100000,no
Stephen King,4,100000,no
Kate Morton,4,100000,no
"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",4,100000,no
Sarah Dessen,4,200000,no
Jodi Picoult,4,100000,no
Piper Kerman,4,100000,no
"Arthur Conan Doyle, Anne Perry",4,200000,no
Daniel Kahneman,4,100000,no
Marion Zimmer Bradley,4,200000,yes
Judy Blume,4,200000,no
Nicholas Sparks,4,100000,no
Stephen King,4,100000,yes
Charlaine Harris,4,200000,no
Chris Bohjalian,4,100000,no
Chris Van Allsburg,4,200000,yes
"Jon Scieszka, Lane Smith",4,100000,no
Tom Clancy,4,100000,yes
"Paulo Coelho, Margaret Jull Costa",4,100000,no
"Sheryl Sandberg, Nell Scovell",4,100000,no
Charlaine Harris,4,200000,no
Tahereh Mafi,4,200000,no
Robert A. Heinlein,4,100000,yes
Sophie Kinsella,4,100000,no
"Jostein Gaarder, Paulette Møller",4,100000,no
Mark Cotta Vaz,4,200000,no
Ray Bradbury,4,100000,no
Jennifer Egan,4,100000,no
"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",4,100000,no
Michael Crichton,4,100000,no
C.S. Lewis,4,200000,no
Ken Follett,4,100000,no
"P.C. Cast, Kristin Cast",4,200000,no
Colleen Hoover,4,200000,no
Alex Flinn,4,200000,no
"Geoffrey Chaucer, Nevill Coghill",3,100000,no
Emily Giffin,4,100000,no
Christopher Paolini,4,100000,no
"Haruki Murakami, Jay Rubin, Philip Gabriel",4,100000,no
Harriet Beecher Stowe,4,100000,no
"Gaston Leroux, Alexander Teixeira de Mattos",4,100000,yes
Charlaine Harris,4,200000,no
"José Saramago, Giovanni Pontiero",4,100000,no
Jonathan Franzen,4,100000,no
Ally Condie,4,100000,no
Ally Carter,4,200000,no
Aravind Adiga,4,100000,no
Jonathan Franzen,4,100000,no
Barack Obama,4,100000,no
Michael Crichton,4,100000,no
"Judith Viorst, Ray Cruz",4,100000,no
Jhumpa Lahiri,4,100000,no
Howard Zinn,4,100000,no
Truman Capote,4,100000,yes
Justin Cronin,4,100000,no
Neil Gaiman,4,100000,no
Sarah Dessen,4,200000,no
Celeste Ng,4,100000,no
"Isabel Allende, Magda Bogin",4,100000,no
Stephen King,4,100000,no
"Agatha Christie, Ροζίτα Σώκου",4,100000,no
Agatha Christie,4,100000,yes
Chimamanda Ngozi Adichie,4,100000,no
James Patterson,4,100000,no
Stephen King,4,100000,no
Sylvia Day,4,100000,no
Christopher McDougall,4,100000,no
Gabrielle Zevin,4,100000,no
Ludwig Bemelmans,4,200000,no
Napoleon Hill,4,90000,no
"Laura Ingalls Wilder, Garth Williams",4,200000,no
Susanna Clarke,4,100000,no
Nicholas Sparks,4,100000,no
Rick Riordan,5,200000,no
Michael  Grant,4,100000,no
Nicholas Sparks,4,100000,no
David McCullough,4,100000,no
Jon Krakauer,4,100000,no
Jess Walter,4,100000,no
Barack Obama,4,100000,no
Stephen King,4,100000,no
Kristin Hannah,4,100000,no
Michael Crichton,4,100000,yes
Emily Giffin,4,100000,no
"Robert Galbraith, J.K. Rowling",4,100000,no
Anne Rice,4,100000,no
Ann Patchett,4,100000,no
Matthew Quick,4,100000,no
"Jules Verne, Anthony Bonner",4,100000,no
Philippa Gregory,4,100000,no
"Virginia Woolf, Maureen Howard",4,100000,no
"Jonas Jonasson, Rod Bradbury",4,90000,no
Stephen King,4,100000,no
John Irving,4,100000,no
"Richard Bachman, Stephen King",4,100000,no
"Jules Verne, Michael Glencross, Brian W. Aldiss",4,100000,no
Sharon Creech,4,100000,no
"Paulo Coelho, Margaret Jull Costa",4,100000,no
J.D. Salinger,4,100000,no
Julie Powell,4,100000,no
Neal Shusterman,4,100000,no
Diana Gabaldon,4,100000,no
Marie Lu,4,100000,no
William Shakespeare,4,100000,no
Arthur Miller,3,100000,no
Nicholas Sparks,4,90000,no
Kate Egan,5,100000,no
William Faulkner,4,100000,no
Eckhart Tolle,4,100000,no
Tite Kubo,4,100000,yes
Allie Brosh,4,100000,no
Robert Jordan,4,100000,no
Gregory David Roberts,4,100000,no
Charlaine Harris,4,200000,no
"Stephen King, Ned Dameron",4,100000,no
Jeffery Deaver,4,100000,no
