book_id,title,books_count,isbn,authors,original_title,,language_code,average_rating,ratings_count,Class
129,One Flew Over the Cuckoo's Nest,275,451163966,Ken Kesey,One Flew Over the Cuckoo's Nest,,eng,4.18,491642,yes
130,The Old Man and the Sea,666,684830493,Ernest Hemingway,The Old Man and the Sea,,eng,3.73,520630,no
131,The Grapes of Wrath,381,142000663,John Steinbeck,The Grapes of Wrath,,eng,3.92,322321,no
132,The Five People You Meet in Heaven,123,1401308589,Mitch Albom,The Five People You Meet in Heaven,,,3.9,449501,no
133,"Anne of Green Gables (Anne of Green Gables, #1)",1314,451528824,L.M. Montgomery,Anne of Green Gables,,eng,4.23,502247,yes
134,"City of Glass (The Mortal Instruments, #3)",122,1416914307,Cassandra Clare,City of Glass,,en-US,4.34,593173,no
135,"A Storm of Swords (A Song of Ice and Fire, #3)",175,055357342X,George R.R. Martin,A Storm of Swords,,eng,4.54,469022,no
136,Divine Secrets of the Ya-Ya Sisterhood,75,006075995X,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,,en-US,3.79,465676,yes
137,"Outlander (Outlander, #1)",189,440242940,Diana Gabaldon,Outlander,,eng,4.2,515547,no
138,The Scarlet Letter,1579,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,,eng,3.37,509883,no
139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",155,1594744769,Ransom Riggs,Miss Peregrine’s Home for Peculiar Children,,en-US,3.89,613674,no
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",193,030726999X,"Stieg Larsson, Reg Keeland",Luftslottet som sprängdes,,en-US,4.2,443951,no
141,The Martian,148,804139024,Andy Weir,The Martian,,eng,4.39,423344,no
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",255,451207149,Ken Follett,The Pillars of the Earth,,eng,4.29,462517,no
143,All the Light We Cannot See,139,1476746583,Anthony Doerr,,,eng,4.31,470001,no
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",16,1400064163,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",,eng,4.4,487775,no
145,Deception Point,180,671027387,Dan Brown,Deception Point,,eng,3.67,455610,no
146,The Goldfinch,108,316055433,Donna Tartt,The Goldfinch,,eng,3.87,396756,no
147,Thirteen Reasons Why,150,1595141715,Jay Asher,Thirteen Reasons Why,,eng,4.02,463783,no
148,Girl with a Pearl Earring,169,452287022,Tracy Chevalier,Girl with a Pearl Earring,,eng,3.85,467577,yes
149,"If I Stay (If I Stay, #1)",130,525421033,Gayle Forman,If I Stay,,en-US,3.96,503527,no
150,The Red Tent,80,312353766,Anita Diamant,The Red Tent,,en-US,4.16,424981,no
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",121,786856866,Rick Riordan,The Sea of Monsters,,eng,4.23,514932,no
152,Dear John,111,446528056,Nicholas Sparks,Dear John,,en-US,4.01,441062,no
153,"City of Ashes (The Mortal Instruments, #2)",125,1416914293,Cassandra Clare,City of Ashes,,eng,4.21,541117,no
154,Macbeth,1732,743477103,William Shakespeare,The Tragedy of Macbeth,,eng,3.88,496018,no
155,"The Two Towers (The Lord of the Rings, #2)",453,618346260,J.R.R. Tolkien,The Two Towers,,en-US,4.42,480446,yes
156,"Something Borrowed (Darcy & Rachel, #1)",65,031232118X,Emily Giffin,Something Borrowed,,eng,3.83,403601,yes
157,Green Eggs and Ham,72,394800168,"Dr. Seuss, לאה נאור",Green Eggs and Ham,,en-US,4.29,457475,no
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",338,142403881,"Roald Dahl, Quentin Blake",Charlie and the Chocolate Factory,,eng,4.1,453959,yes
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",92,1423101464,Rick Riordan,The Battle of the Labyrinth,,eng,4.39,508214,no
160,Great Expectations,1725,192833596,Charles Dickens,Great Expectations,,eng,3.75,459247,yes
161,"The Return of the King (The Lord of the Rings, #3)",470,345339738,J.R.R. Tolkien,The Return of the King,,en-US,4.51,463959,yes
162,The Stranger,675,,"Albert Camus, Matthew    Ward",L’Étranger,,eng,3.96,420600,no
163,"The Lost Hero (The Heroes of Olympus, #1)",72,142311339X,Rick Riordan,The Lost Hero,,eng,4.35,271576,no
164,Eleanor & Park,103,1250012570,Rainbow Rowell,Eleanor & Park,,eng,4.11,514312,no
165,"A Feast for Crows (A Song of Ice and Fire, #4)",176,055358202X,George R.R. Martin,A Feast for Crows,,en-US,4.1,428186,no
166,"Matched (Matched, #1)",84,525423648,Ally Condie,Matched,,eng,3.68,511815,no
167,"American Gods (American Gods, #1)",196,747263744,Neil Gaiman,American Gods,,eng,4.11,378019,no
168,The Stand,195,385199570,"Stephen King, Bernie Wrightson",The Stand,,en-US,4.34,438832,yes
169,The Last Song,95,446547565,Nicholas Sparks,The Last Song,,en-GB,4.14,424637,no
170,Digital Fortress,185,552151696,Dan Brown,Digital Fortress,,en-GB,3.6,423019,no
171,Emma,1710,141439580,"Jane Austen, Fiona Stafford",Emma,,eng,3.99,459826,yes
172,Anna Karenina,1492,345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Анна Каренина,,eng,4.02,297472,no
173,A Clockwork Orange,283,393312836,Anthony Burgess,A Clockwork Orange,,eng,3.98,431195,yes
174,The Shack,134,964729237,William Paul Young,The Shack: Where Tragedy Confronts Eternity,,eng,3.74,419539,no
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",87,739380338,Rick Riordan,The Last Olympian,,eng,4.5,397500,no
176,It,7,451169514,Stephen King,It,,en-US,4.18,292592,yes
177,Crime and Punishment,1714,143058142,"Fyodor Dostoyevsky, David McDuff",Преступление и наказание,,eng,4.18,380903,no
178,The Bell Jar,246,61148512,Sylvia Plath,The Bell Jar,,en-US,3.98,401605,no
179,"Angela's Ashes (Frank McCourt, #1)",184,7205236,Frank McCourt,Angela's Ashes: A Memoir,,eng,4.07,392103,no
180,Siddhartha,972,553208845,"Hermann Hesse, Hilda Rosner",Siddhartha,,eng,3.99,372099,no
181,In Cold Blood,223,679745580,Truman Capote,In Cold Blood,,eng,4.05,381652,no
182,"Beautiful Creatures (Caster Chronicles, #1)",119,316042676,"Kami Garcia, Margaret Stohl",Beautiful Creatures,,eng,3.76,436093,yes
183,"Clockwork Angel (The Infernal Devices, #1)",103,1416975861,Cassandra Clare,Clockwork Angel,,eng,4.33,490890,no
184,Matilda,242,141301066,"Roald Dahl, Quentin Blake",Matilda,,eng,4.29,440743,yes
185,The Night Circus,119,385534639,Erin Morgenstern,The Night Circus,,eng,4.03,429543,no
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",111,743227441,Philippa Gregory,The Other Boleyn Girl,,eng,4.04,381080,yes
187,"Uglies (Uglies, #1)",98,689865384,Scott Westerfeld,Uglies,,eng,3.86,449073,no
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",115,,George R.R. Martin,A Dance with Dragons,,eng,4.31,365954,no
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",380,618640150,J.R.R. Tolkien,The Lord of the Rings,,eng,4.47,389054,yes
190,Wild: From Lost to Found on the Pacific Crest Trail,101,307592731,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail ,,eng,3.96,379872,no
191,Watchmen,90,930289234,"Alan Moore, Dave Gibbons, John Higgins",Watchmen,,en-US,4.35,398018,yes
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",123,075640407X,Patrick Rothfuss,The Name of the Wind,,eng,4.55,400101,no
193,Outliers: The Story of Success,120,316017922,Malcolm Gladwell,Outliers: The Story of Success,,en-US,4.11,353011,no
194,"Moby-Dick or, The Whale",1823,142437247,"Herman Melville, Andrew Delbanco, Tom Quirk","Moby Dick; or, The Whale",,eng,3.46,358050,yes
195,The Guernsey Literary and Potato Peel Pie Society,116,385340990,"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society,,eng,4.12,393626,yes
196,Fight Club,162,393327345,Chuck Palahniuk,Fight Club,,eng,4.2,365349,yes
197,"Dead Until Dark (Sookie Stackhouse, #1)",109,441008534,Charlaine Harris,Dead Until Dark,,en-US,3.96,420764,no
198,The Color Purple,155,671727796,Alice Walker,The Color Purple,,eng,4.17,376766,yes
199,Marley and Me: Life and Love With the World's Worst Dog,119,739461192,John Grogan,Marley & Me: Life and Love with the World's Worst Dog,,eng,4.12,367304,yes
200,And Then There Were None,474,312330871,Agatha Christie,Ten Little Niggers,,eng,4.23,408983,no
201,"The Lost Symbol (Robert Langdon, #3)",208,385504225,Dan Brown,The Lost Symbol,,eng,3.66,369428,yes
202,"Hush, Hush (Hush, Hush, #1)",91,1416989412,Becca Fitzpatrick,"Hush, Hush",,en-US,4,448166,no
203,"Beautiful Disaster (Beautiful, #1)",85,,Jamie McGuire,Beautiful Disaster,,eng,4.15,418309,no
204,A Christmas Carol,2380,1561797464,Charles Dickens,A Christmas Carol,,,4.02,394540,yes
205,"Interview with the Vampire (The Vampire Chronicles, #1)",189,345476875,Anne Rice,Interview with the Vampire,,eng,3.97,372566,yes
206,"The Selection (The Selection, #1)",93,62059939,Kiera Cass,The Selection,,en-US,4.15,505340,yes
207,"One for the Money (Stephanie Plum, #1)",109,312362080,Janet Evanovich,One for the Money,,en-US,4.03,391007,yes
208,The Immortal Life of Henrietta Lacks,66,1400052173,Rebecca Skloot,The Immortal Life of Henrietta Lacks,,eng,4.04,377249,no
209,"The Silence of the Lambs  (Hannibal Lecter, #2)",187,99446782,Thomas Harris,The Silence of the Lambs,,eng,4.14,351107,yes
210,"Vampire Academy (Vampire Academy, #1)",132,159514174X,Richelle Mead,,,en-US,4.14,248283,no
211,Blink: The Power of Thinking Without Thinking,116,316010669,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,,en-US,3.89,348196,no
212,Atonement,155,038572179X,Ian McEwan,Atonement,,eng,3.88,347006,yes
213,The Metamorphosis,1316,553213695,"Franz Kafka, Stanley Corngold",Die Verwandlung,,eng,3.78,364933,no
214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",94,141382899,Rick Riordan,The Titan's Curse,,eng,4.33,446668,no
215,Ready Player One,112,030788743X,Ernest Cline,,,eng,4.31,349423,no
216,The Art of Racing in the Rain,90,1554681723,Garth Stein,The Art of Racing in the Rain,,eng,4.19,327409,no
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",70,739303406,"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",,eng,3.98,309385,no
218,"Bared to You (Crossfire, #1)",96,425263908,Sylvia Day,Bared to You,,eng,4.19,222678,no
219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",270,66238501,"C.S. Lewis, Pauline Baynes",The Chronicles of Narnia,,eng,4.24,376385,yes
220,Twilight: The Complete Illustrated Movie Companion,20,316043133,Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion,,en-US,4.23,291411,no
221,"A Child Called ""It"" (Dave Pelzer #1)",74,1558743669,Dave Pelzer,"A Child Called ""It"": One Child's Courage to Survive",,eng,4.08,311543,no
222,"The Bourne Identity (Jason Bourne, #1)",143,752864327,Robert Ludlum,The Bourne Identity,,eng,3.98,327122,yes
223,"Artemis Fowl (Artemis Fowl, #1)",163,786817879,Eoin Colfer,Artemis Fowl,,eng,3.82,386923,no
224,"Fallen (Fallen, #1)",97,385738935,Lauren Kate,Fallen,,en-US,3.74,395296,no
225,East of Eden,81,142000655,John Steinbeck,East of Eden  ,,eng,4.35,320919,no
226,Dark Places,131,307341569,Gillian Flynn,Dark Places,,eng,3.92,333452,no
227,The Client,134,385339089,John Grisham,The Client,,eng,3.97,320083,no
228,"The Nanny Diaries (Nanny, #1)",84,312291639,"Emma McLaughlin, Nicola Kraus",The Nanny Diaries,,eng,3.4,323762,yes
229,Alice's Adventures in Wonderland & Through the Looking-Glass,845,451527747,"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland,,eng,4.06,340920,yes
